frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.80,-9.03,-9.80,-9.03,6.00,0.01,-3.80,-3.80,-0.77
20.20,-9.74,-9.00,-9.74,-9.00,6.00,0.01,-3.74,-3.74,-0.74
20.40,-9.67,-8.96,-9.67,-8.96,6.00,0.01,-3.67,-3.67,-0.71
20.61,-9.61,-8.92,-9.61,-8.92,6.00,0.01,-3.61,-3.61,-0.69
20.81,-9.54,-8.88,-9.54,-8.88,6.00,0.01,-3.54,-3.54,-0.66
21.02,-9.47,-8.84,-9.47,-8.84,6.00,0.01,-3.47,-3.47,-0.63
21.23,-9.41,-8.79,-9.40,-8.79,6.00,0.01,-3.41,-3.40,-0.62
21.44,-9.34,-8.73,-9.34,-8.73,6.00,0.01,-3.34,-3.34,-0.61
21.66,-9.27,-8.67,-9.27,-8.67,6.00,0.01,-3.27,-3.27,-0.60
21.87,-9.21,-8.61,-9.21,-8.61,6.00,0.01,-3.21,-3.21,-0.60
22.09,-9.14,-8.55,-9.14,-8.55,6.00,0.01,-3.14,-3.14,-0.59
22.31,-9.08,-8.49,-9.08,-8.49,6.00,0.01,-3.08,-3.08,-0.59
22.54,-9.01,-8.42,-9.01,-8.42,6.00,0.01,-3.01,-3.01,-0.59
22.76,-8.95,-8.36,-8.95,-8.36,6.00,0.01,-2.95,-2.95,-0.59
22.99,-8.88,-8.28,-8.88,-8.29,6.00,0.01,-2.88,-2.88,-0.60
23.22,-8.82,-8.22,-8.82,-8.22,6.00,0.01,-2.82,-2.82,-0.60
23.45,-8.76,-8.16,-8.76,-8.16,6.00,0.01,-2.76,-2.76,-0.60
23.69,-8.69,-8.09,-8.69,-8.10,6.00,0.01,-2.69,-2.69,-0.60
23.92,-8.63,-8.03,-8.63,-8.04,6.00,0.01,-2.63,-2.63,-0.60
24.16,-8.57,-7.98,-8.57,-7.98,6.00,0.01,-2.57,-2.57,-0.59
24.40,-8.51,-7.92,-8.51,-7.92,6.00,0.01,-2.51,-2.51,-0.59
24.65,-8.45,-7.85,-8.45,-7.86,6.00,0.01,-2.45,-2.45,-0.60
24.89,-8.39,-7.79,-8.39,-7.79,6.00,0.01,-2.39,-2.39,-0.60
25.14,-8.32,-7.72,-8.32,-7.73,6.00,0.01,-2.32,-2.32,-0.60
25.39,-8.26,-7.66,-8.26,-7.66,6.00,0.01,-2.26,-2.26,-0.60
25.65,-8.20,-7.60,-8.20,-7.60,6.00,0.01,-2.20,-2.20,-0.60
25.91,-8.13,-7.52,-8.13,-7.53,6.00,0.01,-2.13,-2.13,-0.61
26.16,-8.07,-7.46,-8.07,-7.46,6.00,0.01,-2.07,-2.07,-0.61
26.43,-8.00,-7.39,-8.00,-7.39,6.00,0.01,-2.00,-2.00,-0.61
26.69,-7.92,-7.31,-7.92,-7.32,6.00,0.02,-1.92,-1.92,-0.61
26.96,-7.85,-7.24,-7.85,-7.25,6.00,0.02,-1.85,-1.85,-0.61
27.23,-7.78,-7.17,-7.78,-7.17,6.00,0.02,-1.78,-1.78,-0.61
27.50,-7.71,-7.10,-7.71,-7.10,6.00,0.02,-1.71,-1.71,-0.61
27.77,-7.63,-7.01,-7.63,-7.02,6.00,0.02,-1.63,-1.63,-0.62
28.05,-7.56,-6.94,-7.56,-6.94,6.00,0.02,-1.56,-1.56,-0.62
28.33,-7.48,-6.85,-7.48,-6.85,6.00,0.02,-1.48,-1.48,-0.63
28.62,-7.39,-6.76,-7.39,-6.77,6.00,0.02,-1.39,-1.39,-0.63
28.90,-7.31,-6.68,-7.31,-6.68,6.00,0.02,-1.31,-1.31,-0.63
29.19,-7.22,-6.58,-7.22,-6.59,6.01,0.02,-1.21,-1.21,-0.64
29.48,-7.13,-6.50,-7.13,-6.50,6.02,0.02,-1.11,-1.11,-0.63
29.78,-7.04,-6.40,-7.04,-6.41,6.02,0.02,-1.02,-1.02,-0.64
30.08,-6.95,-6.31,-6.95,-6.31,6.02,0.02,-0.93,-0.93,-0.64
30.38,-6.85,-6.20,-6.85,-6.21,6.00,0.02,-0.85,-0.85,-0.65
30.68,-6.75,-6.10,-6.75,-6.10,5.97,0.02,-0.78,-0.78,-0.65
30.99,-6.65,-5.99,-6.65,-5.99,5.92,0.02,-0.73,-0.73,-0.66
31.30,-6.54,-5.88,-6.54,-5.88,5.85,0.02,-0.69,-0.69,-0.66
31.61,-6.42,-5.76,-6.43,-5.76,5.76,0.03,-0.65,-0.66,-0.66
31.93,-6.31,-5.64,-6.31,-5.64,5.66,0.03,-0.65,-0.65,-0.67
32.24,-6.20,-5.52,-6.20,-5.52,5.55,0.03,-0.65,-0.65,-0.68
32.57,-6.08,-5.40,-6.08,-5.41,5.42,0.03,-0.66,-0.66,-0.68
32.89,-5.97,-5.29,-5.97,-5.29,5.29,0.03,-0.67,-0.67,-0.68
33.22,-5.85,-5.16,-5.85,-5.16,5.16,0.03,-0.68,-0.68,-0.69
33.55,-5.73,-5.04,-5.73,-5.04,5.04,0.03,-0.69,-0.69,-0.69
33.89,-5.61,-4.91,-5.61,-4.92,4.91,0.03,-0.69,-0.70,-0.70
34.23,-5.49,-4.79,-5.49,-4.79,4.79,0.03,-0.70,-0.70,-0.70
34.57,-5.37,-4.66,-5.37,-4.66,4.66,0.03,-0.71,-0.71,-0.71
34.92,-5.24,-4.52,-5.24,-4.53,4.53,0.04,-0.71,-0.72,-0.72
35.27,-5.12,-4.40,-5.12,-4.40,4.40,0.04,-0.72,-0.72,-0.72
35.62,-4.99,-4.26,-4.99,-4.26,4.26,0.04,-0.73,-0.72,-0.73
35.97,-4.86,-4.12,-4.86,-4.13,4.13,0.04,-0.73,-0.73,-0.74
36.33,-4.74,-4.00,-4.74,-4.00,4.00,0.04,-0.74,-0.74,-0.74
36.70,-4.62,-3.87,-4.61,-3.87,3.87,0.04,-0.75,-0.75,-0.75
37.06,-4.49,-3.73,-4.49,-3.74,3.74,0.04,-0.75,-0.75,-0.76
37.43,-4.37,-3.61,-4.37,-3.61,3.61,0.05,-0.76,-0.76,-0.76
37.81,-4.25,-3.48,-4.25,-3.48,3.48,0.05,-0.77,-0.77,-0.77
38.19,-4.13,-3.35,-4.13,-3.36,3.35,0.05,-0.78,-0.77,-0.78
38.57,-4.01,-3.23,-4.01,-3.23,3.23,0.05,-0.78,-0.78,-0.78
38.95,-3.89,-3.10,-3.89,-3.10,3.11,0.05,-0.78,-0.79,-0.79
39.34,-3.78,-2.98,-3.78,-2.98,2.98,0.05,-0.79,-0.79,-0.80
39.74,-3.67,-2.86,-3.67,-2.86,2.86,0.06,-0.81,-0.80,-0.81
40.14,-3.56,-2.75,-3.56,-2.75,2.75,0.06,-0.81,-0.81,-0.81
40.54,-3.45,-2.63,-3.45,-2.63,2.63,0.06,-0.82,-0.82,-0.82
40.94,-3.34,-2.52,-3.34,-2.52,2.52,0.06,-0.82,-0.82,-0.82
41.35,-3.23,-2.40,-3.23,-2.41,2.41,0.06,-0.82,-0.82,-0.83
41.76,-3.13,-2.30,-3.13,-2.30,2.30,0.07,-0.82,-0.82,-0.83
42.18,-3.03,-2.20,-3.03,-2.20,2.20,0.07,-0.83,-0.83,-0.83
42.60,-2.93,-2.09,-2.93,-2.10,2.09,0.07,-0.84,-0.84,-0.84
43.03,-2.83,-1.99,-2.83,-1.99,1.98,0.07,-0.85,-0.85,-0.84
43.46,-2.73,-1.88,-2.73,-1.88,1.88,0.08,-0.85,-0.86,-0.85
43.90,-2.64,-1.77,-2.63,-1.77,1.77,0.08,-0.87,-0.86,-0.87
44.33,-2.54,-1.66,-2.54,-1.66,1.66,0.08,-0.87,-0.87,-0.88
44.78,-2.44,-1.55,-2.44,-1.56,1.56,0.09,-0.88,-0.88,-0.89
45.23,-2.35,-1.45,-2.35,-1.45,1.45,0.09,-0.90,-0.89,-0.90
45.68,-2.25,-1.34,-2.25,-1.35,1.35,0.09,-0.90,-0.90,-0.91
46.13,-2.16,-1.24,-2.16,-1.25,1.25,0.09,-0.91,-0.91,-0.92
46.60,-2.07,-1.15,-2.06,-1.14,1.15,0.10,-0.92,-0.92,-0.92
47.06,-1.97,-1.04,-1.97,-1.05,1.04,0.10,-0.93,-0.93,-0.93
47.53,-1.88,-0.94,-1.88,-0.95,0.94,0.10,-0.94,-0.94,-0.94
48.01,-1.79,-0.85,-1.79,-0.84,0.84,0.11,-0.95,-0.95,-0.94
48.49,-1.70,-0.74,-1.70,-0.74,0.74,0.11,-0.96,-0.96,-0.96
48.97,-1.61,-0.63,-1.61,-0.63,0.64,0.11,-0.97,-0.97,-0.98
49.46,-1.53,-0.53,-1.53,-0.53,0.54,0.12,-0.99,-0.99,-1.00
49.96,-1.44,-0.42,-1.44,-0.43,0.44,0.12,-1.00,-1.00,-1.02
50.46,-1.36,-0.34,-1.36,-0.34,0.34,0.12,-1.02,-1.02,-1.02
