frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.80,-5.86,-9.80,-5.86,5.86,-0.26,-3.94,-3.94,-3.94
20.20,-9.74,-5.83,-9.74,-5.82,5.83,-0.27,-3.91,-3.91,-3.91
20.40,-9.67,-5.79,-9.67,-5.79,5.79,-0.27,-3.88,-3.88,-3.88
20.61,-9.61,-5.75,-9.61,-5.75,5.75,-0.28,-3.86,-3.86,-3.86
20.81,-9.54,-5.71,-9.54,-5.71,5.71,-0.29,-3.83,-3.83,-3.83
21.02,-9.47,-5.67,-9.47,-5.67,5.66,-0.29,-3.81,-3.81,-3.80
21.23,-9.41,-5.62,-9.40,-5.62,5.61,-0.30,-3.79,-3.79,-3.79
21.44,-9.34,-5.56,-9.34,-5.56,5.56,-0.31,-3.78,-3.78,-3.78
21.66,-9.27,-5.51,-9.27,-5.51,5.51,-0.31,-3.76,-3.76,-3.76
21.87,-9.21,-5.45,-9.21,-5.45,5.45,-0.32,-3.76,-3.76,-3.76
22.09,-9.14,-5.39,-9.14,-5.39,5.39,-0.33,-3.75,-3.75,-3.75
22.31,-9.08,-5.33,-9.08,-5.33,5.32,-0.34,-3.75,-3.75,-3.75
22.54,-9.01,-5.26,-9.01,-5.26,5.26,-0.34,-3.75,-3.75,-3.75
22.76,-8.95,-5.20,-8.95,-5.20,5.20,-0.35,-3.75,-3.75,-3.75
22.99,-8.88,-5.12,-8.88,-5.13,5.13,-0.36,-3.75,-3.75,-3.75
23.22,-8.82,-5.07,-8.82,-5.07,5.07,-0.37,-3.75,-3.75,-3.75
23.45,-8.76,-5.01,-8.76,-5.00,5.01,-0.38,-3.75,-3.75,-3.75
23.69,-8.69,-4.94,-8.69,-4.94,4.95,-0.39,-3.74,-3.75,-3.75
23.92,-8.63,-4.88,-8.63,-4.89,4.89,-0.39,-3.74,-3.74,-3.75
24.16,-8.57,-4.83,-8.57,-4.83,4.83,-0.40,-3.74,-3.74,-3.74
24.40,-8.51,-4.78,-8.51,-4.77,4.77,-0.41,-3.74,-3.74,-3.73
24.65,-8.45,-4.71,-8.45,-4.71,4.71,-0.42,-3.74,-3.74,-3.74
24.89,-8.39,-4.65,-8.39,-4.65,4.65,-0.43,-3.74,-3.74,-3.74
25.14,-8.32,-4.58,-8.32,-4.59,4.59,-0.44,-3.73,-3.73,-3.74
25.39,-8.26,-4.52,-8.26,-4.52,4.53,-0.45,-3.73,-3.73,-3.73
25.65,-8.20,-4.47,-8.20,-4.46,4.46,-0.46,-3.74,-3.73,-3.73
25.91,-8.13,-4.39,-8.13,-4.40,4.40,-0.48,-3.73,-3.74,-3.74
26.16,-8.07,-4.33,-8.07,-4.33,4.33,-0.49,-3.74,-3.74,-3.74
26.43,-8.00,-4.27,-8.00,-4.26,4.26,-0.50,-3.74,-3.73,-3.73
26.69,-7.92,-4.19,-7.92,-4.19,4.20,-0.51,-3.72,-3.73,-3.73
26.96,-7.85,-4.12,-7.85,-4.13,4.13,-0.52,-3.72,-3.72,-3.73
27.23,-7.78,-4.06,-7.78,-4.05,4.06,-0.54,-3.72,-3.72,-3.72
27.50,-7.71,-3.99,-7.71,-3.98,3.98,-0.55,-3.73,-3.73,-3.72
27.77,-7.63,-3.90,-7.63,-3.91,3.91,-0.56,-3.72,-3.73,-3.73
28.05,-7.56,-3.84,-7.56,-3.83,3.83,-0.57,-3.73,-3.73,-3.72
28.33,-7.48,-3.75,-7.48,-3.75,3.75,-0.59,-3.73,-3.73,-3.73
28.62,-7.39,-3.66,-7.39,-3.67,3.67,-0.60,-3.72,-3.73,-3.73
28.90,-7.31,-3.59,-7.31,-3.58,3.59,-0.62,-3.72,-3.72,-3.72
29.19,-7.22,-3.49,-7.22,-3.50,3.50,-0.63,-3.72,-3.72,-3.73
29.48,-7.13,-3.41,-7.13,-3.41,3.41,-0.65,-3.72,-3.72,-3.71
29.78,-7.04,-3.32,-7.04,-3.32,3.32,-0.66,-3.72,-3.72,-3.72
30.08,-6.95,-3.24,-6.95,-3.23,3.23,-0.68,-3.72,-3.72,-3.71
30.38,-6.85,-3.13,-6.85,-3.13,3.13,-0.70,-3.72,-3.72,-3.72
30.68,-6.75,-3.03,-6.75,-3.03,3.03,-0.71,-3.72,-3.72,-3.72
30.99,-6.65,-2.93,-6.65,-2.93,2.93,-0.73,-3.72,-3.72,-3.72
31.30,-6.54,-2.83,-6.54,-2.82,2.82,-0.75,-3.72,-3.72,-3.72
31.61,-6.42,-2.71,-6.43,-2.71,2.71,-0.77,-3.71,-3.71,-3.71
31.93,-6.31,-2.60,-6.31,-2.60,2.60,-0.79,-3.71,-3.71,-3.71
32.24,-6.20,-2.48,-6.20,-2.48,2.49,-0.81,-3.71,-3.71,-3.72
32.57,-6.08,-2.37,-6.08,-2.37,2.37,-0.83,-3.71,-3.71,-3.71
32.89,-5.97,-2.26,-5.97,-2.26,2.26,-0.85,-3.71,-3.71,-3.71
33.22,-5.85,-2.14,-5.85,-2.14,2.14,-0.87,-3.71,-3.71,-3.71
33.55,-5.73,-2.02,-5.73,-2.02,2.02,-0.89,-3.71,-3.71,-3.70
33.89,-5.61,-1.90,-5.61,-1.91,1.90,-0.91,-3.71,-3.71,-3.71
34.23,-5.49,-1.79,-5.49,-1.79,1.78,-0.93,-3.71,-3.70,-3.70
34.57,-5.37,-1.67,-5.37,-1.66,1.66,-0.96,-3.71,-3.71,-3.70
34.92,-5.24,-1.53,-5.24,-1.54,1.54,-0.98,-3.70,-3.71,-3.71
35.27,-5.12,-1.42,-5.12,-1.41,1.41,-1.01,-3.71,-3.70,-3.70
35.62,-4.99,-1.29,-4.99,-1.29,1.29,-1.03,-3.70,-3.70,-3.70
35.97,-4.86,-1.16,-4.86,-1.17,1.17,-1.06,-3.69,-3.70,-3.70
36.33,-4.74,-1.04,-4.74,-1.04,1.04,-1.08,-3.70,-3.70,-3.69
36.70,-4.62,-0.92,-4.61,-0.92,0.92,-1.11,-3.70,-3.69,-3.70
37.06,-4.49,-0.79,-4.49,-0.80,0.80,-1.14,-3.69,-3.69,-3.70
37.43,-4.37,-0.68,-4.37,-0.68,0.68,-1.17,-3.69,-3.69,-3.69
37.81,-4.25,-0.56,-4.25,-0.56,0.56,-1.19,-3.69,-3.69,-3.69
38.19,-4.13,-0.44,-4.13,-0.44,0.44,-1.22,-3.69,-3.69,-3.69
38.57,-4.01,-0.33,-4.01,-0.33,0.33,-1.25,-3.68,-3.68,-3.68
38.95,-3.89,-0.21,-3.89,-0.21,0.21,-1.28,-3.67,-3.68,-3.68
39.34,-3.78,-0.10,-3.78,-0.10,0.10,-1.32,-3.68,-3.68,-3.68
39.74,-3.67,0.01,-3.67,0.01,-0.01,-1.35,-3.68,-3.68,-3.68
40.14,-3.56,0.11,-3.56,0.11,-0.11,-1.38,-3.67,-3.67,-3.67
40.54,-3.45,0.22,-3.45,0.22,-0.22,-1.41,-3.67,-3.66,-3.67
40.94,-3.34,0.32,-3.34,0.32,-0.32,-1.45,-3.65,-3.65,-3.65
41.35,-3.23,0.42,-3.23,0.42,-0.41,-1.48,-3.64,-3.64,-3.65
41.76,-3.13,0.51,-3.13,0.51,-0.51,-1.52,-3.64,-3.64,-3.64
42.18,-3.03,0.60,-3.03,0.60,-0.60,-1.55,-3.63,-3.63,-3.63
42.60,-2.93,0.70,-2.93,0.69,-0.70,-1.59,-3.63,-3.63,-3.63
43.03,-2.83,0.78,-2.83,0.79,-0.79,-1.62,-3.62,-3.62,-3.61
43.46,-2.73,0.88,-2.73,0.88,-0.89,-1.66,-3.61,-3.62,-3.61
43.90,-2.64,0.98,-2.63,0.98,-0.98,-1.70,-3.62,-3.61,-3.62
44.33,-2.54,1.07,-2.54,1.07,-1.07,-1.73,-3.61,-3.61,-3.61
44.78,-2.44,1.17,-2.44,1.17,-1.16,-1.77,-3.60,-3.61,-3.61
45.23,-2.35,1.25,-2.35,1.26,-1.25,-1.81,-3.60,-3.60,-3.60
45.68,-2.25,1.35,-2.25,1.35,-1.34,-1.85,-3.59,-3.60,-3.60
46.13,-2.16,1.44,-2.16,1.43,-1.43,-1.89,-3.59,-3.59,-3.59
46.60,-2.07,1.51,-2.06,1.52,-1.52,-1.93,-3.59,-3.58,-3.58
47.06,-1.97,1.61,-1.97,1.60,-1.60,-1.96,-3.57,-3.58,-3.57
47.53,-1.88,1.69,-1.88,1.68,-1.69,-2.00,-3.57,-3.57,-3.57
48.01,-1.79,1.76,-1.79,1.77,-1.78,-2.04,-3.57,-3.56,-3.55
48.49,-1.70,1.86,-1.70,1.86,-1.86,-2.08,-3.56,-3.56,-3.56
48.97,-1.61,1.95,-1.61,1.95,-1.95,-2.11,-3.55,-3.56,-3.56
49.46,-1.53,2.03,-1.53,2.04,-2.03,-2.15,-3.56,-3.55,-3.56
49.96,-1.44,2.13,-1.44,2.12,-2.11,-2.19,-3.55,-3.55,-3.57
50.46,-1.36,2.19,-1.36,2.19,-2.19,-2.22,-3.55,-3.55,-3.55
50.96,-1.28,2.26,-1.28,2.27,-2.27,-2.25,-3.55,-3.55,-3.54
51.47,-1.20,2.34,-1.20,2.34,-2.34,-2.29,-3.54,-3.54,-3.54
51.99,-1.11,2.43,-1.12,2.42,-2.42,-2.32,-3.53,-3.53,-3.54
52.51,-1.04,2.48,-1.04,2.49,-2.49,-2.35,-3.52,-3.52,-3.52
53.03,-0.96,2.55,-0.96,2.55,-2.55,-2.38,-3.51,-3.51,-3.51
53.56,-0.88,2.62,-0.88,2.62,-2.62,-2.41,-3.50,-3.50,-3.50
54.10,-0.81,2.68,-0.81,2.68,-2.68,-2.43,-3.49,-3.49,-3.49
54.64,-0.74,2.74,-0.74,2.75,-2.74,-2.46,-3.48,-3.48,-3.48
55.18,-0.67,2.81,-0.67,2.80,-2.80,-2.48,-3.47,-3.47,-3.47
55.74,-0.60,2.87,-0.60,2.86,-2.86,-2.50,-3.46,-3.46,-3.47
56.29,-0.54,2.91,-0.54,2.92,-2.91,-2.52,-3.45,-3.45,-3.45
56.86,-0.47,2.97,-0.47,2.97,-2.97,-2.53,-3.43,-3.44,-3.44
57.42,-0.41,3.02,-0.41,3.01,-3.01,-2.55,-3.42,-3.42,-3.43
58.00,-0.35,3.06,-0.34,3.06,-3.06,-2.56,-3.41,-3.41,-3.41
58.58,-0.28,3.11,-0.28,3.11,-3.11,-2.57,-3.39,-3.39,-3.39
