frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.80,-5.86,-9.80,-5.86,5.86,6.10,1.56,-3.94,-3.94,-3.94
20.20,-9.74,-5.82,-9.74,-5.82,5.83,6.04,1.61,-3.91,-3.91,-3.91
20.40,-9.67,-5.79,-9.67,-5.79,5.79,5.97,1.66,-3.88,-3.88,-3.88
20.61,-9.61,-5.74,-9.61,-5.75,5.75,5.90,1.71,-3.86,-3.86,-3.86
20.81,-9.54,-5.71,-9.54,-5.71,5.71,5.84,1.77,-3.83,-3.83,-3.83
21.02,-9.47,-5.67,-9.47,-5.67,5.66,5.77,1.82,-3.81,-3.81,-3.80
21.23,-9.41,-5.62,-9.41,-5.62,5.61,5.70,1.88,-3.79,-3.79,-3.79
21.44,-9.34,-5.56,-9.34,-5.57,5.56,5.63,1.94,-3.78,-3.78,-3.78
21.66,-9.27,-5.51,-9.27,-5.51,5.51,5.56,2.00,-3.77,-3.77,-3.77
21.87,-9.21,-5.44,-9.21,-5.45,5.45,5.49,2.06,-3.76,-3.76,-3.76
22.09,-9.14,-5.39,-9.14,-5.39,5.39,5.42,2.12,-3.75,-3.75,-3.75
22.31,-9.08,-5.33,-9.08,-5.33,5.32,5.35,2.19,-3.75,-3.75,-3.75
22.54,-9.01,-5.26,-9.01,-5.26,5.26,5.28,2.25,-3.75,-3.75,-3.75
22.76,-8.95,-5.20,-8.95,-5.20,5.20,5.20,2.32,-3.75,-3.75,-3.75
22.99,-8.88,-5.13,-8.88,-5.13,5.13,5.13,2.39,-3.75,-3.75,-3.76
23.22,-8.82,-5.07,-8.82,-5.07,5.07,5.06,2.46,-3.75,-3.75,-3.75
23.45,-8.76,-5.01,-8.76,-5.00,5.01,4.98,2.53,-3.75,-3.75,-3.75
23.69,-8.69,-4.94,-8.70,-4.95,4.95,4.91,2.61,-3.75,-3.75,-3.75
23.92,-8.63,-4.89,-8.63,-4.89,4.89,4.83,2.68,-3.74,-3.74,-3.75
24.16,-8.57,-4.84,-8.57,-4.83,4.83,4.76,2.76,-3.74,-3.74,-3.74
24.40,-8.51,-4.78,-8.51,-4.77,4.77,4.68,2.84,-3.74,-3.74,-3.73
24.65,-8.45,-4.71,-8.45,-4.71,4.71,4.60,2.92,-3.74,-3.74,-3.74
24.89,-8.39,-4.65,-8.39,-4.65,4.65,4.53,3.00,-3.74,-3.74,-3.74
25.14,-8.32,-4.59,-8.32,-4.59,4.59,4.45,3.08,-3.73,-3.73,-3.74
25.39,-8.26,-4.53,-8.26,-4.52,4.53,4.37,3.16,-3.73,-3.73,-3.73
25.65,-8.20,-4.46,-8.20,-4.46,4.46,4.29,3.24,-3.74,-3.74,-3.73
25.91,-8.13,-4.39,-8.13,-4.40,4.40,4.21,3.32,-3.74,-3.74,-3.74
26.16,-8.07,-4.33,-8.07,-4.33,4.33,4.13,3.39,-3.74,-3.74,-3.74
26.43,-8.00,-4.26,-8.00,-4.26,4.26,4.05,3.47,-3.73,-3.73,-3.73
26.69,-7.92,-4.19,-7.93,-4.19,4.20,3.97,3.55,-3.73,-3.73,-3.73
