frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.49,-4.41,5.49,-4.42,4.42,1.35,9.91,9.91,9.91
20.20,5.54,-4.37,5.54,-4.37,4.37,1.39,9.92,9.92,9.92
20.40,5.59,-4.33,5.60,-4.33,4.33,1.43,9.92,9.93,9.93
20.61,5.65,-4.29,5.65,-4.29,4.28,1.47,9.94,9.93,9.94
20.81,5.70,-4.23,5.70,-4.24,4.24,1.52,9.94,9.94,9.94
21.02,5.75,-4.19,5.75,-4.20,4.19,1.56,9.95,9.95,9.95
21.23,5.80,-4.15,5.80,-4.15,4.15,1.61,9.95,9.95,9.96
21.44,5.85,-4.11,5.86,-4.11,4.11,1.66,9.96,9.96,9.97
21.66,5.91,-4.06,5.91,-4.06,4.06,1.71,9.97,9.97,9.97
21.87,5.96,-4.01,5.96,-4.01,4.01,1.76,9.98,9.98,9.98
22.09,6.01,-3.96,6.01,-3.96,3.97,1.81,9.98,9.98,9.98
22.31,6.06,-3.92,6.06,-3.92,3.93,1.87,9.99,9.99,9.99
22.54,6.11,-3.88,6.11,-3.88,3.88,1.93,9.99,9.99,9.99
22.76,6.15,-3.84,6.16,-3.84,3.84,1.98,9.99,9.99,10.00
22.99,6.20,-3.80,6.20,-3.79,3.80,2.04,10.00,10.00,10.00
23.22,6.25,-3.75,6.25,-3.75,3.75,2.10,10.00,10.00,10.00
23.45,6.29,-3.71,6.30,-3.71,3.71,2.16,10.00,10.00,10.01
23.69,6.34,-3.67,6.34,-3.66,3.66,2.22,10.00,10.01,10.01
23.92,6.39,-3.61,6.39,-3.62,3.62,2.29,10.01,10.01,10.01
24.16,6.44,-3.56,6.44,-3.57,3.57,2.35,10.01,10.01,10.01
24.40,6.49,-3.52,6.50,-3.52,3.51,2.42,10.01,10.01,10.02
24.65,6.55,-3.47,6.55,-3.47,3.46,2.48,10.01,10.01,10.02
24.89,6.61,-3.40,6.61,-3.41,3.40,2.55,10.02,10.01,10.02
25.14,6.66,-3.35,6.67,-3.35,3.35,2.62,10.01,10.01,10.02
25.39,6.72,-3.29,6.72,-3.29,3.30,2.69,10.02,10.02,10.02
25.65,6.77,-3.25,6.78,-3.24,3.25,2.75,10.02,10.03,10.02
25.91,6.83,-3.19,6.82,-3.20,3.21,2.82,10.04,10.03,10.02
26.16,6.85,-3.16,6.85,-3.16,3.18,2.89,10.03,10.03,10.02
26.43,6.87,-3.15,6.88,-3.14,3.15,2.95,10.02,10.03,10.02
26.69,6.89,-3.12,6.89,-3.13,3.13,3.02,10.02,10.02,10.02
26.96,6.90,-3.12,6.91,-3.11,3.11,3.08,10.01,10.01,10.02
27.23,6.92,-3.10,6.92,-3.10,3.09,3.14,10.01,10.01,10.02
27.50,6.94,-3.08,6.94,-3.08,3.07,3.20,10.01,10.01,10.02
27.77,6.96,-3.05,6.96,-3.05,3.04,3.26,10.01,10.01,10.02
28.05,6.99,-3.02,7.00,-3.02,3.02,3.32,10.01,10.01,10.02
28.33,7.03,-2.98,7.03,-2.99,2.99,3.37,10.02,10.02,10.02
28.62,7.07,-2.95,7.07,-2.95,2.95,3.41,10.02,10.02,10.02
28.90,7.10,-2.91,7.11,-2.91,2.91,3.46,10.02,10.02,10.02
29.19,7.14,-2.87,7.14,-2.87,2.88,3.50,10.02,10.02,10.02
29.48,7.18,-2.83,7.18,-2.84,2.84,3.53,10.02,10.02,10.02
29.78,7.22,-2.80,7.22,-2.79,2.80,3.56,10.02,10.02,10.02
30.08,7.26,-2.76,7.26,-2.76,2.76,3.58,10.02,10.02,10.02
30.38,7.29,-2.72,7.29,-2.72,2.72,3.60,10.01,10.01,10.01
30.68,7.32,-2.68,7.33,-2.68,2.68,3.61,10.00,10.01,10.01
30.99,7.36,-2.65,7.36,-2.65,2.64,3.61,10.00,10.00,10.01
31.30,7.39,-2.61,7.39,-2.61,2.60,3.61,9.99,9.99,10.00
31.61,7.42,-2.58,7.43,-2.57,2.57,3.61,9.99,9.99,10.00
31.93,7.46,-2.53,7.46,-2.53,2.53,3.59,9.99,9.99,9.99
32.24,7.49,-2.49,7.49,-2.49,2.50,3.58,9.99,9.99,9.99
32.57,7.52,-2.46,7.52,-2.46,2.47,3.55,9.99,9.99,9.98
32.89,7.53,-2.44,7.54,-2.44,2.44,3.52,9.98,9.98,9.98
33.22,7.55,-2.41,7.55,-2.42,2.42,3.48,9.97,9.97,9.97
33.55,7.56,-2.40,7.57,-2.40,2.39,3.44,9.96,9.96,9.97
33.89,7.58,-2.38,7.58,-2.37,2.37,3.40,9.95,9.95,9.96
34.23,7.60,-2.35,7.60,-2.35,2.35,3.35,9.95,9.95,9.95
34.57,7.61,-2.32,7.61,-2.32,2.33,3.29,9.94,9.94,9.94
34.92,7.63,-2.30,7.63,-2.30,2.30,3.24,9.93,9.93,9.93
35.27,7.64,-2.29,7.64,-2.28,2.27,3.18,9.92,9.92,9.93
35.62,7.66,-2.25,7.66,-2.25,2.24,3.11,9.91,9.91,9.91
35.97,7.68,-2.21,7.68,-2.22,2.21,3.05,9.90,9.89,9.90
36.33,7.70,-2.18,7.70,-2.18,2.18,2.98,9.88,9.88,9.89
36.70,7.71,-2.16,7.72,-2.15,2.15,2.91,9.86,9.87,9.87
37.06,7.73,-2.12,7.73,-2.12,2.12,2.84,9.85,9.86,9.86
37.43,7.75,-2.08,7.75,-2.09,2.09,2.77,9.85,9.84,9.84
37.81,7.76,-2.06,7.76,-2.06,2.07,2.70,9.83,9.83,9.82
38.19,7.76,-2.05,7.76,-2.04,2.05,2.62,9.81,9.81,9.81
38.57,7.76,-2.02,7.76,-2.02,2.03,2.55,9.79,9.79,9.79
38.95,7.76,-2.00,7.76,-2.01,2.01,2.48,9.77,9.77,9.77
39.34,7.75,-1.99,7.76,-1.99,1.99,2.40,9.74,9.74,9.75
39.74,7.75,-1.98,7.75,-1.98,1.97,2.33,9.72,9.72,9.73
40.14,7.75,-1.96,7.75,-1.96,1.95,2.26,9.70,9.70,9.71
