frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.10,-2.73,5.10,-2.73,2.72,0.11,7.81,7.81,7.83
20.20,5.12,-2.74,5.12,-2.74,2.73,0.11,7.85,7.85,7.86
20.40,5.13,-2.75,5.14,-2.74,2.75,0.11,7.88,7.89,7.88
20.61,5.16,-2.75,5.16,-2.75,2.76,0.11,7.92,7.92,7.91
20.81,5.18,-2.76,5.17,-2.76,2.77,0.12,7.95,7.95,7.94
21.02,5.19,-2.78,5.19,-2.77,2.78,0.12,7.97,7.98,7.97
21.23,5.21,-2.79,5.21,-2.78,2.79,0.12,8.00,8.00,7.99
21.44,5.23,-2.78,5.23,-2.79,2.79,0.13,8.02,8.02,8.01
21.66,5.25,-2.79,5.25,-2.80,2.79,0.13,8.04,8.04,8.04
21.87,5.27,-2.80,5.27,-2.80,2.79,0.13,8.06,8.06,8.07
22.09,5.29,-2.79,5.29,-2.79,2.78,0.14,8.07,8.07,8.08
22.31,5.31,-2.77,5.31,-2.77,2.77,0.14,8.08,8.08,8.08
22.54,5.33,-2.75,5.32,-2.75,2.75,0.14,8.08,8.08,8.08
22.76,5.34,-2.74,5.34,-2.73,2.74,0.15,8.07,8.08,8.08
22.99,5.36,-2.72,5.36,-2.71,2.72,0.15,8.07,8.08,8.08
23.22,5.39,-2.69,5.38,-2.69,2.69,0.15,8.08,8.08,8.08
23.45,5.41,-2.66,5.41,-2.67,2.67,0.16,8.08,8.08,8.07
23.69,5.42,-2.65,5.42,-2.65,2.65,0.16,8.07,8.08,8.07
23.92,5.44,-2.63,5.44,-2.63,2.64,0.17,8.07,8.07,8.07
24.16,5.45,-2.62,5.45,-2.62,2.62,0.17,8.07,8.07,8.07
24.40,5.47,-2.60,5.47,-2.60,2.60,0.17,8.07,8.07,8.07
24.65,5.48,-2.59,5.48,-2.58,2.58,0.18,8.06,8.06,8.07
24.89,5.50,-2.57,5.50,-2.57,2.57,0.18,8.06,8.07,8.06
25.14,5.52,-2.54,5.51,-2.55,2.55,0.19,8.07,8.06,8.06
25.39,5.53,-2.53,5.53,-2.53,2.53,0.19,8.06,8.06,8.06
25.65,5.54,-2.51,5.54,-2.51,2.51,0.20,8.05,8.05,8.05
