frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.10,-0.18,5.10,-0.19,0.19,-0.28,5.29,5.29,5.28
20.20,5.12,-0.16,5.12,-0.16,0.16,-0.28,5.28,5.28,5.28
20.40,5.13,-0.15,5.14,-0.14,0.14,-0.29,5.27,5.28,5.28
20.61,5.16,-0.11,5.16,-0.12,0.12,-0.30,5.27,5.27,5.27
20.81,5.18,-0.08,5.17,-0.09,0.09,-0.31,5.27,5.27,5.26
21.02,5.19,-0.07,5.19,-0.07,0.07,-0.32,5.26,5.26,5.26
21.23,5.21,-0.04,5.21,-0.05,0.05,-0.32,5.26,5.26,5.25
21.44,5.23,-0.02,5.23,-0.03,0.02,-0.33,5.25,5.25,5.25
21.66,5.25,-0.00,5.25,-0.00,0.00,-0.34,5.25,5.25,5.25
21.87,5.27,0.02,5.27,0.02,-0.02,-0.35,5.25,5.25,5.25
22.09,5.29,0.04,5.29,0.04,-0.04,-0.36,5.25,5.26,5.25
22.31,5.31,0.06,5.31,0.06,-0.05,-0.37,5.25,5.25,5.25
22.54,5.33,0.08,5.32,0.07,-0.07,-0.38,5.25,5.25,5.25
22.76,5.34,0.09,5.34,0.09,-0.10,-0.39,5.24,5.25,5.25
22.99,5.36,0.11,5.36,0.11,-0.12,-0.40,5.24,5.25,5.25
23.22,5.39,0.14,5.38,0.13,-0.13,-0.42,5.25,5.25,5.25
23.45,5.41,0.17,5.41,0.16,-0.15,-0.43,5.25,5.25,5.24
23.69,5.42,0.18,5.42,0.18,-0.17,-0.44,5.25,5.25,5.24
23.92,5.44,0.20,5.44,0.20,-0.19,-0.45,5.25,5.25,5.24
24.16,5.45,0.21,5.45,0.21,-0.21,-0.46,5.24,5.24,5.24
24.40,5.47,0.23,5.47,0.22,-0.23,-0.47,5.24,5.24,5.24
24.65,5.48,0.24,5.48,0.24,-0.24,-0.49,5.24,5.24,5.24
24.89,5.50,0.26,5.50,0.26,-0.26,-0.50,5.24,5.24,5.24
25.14,5.52,0.28,5.51,0.27,-0.27,-0.51,5.25,5.24,5.24
25.39,5.53,0.30,5.53,0.29,-0.29,-0.52,5.24,5.24,5.23
25.65,5.54,0.31,5.54,0.31,-0.31,-0.54,5.23,5.23,5.23
25.91,5.56,0.33,5.56,0.32,-0.33,-0.55,5.23,5.23,5.23
26.16,5.57,0.34,5.57,0.34,-0.34,-0.56,5.23,5.23,5.23
26.43,5.59,0.36,5.59,0.36,-0.36,-0.58,5.23,5.23,5.23
26.69,5.61,0.38,5.60,0.37,-0.38,-0.59,5.23,5.23,5.23
26.96,5.62,0.40,5.62,0.39,-0.39,-0.60,5.23,5.23,5.22
27.23,5.63,0.41,5.63,0.41,-0.40,-0.61,5.22,5.23,5.22
27.50,5.65,0.43,5.64,0.42,-0.42,-0.63,5.23,5.23,5.22
27.77,5.66,0.43,5.66,0.43,-0.43,-0.64,5.23,5.23,5.23
28.05,5.67,0.44,5.67,0.44,-0.44,-0.65,5.23,5.23,5.23
28.33,5.69,0.45,5.69,0.45,-0.45,-0.66,5.24,5.24,5.24
28.62,5.70,0.46,5.70,0.46,-0.45,-0.67,5.24,5.25,5.24
28.90,5.72,0.47,5.72,0.46,-0.46,-0.68,5.26,5.25,5.25
29.19,5.73,0.47,5.73,0.47,-0.47,-0.69,5.26,5.26,5.26
29.48,5.74,0.48,5.74,0.48,-0.48,-0.70,5.26,5.26,5.26
29.78,5.75,0.50,5.75,0.49,-0.49,-0.71,5.26,5.26,5.25
30.08,5.77,0.51,5.77,0.50,-0.50,-0.72,5.27,5.26,5.26
30.38,5.78,0.52,5.78,0.52,-0.52,-0.72,5.26,5.26,5.26
30.68,5.80,0.53,5.80,0.53,-0.53,-0.73,5.27,5.26,5.27
