frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.10,0.24,5.10,0.23,-0.23,-0.37,4.87,4.87,4.86
20.20,5.12,0.26,5.12,0.26,-0.26,-0.38,4.86,4.86,4.86
20.40,5.13,0.27,5.14,0.28,-0.28,-0.39,4.85,4.86,4.86
20.61,5.16,0.31,5.16,0.30,-0.30,-0.40,4.86,4.85,4.85
20.81,5.18,0.33,5.17,0.32,-0.32,-0.41,4.85,4.85,4.85
21.02,5.19,0.34,5.19,0.35,-0.35,-0.42,4.84,4.85,4.85
21.23,5.21,0.37,5.21,0.37,-0.37,-0.43,4.84,4.84,4.84
21.44,5.23,0.39,5.23,0.39,-0.39,-0.45,4.84,4.84,4.84
21.66,5.25,0.41,5.25,0.41,-0.41,-0.46,4.84,4.84,4.84
21.87,5.27,0.43,5.27,0.43,-0.43,-0.47,4.84,4.84,4.84
22.09,5.29,0.45,5.29,0.45,-0.45,-0.48,4.84,4.84,4.84
22.31,5.31,0.47,5.31,0.47,-0.47,-0.50,4.84,4.84,4.84
22.54,5.33,0.49,5.32,0.49,-0.49,-0.51,4.84,4.83,4.84
22.76,5.34,0.50,5.34,0.51,-0.51,-0.53,4.83,4.83,4.83
22.99,5.36,0.53,5.36,0.53,-0.53,-0.54,4.83,4.83,4.83
23.22,5.39,0.56,5.38,0.55,-0.55,-0.56,4.84,4.83,4.83
23.45,5.41,0.58,5.41,0.57,-0.57,-0.57,4.84,4.84,4.83
23.69,5.42,0.59,5.42,0.59,-0.59,-0.59,4.83,4.83,4.83
23.92,5.44,0.61,5.44,0.61,-0.61,-0.60,4.83,4.83,4.83
24.16,5.45,0.62,5.45,0.62,-0.62,-0.62,4.82,4.83,4.83
24.40,5.47,0.64,5.47,0.64,-0.64,-0.63,4.83,4.83,4.83
24.65,5.48,0.65,5.48,0.66,-0.66,-0.65,4.82,4.83,4.83
24.89,5.50,0.67,5.50,0.67,-0.67,-0.67,4.83,4.83,4.83
25.14,5.52,0.69,5.51,0.69,-0.69,-0.69,4.83,4.83,4.82
25.39,5.53,0.71,5.53,0.71,-0.70,-0.70,4.82,4.83,4.82
25.65,5.54,0.72,5.54,0.72,-0.72,-0.72,4.82,4.82,4.82
25.91,5.56,0.74,5.56,0.73,-0.74,-0.74,4.82,4.82,4.82
26.16,5.57,0.75,5.57,0.75,-0.76,-0.75,4.81,4.82,4.82
26.43,5.59,0.77,5.59,0.77,-0.77,-0.77,4.82,4.82,4.82
26.69,5.61,0.79,5.60,0.79,-0.79,-0.79,4.82,4.82,4.82
26.96,5.62,0.80,5.62,0.81,-0.80,-0.81,4.82,4.82,4.82
27.23,5.63,0.82,5.63,0.82,-0.82,-0.82,4.81,4.82,4.81
27.50,5.65,0.84,5.64,0.83,-0.83,-0.84,4.82,4.82,4.81
27.77,5.66,0.84,5.66,0.84,-0.84,-0.86,4.82,4.82,4.82
28.05,5.67,0.85,5.67,0.85,-0.85,-0.87,4.82,4.82,4.82
28.33,5.69,0.86,5.69,0.86,-0.86,-0.89,4.83,4.83,4.83
28.62,5.70,0.86,5.70,0.87,-0.87,-0.90,4.83,4.84,4.83
28.90,5.72,0.88,5.72,0.87,-0.87,-0.92,4.84,4.84,4.84
29.19,5.73,0.88,5.73,0.88,-0.88,-0.93,4.85,4.85,4.85
29.48,5.74,0.89,5.74,0.89,-0.89,-0.94,4.85,4.85,4.85
29.78,5.75,0.90,5.75,0.90,-0.90,-0.96,4.85,4.85,4.85
30.08,5.77,0.91,5.77,0.91,-0.91,-0.97,4.86,4.85,4.85
30.38,5.78,0.93,5.78,0.92,-0.93,-0.98,4.85,4.86,4.85
30.68,5.80,0.94,5.80,0.94,-0.94,-0.99,4.86,4.86,4.86
30.99,5.81,0.95,5.81,0.96,-0.96,-1.00,4.85,4.85,4.86
31.30,5.82,0.98,5.82,0.98,-0.98,-1.01,4.84,4.84,4.84
31.61,5.82,1.00,5.82,1.00,-1.00,-1.01,4.82,4.82,4.82
31.93,5.83,1.02,5.83,1.02,-1.02,-1.02,4.81,4.81,4.81
32.24,5.84,1.04,5.84,1.04,-1.04,-1.03,4.80,4.80,4.80
32.57,5.85,1.07,5.85,1.06,-1.06,-1.03,4.79,4.79,4.78
32.89,5.86,1.09,5.86,1.09,-1.08,-1.04,4.78,4.78,4.77
33.22,5.87,1.10,5.87,1.11,-1.10,-1.04,4.77,4.77,4.77
33.55,5.89,1.13,5.88,1.12,-1.12,-1.04,4.77,4.76,4.76
33.89,5.90,1.14,5.90,1.14,-1.14,-1.04,4.76,4.76,4.76
34.23,5.91,1.15,5.91,1.16,-1.16,-1.05,4.75,4.76,4.76
34.57,5.93,1.18,5.93,1.17,-1.17,-1.05,4.75,4.75,4.75
34.92,5.94,1.19,5.94,1.19,-1.19,-1.05,4.75,4.75,4.75
