frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.10,0.33,5.10,0.33,-0.33,-0.20,4.77,4.77,4.77
20.20,5.12,0.36,5.12,0.36,-0.36,-0.21,4.76,4.76,4.76
20.40,5.13,0.38,5.14,0.39,-0.39,-0.21,4.74,4.75,4.75
20.61,5.16,0.42,5.16,0.42,-0.42,-0.22,4.74,4.73,4.73
20.81,5.18,0.46,5.17,0.45,-0.45,-0.22,4.73,4.72,4.72
21.02,5.19,0.48,5.19,0.48,-0.48,-0.23,4.71,4.71,4.71
21.23,5.21,0.51,5.21,0.51,-0.51,-0.23,4.70,4.70,4.70
21.44,5.23,0.54,5.23,0.54,-0.54,-0.24,4.69,4.69,4.69
21.66,5.25,0.57,5.25,0.57,-0.57,-0.24,4.68,4.68,4.68
21.87,5.27,0.60,5.27,0.60,-0.60,-0.25,4.67,4.67,4.67
22.09,5.29,0.63,5.29,0.63,-0.63,-0.25,4.66,4.66,4.66
22.31,5.31,0.66,5.31,0.66,-0.66,-0.26,4.65,4.65,4.65
22.54,5.33,0.68,5.32,0.68,-0.69,-0.26,4.64,4.64,4.65
22.76,5.34,0.70,5.34,0.71,-0.71,-0.27,4.62,4.63,4.64
22.99,5.36,0.74,5.36,0.74,-0.74,-0.28,4.62,4.62,4.62
23.22,5.39,0.78,5.38,0.77,-0.77,-0.28,4.62,4.61,4.61
23.45,5.41,0.81,5.41,0.81,-0.80,-0.29,4.61,4.61,4.60
23.69,5.42,0.83,5.42,0.83,-0.83,-0.30,4.59,4.60,4.59
23.92,5.44,0.85,5.44,0.86,-0.86,-0.30,4.58,4.58,4.58
24.16,5.45,0.88,5.45,0.88,-0.88,-0.31,4.57,4.57,4.57
24.40,5.47,0.91,5.47,0.90,-0.91,-0.32,4.56,4.56,4.56
24.65,5.48,0.93,5.48,0.93,-0.94,-0.33,4.54,4.55,4.55
24.89,5.50,0.96,5.50,0.96,-0.96,-0.33,4.54,4.54,4.54
25.14,5.52,1.00,5.51,0.99,-0.99,-0.34,4.53,4.53,4.52
25.39,5.53,1.02,5.53,1.02,-1.02,-0.35,4.51,4.51,4.51
25.65,5.54,1.04,5.54,1.04,-1.05,-0.36,4.49,4.50,4.50
25.91,5.56,1.07,5.56,1.07,-1.07,-0.37,4.49,4.48,4.49
26.16,5.57,1.10,5.57,1.10,-1.10,-0.38,4.47,4.47,4.47
26.43,5.59,1.13,5.59,1.13,-1.13,-0.38,4.46,4.46,4.46
26.69,5.61,1.16,5.60,1.15,-1.15,-0.39,4.46,4.45,4.45
26.96,5.62,1.18,5.62,1.18,-1.18,-0.40,4.44,4.44,4.44
27.23,5.63,1.19,5.63,1.20,-1.20,-0.41,4.43,4.43,4.43
