frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.10,-0.97,5.10,-0.97,0.97,-0.10,6.07,6.07,6.07
20.20,5.12,-0.94,5.12,-0.94,0.94,-0.10,6.06,6.06,6.06
20.40,5.13,-0.91,5.14,-0.91,0.91,-0.10,6.04,6.05,6.04
20.61,5.16,-0.87,5.16,-0.88,0.88,-0.10,6.04,6.03,6.03
20.81,5.18,-0.84,5.17,-0.85,0.85,-0.10,6.03,6.02,6.02
21.02,5.19,-0.82,5.19,-0.82,0.82,-0.11,6.01,6.01,6.01
21.23,5.21,-0.79,5.21,-0.79,0.79,-0.11,6.00,6.00,6.00
21.44,5.23,-0.76,5.23,-0.76,0.76,-0.11,5.99,5.99,5.99
21.66,5.25,-0.72,5.25,-0.73,0.73,-0.11,5.98,5.98,5.97
21.87,5.27,-0.70,5.27,-0.70,0.70,-0.12,5.97,5.97,5.97
22.09,5.29,-0.67,5.29,-0.67,0.67,-0.12,5.96,5.96,5.96
22.31,5.31,-0.64,5.31,-0.65,0.64,-0.12,5.95,5.95,5.95
22.54,5.33,-0.62,5.32,-0.62,0.62,-0.12,5.94,5.94,5.95
22.76,5.34,-0.59,5.34,-0.59,0.59,-0.13,5.93,5.93,5.93
22.99,5.36,-0.56,5.36,-0.56,0.56,-0.13,5.92,5.92,5.92
23.22,5.39,-0.52,5.38,-0.53,0.53,-0.13,5.92,5.91,5.91
23.45,5.41,-0.49,5.41,-0.50,0.50,-0.14,5.91,5.91,5.90
23.69,5.42,-0.47,5.42,-0.47,0.47,-0.14,5.89,5.90,5.89
23.92,5.44,-0.44,5.44,-0.44,0.44,-0.14,5.88,5.88,5.88
24.16,5.45,-0.42,5.45,-0.42,0.42,-0.15,5.87,5.87,5.87
24.40,5.47,-0.39,5.47,-0.39,0.39,-0.15,5.86,5.86,5.86
24.65,5.48,-0.37,5.48,-0.37,0.36,-0.15,5.84,5.85,5.85
24.89,5.50,-0.33,5.50,-0.33,0.34,-0.16,5.84,5.84,5.83
25.14,5.52,-0.30,5.51,-0.31,0.31,-0.16,5.83,5.82,5.82
25.39,5.53,-0.28,5.53,-0.28,0.28,-0.16,5.81,5.81,5.81
25.65,5.54,-0.26,5.54,-0.26,0.25,-0.17,5.79,5.80,5.80
25.91,5.56,-0.22,5.56,-0.23,0.23,-0.17,5.79,5.78,5.78
26.16,5.57,-0.20,5.57,-0.20,0.20,-0.18,5.77,5.77,5.77
26.43,5.59,-0.17,5.59,-0.17,0.17,-0.18,5.76,5.76,5.76
26.69,5.61,-0.14,5.60,-0.15,0.15,-0.18,5.76,5.75,5.75
26.96,5.62,-0.12,5.62,-0.12,0.12,-0.19,5.74,5.74,5.74
27.23,5.63,-0.10,5.63,-0.10,0.10,-0.19,5.73,5.73,5.73
27.50,5.65,-0.07,5.64,-0.08,0.08,-0.20,5.72,5.72,5.72
27.77,5.66,-0.05,5.66,-0.05,0.05,-0.20,5.71,5.71,5.71
28.05,5.67,-0.03,5.67,-0.03,0.03,-0.21,5.70,5.70,5.70
28.33,5.69,-0.00,5.69,-0.01,0.00,-0.21,5.69,5.69,5.69
28.62,5.70,0.02,5.70,0.02,-0.02,-0.22,5.68,5.68,5.68
28.90,5.72,0.05,5.72,0.05,-0.05,-0.22,5.67,5.67,5.67
29.19,5.73,0.08,5.73,0.07,-0.07,-0.23,5.66,5.65,5.65
29.48,5.74,0.10,5.74,0.10,-0.10,-0.23,5.64,5.64,5.64
29.78,5.75,0.12,5.75,0.12,-0.12,-0.24,5.63,5.63,5.63
30.08,5.77,0.16,5.77,0.15,-0.15,-0.25,5.62,5.62,5.61
30.38,5.78,0.17,5.78,0.17,-0.17,-0.25,5.61,5.61,5.61
30.68,5.80,0.20,5.80,0.19,-0.19,-0.26,5.61,5.61,5.60
30.99,5.81,0.21,5.81,0.21,-0.21,-0.27,5.60,5.60,5.60
31.30,5.82,0.23,5.82,0.22,-0.23,-0.27,5.59,5.59,5.59
31.61,5.82,0.24,5.82,0.24,-0.25,-0.28,5.57,5.58,5.58
31.93,5.83,0.26,5.83,0.26,-0.27,-0.29,5.56,5.56,5.57
32.24,5.84,0.29,5.84,0.28,-0.29,-0.29,5.55,5.55,5.55
32.57,5.85,0.31,5.85,0.31,-0.31,-0.30,5.54,5.54,5.54
32.89,5.86,0.34,5.86,0.33,-0.33,-0.31,5.52,5.52,5.52
33.22,5.87,0.36,5.87,0.36,-0.36,-0.32,5.51,5.51,5.51
33.55,5.89,0.39,5.88,0.39,-0.39,-0.32,5.50,5.50,5.50
33.89,5.90,0.42,5.90,0.41,-0.41,-0.33,5.49,5.49,5.48
34.23,5.91,0.44,5.91,0.44,-0.44,-0.34,5.47,5.47,5.47
34.57,5.93,0.47,5.93,0.46,-0.46,-0.35,5.47,5.46,5.46
34.92,5.94,0.49,5.94,0.49,-0.49,-0.36,5.45,5.45,5.45
35.27,5.95,0.51,5.95,0.51,-0.51,-0.37,5.44,5.44,5.44
35.62,5.96,0.53,5.96,0.53,-0.53,-0.38,5.43,5.43,5.43
35.97,5.97,0.55,5.97,0.55,-0.55,-0.39,5.42,5.42,5.42
36.33,5.97,0.57,5.97,0.57,-0.56,-0.40,5.40,5.40,5.40
36.70,5.97,0.58,5.97,0.58,-0.58,-0.41,5.39,5.39,5.39
