frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.10,2.83,5.10,2.83,-2.83,-0.35,2.27,2.27,2.27
20.20,5.12,2.85,5.12,2.85,-2.85,-0.36,2.27,2.27,2.27
20.40,5.13,2.86,5.14,2.87,-2.87,-0.36,2.26,2.27,2.27
20.61,5.16,2.89,5.16,2.89,-2.89,-0.37,2.27,2.27,2.27
20.81,5.18,2.92,5.17,2.91,-2.91,-0.38,2.27,2.27,2.26
21.02,5.19,2.93,5.19,2.93,-2.93,-0.39,2.26,2.26,2.26
21.23,5.21,2.95,5.21,2.95,-2.95,-0.40,2.26,2.26,2.26
21.44,5.23,2.97,5.23,2.97,-2.97,-0.41,2.26,2.26,2.26
21.66,5.25,2.99,5.25,2.99,-3.00,-0.42,2.25,2.25,2.26
21.87,5.27,3.02,5.27,3.02,-3.02,-0.43,2.25,2.25,2.25
22.09,5.29,3.05,5.29,3.05,-3.04,-0.44,2.25,2.25,2.24
22.31,5.31,3.07,5.31,3.07,-3.06,-0.45,2.24,2.24,2.24
22.54,5.33,3.10,5.32,3.09,-3.09,-0.46,2.24,2.24,2.23
22.76,5.34,3.11,5.34,3.11,-3.11,-0.47,2.23,2.23,2.23
22.99,5.36,3.13,5.36,3.13,-3.14,-0.48,2.22,2.23,2.23
23.22,5.39,3.16,5.38,3.15,-3.16,-0.49,2.23,2.23,2.23
23.45,5.41,3.18,5.41,3.18,-3.18,-0.50,2.23,2.23,2.23
23.69,5.42,3.21,5.42,3.20,-3.20,-0.51,2.22,2.23,2.21
23.92,5.44,3.23,5.44,3.22,-3.22,-0.52,2.22,2.22,2.21
24.16,5.45,3.23,5.45,3.23,-3.23,-0.54,2.22,2.22,2.22
24.40,5.47,3.25,5.47,3.25,-3.25,-0.55,2.22,2.22,2.22
24.65,5.48,3.26,5.48,3.26,-3.26,-0.56,2.21,2.22,2.22
24.89,5.50,3.28,5.50,3.28,-3.28,-0.58,2.22,2.22,2.22
25.14,5.52,3.30,5.51,3.29,-3.29,-0.59,2.23,2.22,2.22
25.39,5.53,3.31,5.53,3.31,-3.31,-0.60,2.22,2.22,2.22
25.65,5.54,3.32,5.54,3.32,-3.33,-0.62,2.21,2.22,2.22
25.91,5.56,3.35,5.56,3.34,-3.34,-0.63,2.22,2.21,2.21
26.16,5.57,3.36,5.57,3.36,-3.36,-0.65,2.21,2.21,2.21
26.43,5.59,3.38,5.59,3.38,-3.38,-0.66,2.21,2.21,2.21
26.69,5.61,3.40,5.60,3.39,-3.39,-0.68,2.22,2.21,2.21
26.96,5.62,3.41,5.62,3.41,-3.41,-0.70,2.21,2.21,2.21
27.23,5.63,3.42,5.63,3.42,-3.42,-0.71,2.21,2.21,2.21
27.50,5.65,3.44,5.64,3.44,-3.44,-0.73,2.21,2.21,2.21
27.77,5.66,3.46,5.66,3.45,-3.45,-0.75,2.20,2.20,2.20
28.05,5.67,3.47,5.67,3.47,-3.47,-0.77,2.20,2.20,2.20
28.33,5.69,3.49,5.69,3.48,-3.49,-0.79,2.20,2.20,2.20
28.62,5.70,3.50,5.70,3.50,-3.50,-0.81,2.20,2.20,2.20
28.90,5.72,3.52,5.72,3.52,-3.52,-0.83,2.20,2.20,2.20
29.19,5.73,3.54,5.73,3.53,-3.53,-0.85,2.20,2.20,2.19
29.48,5.74,3.55,5.74,3.55,-3.55,-0.87,2.19,2.19,2.19
29.78,5.75,3.56,5.75,3.56,-3.56,-0.89,2.19,2.19,2.19
30.08,5.77,3.58,5.77,3.57,-3.58,-0.91,2.19,2.19,2.19
30.38,5.78,3.59,5.78,3.59,-3.59,-0.94,2.19,2.19,2.19
30.68,5.80,3.62,5.80,3.61,-3.61,-0.96,2.19,2.19,2.18
30.99,5.81,3.63,5.81,3.63,-3.62,-0.99,2.19,2.19,2.18
31.30,5.82,3.64,5.82,3.64,-3.63,-1.01,2.19,2.18,2.18
31.61,5.82,3.64,5.82,3.64,-3.64,-1.04,2.17,2.18,2.18
31.93,5.83,3.66,5.83,3.65,-3.66,-1.07,2.17,2.17,2.17
32.24,5.84,3.67,5.84,3.67,-3.67,-1.09,2.17,2.17,2.17
32.57,5.85,3.68,5.85,3.68,-3.68,-1.12,2.17,2.17,2.17
32.89,5.86,3.70,5.86,3.69,-3.70,-1.15,2.16,2.16,2.16
33.22,5.87,3.71,5.87,3.71,-3.71,-1.18,2.16,2.16,2.16
33.55,5.89,3.73,5.88,3.73,-3.73,-1.21,2.16,2.16,2.16
33.89,5.90,3.75,5.90,3.74,-3.74,-1.25,2.15,2.15,2.15
34.23,5.91,3.76,5.91,3.76,-3.76,-1.28,2.15,2.15,2.15
34.57,5.93,3.78,5.93,3.78,-3.78,-1.31,2.15,2.15,2.15
34.92,5.94,3.80,5.94,3.79,-3.79,-1.35,2.14,2.14,2.14
35.27,5.95,3.81,5.95,3.81,-3.81,-1.39,2.14,2.14,2.14
35.62,5.96,3.83,5.96,3.82,-3.82,-1.42,2.14,2.14,2.13
35.97,5.97,3.84,5.97,3.83,-3.83,-1.46,2.14,2.14,2.13
36.33,5.97,3.84,5.97,3.84,-3.84,-1.50,2.13,2.13,2.13
36.70,5.97,3.85,5.97,3.85,-3.85,-1.54,2.12,2.12,2.12
37.06,5.97,3.85,5.97,3.85,-3.85,-1.59,2.12,2.12,2.12
37.43,5.97,3.85,5.97,3.85,-3.85,-1.63,2.12,2.12,2.12
37.81,5.97,3.85,5.97,3.85,-3.85,-1.68,2.11,2.11,2.12
38.19,5.97,3.86,5.97,3.85,-3.85,-1.72,2.11,2.11,2.11
38.57,5.97,3.86,5.97,3.86,-3.85,-1.77,2.12,2.12,2.11
38.95,5.97,3.86,5.97,3.86,-3.85,-1.82,2.12,2.12,2.11
39.34,5.97,3.86,5.97,3.85,-3.85,-1.87,2.12,2.12,2.11
39.74,5.97,3.84,5.97,3.85,-3.84,-1.92,2.13,2.13,2.13
40.14,5.97,3.84,5.97,3.84,-3.84,-1.98,2.13,2.13,2.13
40.54,5.97,3.84,5.97,3.83,-3.83,-2.04,2.13,2.13,2.13
40.94,5.97,3.83,5.97,3.83,-3.83,-2.09,2.14,2.14,2.14
41.35,5.97,3.83,5.97,3.83,-3.83,-2.15,2.14,2.14,2.14
41.76,5.97,3.83,5.97,3.83,-3.84,-2.21,2.13,2.13,2.14
42.18,5.97,3.84,5.97,3.84,-3.84,-2.28,2.13,2.13,2.13
42.60,5.97,3.85,5.97,3.85,-3.85,-2.34,2.12,2.12,2.12
43.03,5.97,3.87,5.97,3.86,-3.86,-2.41,2.11,2.11,2.10
