frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.10,1.87,5.10,1.87,-1.87,-0.27,3.23,3.23,3.23
20.20,5.12,1.89,5.12,1.89,-1.89,-0.28,3.23,3.23,3.23
20.40,5.13,1.90,5.14,1.91,-1.91,-0.29,3.22,3.23,3.23
20.61,5.16,1.93,5.16,1.93,-1.93,-0.29,3.23,3.23,3.23
20.81,5.18,1.95,5.17,1.95,-1.95,-0.30,3.23,3.23,3.23
21.02,5.19,1.96,5.19,1.97,-1.97,-0.31,3.22,3.23,3.22
21.23,5.21,1.98,5.21,1.99,-1.99,-0.31,3.22,3.22,3.22
21.44,5.23,2.01,5.23,2.00,-2.00,-0.32,3.22,3.22,3.22
21.66,5.25,2.03,5.25,2.02,-2.02,-0.33,3.23,3.23,3.22
21.87,5.27,2.04,5.27,2.04,-2.04,-0.33,3.23,3.23,3.23
22.09,5.29,2.06,5.29,2.06,-2.06,-0.34,3.23,3.23,3.23
22.31,5.31,2.08,5.31,2.07,-2.07,-0.35,3.23,3.23,3.23
22.54,5.33,2.09,5.32,2.09,-2.09,-0.36,3.24,3.23,3.24
22.76,5.34,2.10,5.34,2.10,-2.11,-0.37,3.23,3.23,3.24
22.99,5.36,2.12,5.36,2.13,-2.13,-0.38,3.23,3.24,3.24
23.22,5.39,2.15,5.38,2.15,-2.15,-0.38,3.24,3.24,3.24
23.45,5.41,2.17,5.41,2.17,-2.16,-0.39,3.25,3.24,3.24
23.69,5.42,2.18,5.42,2.19,-2.18,-0.40,3.24,3.24,3.23
23.92,5.44,2.20,5.44,2.20,-2.20,-0.41,3.24,3.24,3.24
24.16,5.45,2.21,5.45,2.21,-2.21,-0.42,3.24,3.24,3.24
24.40,5.47,2.23,5.47,2.22,-2.23,-0.43,3.24,3.24,3.24
24.65,5.48,2.24,5.48,2.24,-2.24,-0.44,3.23,3.24,3.24
24.89,5.50,2.26,5.50,2.26,-2.26,-0.45,3.24,3.24,3.24
25.14,5.52,2.28,5.51,2.28,-2.28,-0.46,3.24,3.24,3.24
25.39,5.53,2.29,5.53,2.29,-2.29,-0.47,3.24,3.24,3.24
25.65,5.54,2.30,5.54,2.31,-2.31,-0.48,3.23,3.23,3.23
25.91,5.56,2.33,5.56,2.32,-2.33,-0.50,3.23,3.23,3.23
26.16,5.57,2.34,5.57,2.34,-2.34,-0.51,3.23,3.23,3.23
26.43,5.59,2.36,5.59,2.36,-2.36,-0.52,3.23,3.23,3.23
26.69,5.61,2.38,5.60,2.38,-2.37,-0.53,3.24,3.23,3.23
26.96,5.62,2.39,5.62,2.39,-2.39,-0.55,3.23,3.23,3.23
27.23,5.63,2.39,5.63,2.40,-2.40,-0.56,3.23,3.23,3.23
27.50,5.65,2.42,5.64,2.41,-2.41,-0.57,3.23,3.23,3.23
27.77,5.66,2.43,5.66,2.42,-2.43,-0.59,3.23,3.23,3.23
28.05,5.67,2.43,5.67,2.44,-2.44,-0.60,3.23,3.23,3.24
28.33,5.69,2.45,5.69,2.45,-2.45,-0.62,3.24,3.23,3.24
28.62,5.70,2.46,5.70,2.47,-2.47,-0.63,3.23,3.23,3.23
28.90,5.72,2.49,5.72,2.48,-2.48,-0.65,3.24,3.23,3.23
29.19,5.73,2.50,5.73,2.50,-2.50,-0.66,3.23,3.23,3.23
29.48,5.74,2.51,5.74,2.51,-2.51,-0.68,3.23,3.23,3.23
29.78,5.75,2.52,5.75,2.53,-2.53,-0.70,3.22,3.22,3.22
30.08,5.77,2.55,5.77,2.54,-2.54,-0.72,3.23,3.23,3.22
30.38,5.78,2.55,5.78,2.56,-2.55,-0.73,3.23,3.23,3.23
30.68,5.80,2.57,5.80,2.57,-2.56,-0.75,3.24,3.24,3.23
30.99,5.81,2.58,5.81,2.57,-2.57,-0.77,3.24,3.24,3.23
31.30,5.82,2.58,5.82,2.58,-2.58,-0.79,3.24,3.24,3.24
31.61,5.82,2.58,5.82,2.58,-2.59,-0.81,3.23,3.23,3.24
31.93,5.83,2.59,5.83,2.59,-2.60,-0.83,3.23,3.23,3.23
32.24,5.84,2.61,5.84,2.61,-2.61,-0.86,3.23,3.23,3.23
32.57,5.85,2.62,5.85,2.62,-2.62,-0.88,3.23,3.23,3.23
32.89,5.86,2.64,5.86,2.64,-2.64,-0.90,3.22,3.22,3.22
33.22,5.87,2.65,5.87,2.65,-2.65,-0.92,3.22,3.22,3.22
33.55,5.89,2.67,5.88,2.67,-2.67,-0.95,3.22,3.21,3.22
33.89,5.90,2.69,5.90,2.69,-2.69,-0.97,3.21,3.21,3.21
34.23,5.91,2.70,5.91,2.71,-2.70,-1.00,3.21,3.21,3.21
34.57,5.93,2.73,5.93,2.72,-2.72,-1.03,3.21,3.21,3.20
34.92,5.94,2.73,5.94,2.73,-2.73,-1.05,3.21,3.21,3.21
35.27,5.95,2.75,5.95,2.74,-2.74,-1.08,3.21,3.21,3.20
35.62,5.96,2.75,5.96,2.75,-2.75,-1.11,3.21,3.21,3.21
