frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.10,0.55,5.10,0.55,-0.55,-0.16,4.55,4.55,4.55
20.20,5.12,0.57,5.12,0.57,-0.57,-0.16,4.55,4.55,4.55
20.40,5.13,0.58,5.14,0.59,-0.59,-0.17,4.54,4.55,4.55
20.61,5.16,0.61,5.16,0.60,-0.61,-0.17,4.55,4.55,4.55
20.81,5.18,0.63,5.17,0.62,-0.63,-0.17,4.55,4.55,4.55
21.02,5.19,0.64,5.19,0.64,-0.64,-0.18,4.54,4.55,4.55
21.23,5.21,0.66,5.21,0.66,-0.66,-0.18,4.55,4.55,4.55
21.44,5.23,0.68,5.23,0.68,-0.68,-0.18,4.55,4.55,4.55
21.66,5.25,0.71,5.25,0.70,-0.70,-0.19,4.55,4.55,4.54
21.87,5.27,0.72,5.27,0.72,-0.72,-0.19,4.55,4.55,4.55
22.09,5.29,0.74,5.29,0.74,-0.74,-0.20,4.55,4.55,4.55
22.31,5.31,0.76,5.31,0.75,-0.75,-0.20,4.56,4.56,4.55
22.54,5.33,0.77,5.32,0.77,-0.77,-0.21,4.56,4.55,4.56
22.76,5.34,0.78,5.34,0.78,-0.79,-0.21,4.55,4.55,4.56
22.99,5.36,0.80,5.36,0.80,-0.81,-0.22,4.55,4.56,4.56
23.22,5.39,0.83,5.38,0.82,-0.82,-0.22,4.57,4.56,4.56
23.45,5.41,0.85,5.41,0.84,-0.84,-0.23,4.57,4.57,4.56
23.69,5.42,0.86,5.42,0.86,-0.85,-0.23,4.57,4.57,4.56
23.92,5.44,0.87,5.44,0.87,-0.87,-0.24,4.57,4.57,4.57
24.16,5.45,0.88,5.45,0.88,-0.89,-0.24,4.56,4.56,4.57
24.40,5.47,0.90,5.47,0.90,-0.90,-0.25,4.57,4.56,4.57
24.65,5.48,0.92,5.48,0.92,-0.92,-0.25,4.56,4.56,4.56
24.89,5.50,0.94,5.50,0.94,-0.93,-0.26,4.57,4.57,4.56
25.14,5.52,0.96,5.51,0.95,-0.95,-0.27,4.57,4.57,4.56
25.39,5.53,0.97,5.53,0.97,-0.97,-0.27,4.56,4.56,4.56
25.65,5.54,0.98,5.54,0.98,-0.98,-0.28,4.55,4.56,4.56
25.91,5.56,1.00,5.56,0.99,-1.00,-0.29,4.56,4.55,4.56
26.16,5.57,1.01,5.57,1.01,-1.02,-0.29,4.55,4.56,4.56
26.43,5.59,1.03,5.59,1.03,-1.03,-0.30,4.56,4.56,4.56
26.69,5.61,1.06,5.60,1.05,-1.04,-0.31,4.56,4.56,4.55
26.96,5.62,1.07,5.62,1.07,-1.06,-0.31,4.56,4.56,4.55
27.23,5.63,1.07,5.63,1.08,-1.07,-0.32,4.56,4.56,4.56
27.50,5.65,1.09,5.64,1.08,-1.09,-0.33,4.56,4.56,4.56
27.77,5.66,1.10,5.66,1.09,-1.10,-0.34,4.56,4.56,4.56
28.05,5.67,1.10,5.67,1.11,-1.11,-0.34,4.56,4.56,4.57
28.33,5.69,1.13,5.69,1.12,-1.12,-0.35,4.56,4.56,4.56
28.62,5.70,1.14,5.70,1.14,-1.14,-0.36,4.56,4.56,4.56
28.90,5.72,1.16,5.72,1.16,-1.15,-0.37,4.57,4.56,4.56
29.19,5.73,1.17,5.73,1.17,-1.17,-0.38,4.56,4.56,4.56
29.48,5.74,1.18,5.74,1.18,-1.18,-0.39,4.55,4.56,4.56
29.78,5.75,1.20,5.75,1.20,-1.20,-0.40,4.55,4.55,4.55
30.08,5.77,1.22,5.77,1.21,-1.21,-0.41,4.56,4.56,4.55
30.38,5.78,1.22,5.78,1.23,-1.22,-0.42,4.56,4.56,4.56
30.68,5.80,1.24,5.80,1.24,-1.23,-0.43,4.57,4.57,4.56
30.99,5.81,1.25,5.81,1.24,-1.24,-0.44,4.57,4.57,4.56
31.30,5.82,1.25,5.82,1.25,-1.25,-0.45,4.57,4.57,4.57
31.61,5.82,1.25,5.82,1.25,-1.26,-0.46,4.56,4.57,4.57
31.93,5.83,1.26,5.83,1.26,-1.27,-0.48,4.56,4.56,4.57
32.24,5.84,1.28,5.84,1.27,-1.28,-0.49,4.56,4.56,4.56
32.57,5.85,1.29,5.85,1.29,-1.29,-0.50,4.56,4.56,4.56
32.89,5.86,1.30,5.86,1.30,-1.30,-0.51,4.56,4.56,4.56
33.22,5.87,1.32,5.87,1.32,-1.32,-0.53,4.55,4.55,4.55
33.55,5.89,1.34,5.88,1.33,-1.34,-0.54,4.55,4.55,4.55
33.89,5.90,1.35,5.90,1.35,-1.35,-0.55,4.55,4.55,4.55
34.23,5.91,1.37,5.91,1.37,-1.37,-0.57,4.54,4.55,4.54
34.57,5.93,1.39,5.93,1.39,-1.38,-0.58,4.55,4.54,4.54
34.92,5.94,1.40,5.94,1.40,-1.39,-0.60,4.55,4.54,4.54
35.27,5.95,1.41,5.95,1.41,-1.41,-0.61,4.54,4.55,4.54
35.62,5.96,1.41,5.96,1.41,-1.42,-0.63,4.54,4.54,4.55
35.97,5.97,1.43,5.97,1.42,-1.42,-0.65,4.55,4.54,4.54
36.33,5.97,1.43,5.97,1.43,-1.43,-0.67,4.54,4.54,4.54
36.70,5.97,1.44,5.97,1.44,-1.44,-0.68,4.53,4.53,4.53
37.06,5.97,1.44,5.97,1.44,-1.44,-0.70,4.53,4.53,4.53
37.43,5.97,1.45,5.97,1.45,-1.45,-0.72,4.52,4.52,4.52
37.81,5.97,1.46,5.97,1.45,-1.45,-0.74,4.52,4.52,4.51
38.19,5.97,1.46,5.97,1.46,-1.46,-0.76,4.51,4.51,4.51
38.57,5.97,1.46,5.97,1.46,-1.46,-0.78,4.51,4.51,4.51
38.95,5.97,1.46,5.97,1.46,-1.46,-0.80,4.51,4.51,4.51
39.34,5.97,1.47,5.97,1.46,-1.47,-0.83,4.50,4.50,4.50
39.74,5.97,1.47,5.97,1.47,-1.47,-0.85,4.50,4.50,4.50
40.14,5.97,1.47,5.97,1.47,-1.48,-0.87,4.49,4.49,4.50
40.54,5.97,1.48,5.97,1.48,-1.48,-0.90,4.49,4.49,4.49
