frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.84,-1.67,8.84,-1.67,1.67,-0.02,10.51,10.51,10.51
20.20,8.86,-1.66,8.87,-1.65,1.65,-0.02,10.52,10.52,10.52
20.40,8.88,-1.65,8.89,-1.64,1.64,-0.03,10.52,10.53,10.53
20.61,8.91,-1.63,8.91,-1.63,1.63,-0.03,10.54,10.54,10.54
20.81,8.93,-1.61,8.93,-1.61,1.61,-0.03,10.55,10.54,10.54
21.02,8.95,-1.60,8.96,-1.60,1.60,-0.03,10.55,10.55,10.55
21.23,8.97,-1.59,8.98,-1.58,1.58,-0.03,10.56,10.56,10.56
21.44,9.00,-1.57,9.00,-1.57,1.57,-0.03,10.57,10.57,10.57
21.66,9.02,-1.55,9.02,-1.55,1.55,-0.03,10.57,10.57,10.57
21.87,9.04,-1.54,9.05,-1.53,1.53,-0.03,10.58,10.58,10.58
22.09,9.06,-1.52,9.06,-1.52,1.52,-0.03,10.58,10.58,10.58
22.31,9.08,-1.51,9.09,-1.50,1.50,-0.03,10.58,10.59,10.59
22.54,9.10,-1.49,9.11,-1.49,1.48,-0.03,10.59,10.59,10.59
22.76,9.13,-1.47,9.13,-1.47,1.47,-0.03,10.60,10.60,10.60
22.99,9.15,-1.45,9.15,-1.45,1.45,-0.03,10.60,10.60,10.60
23.22,9.17,-1.43,9.17,-1.43,1.43,-0.04,10.61,10.61,10.60
23.45,9.19,-1.42,9.19,-1.42,1.42,-0.04,10.61,10.61,10.61
23.69,9.20,-1.41,9.21,-1.40,1.40,-0.04,10.60,10.61,10.61
23.92,9.22,-1.39,9.23,-1.39,1.39,-0.04,10.61,10.61,10.61
24.16,9.24,-1.37,9.24,-1.37,1.37,-0.04,10.61,10.61,10.61
24.40,9.26,-1.36,9.26,-1.36,1.36,-0.04,10.62,10.62,10.62
24.65,9.27,-1.35,9.28,-1.34,1.34,-0.04,10.61,10.62,10.62
24.89,9.29,-1.33,9.29,-1.33,1.32,-0.04,10.62,10.62,10.62
25.14,9.31,-1.31,9.31,-1.31,1.31,-0.04,10.62,10.62,10.62
25.39,9.32,-1.30,9.33,-1.29,1.29,-0.04,10.62,10.62,10.62
25.65,9.34,-1.28,9.34,-1.28,1.28,-0.04,10.62,10.62,10.62
25.91,9.36,-1.26,9.36,-1.26,1.26,-0.05,10.62,10.62,10.62
26.16,9.37,-1.25,9.38,-1.24,1.24,-0.05,10.62,10.62,10.62
26.43,9.39,-1.23,9.39,-1.23,1.23,-0.05,10.62,10.62,10.62
26.69,9.40,-1.22,9.41,-1.21,1.21,-0.05,10.62,10.62,10.62
26.96,9.42,-1.20,9.42,-1.20,1.20,-0.05,10.62,10.62,10.62
27.23,9.44,-1.18,9.44,-1.18,1.18,-0.05,10.62,10.62,10.62
27.50,9.45,-1.17,9.46,-1.16,1.16,-0.05,10.62,10.62,10.62
27.77,9.47,-1.15,9.47,-1.15,1.15,-0.05,10.62,10.62,10.62
28.05,9.48,-1.14,9.48,-1.14,1.14,-0.05,10.62,10.62,10.62
28.33,9.49,-1.13,9.50,-1.12,1.12,-0.06,10.62,10.62,10.62
28.62,9.51,-1.11,9.51,-1.11,1.11,-0.06,10.62,10.62,10.62
28.90,9.52,-1.10,9.53,-1.09,1.09,-0.06,10.62,10.62,10.62
29.19,9.54,-1.08,9.54,-1.08,1.08,-0.06,10.63,10.62,10.62
29.48,9.55,-1.07,9.55,-1.07,1.07,-0.06,10.62,10.62,10.62
29.78,9.56,-1.06,9.57,-1.05,1.06,-0.06,10.62,10.62,10.62
30.08,9.57,-1.05,9.57,-1.04,1.04,-0.06,10.62,10.62,10.62
30.38,9.58,-1.03,9.58,-1.03,1.03,-0.07,10.61,10.61,10.61
30.68,9.59,-1.02,9.59,-1.02,1.01,-0.07,10.61,10.61,10.61
30.99,9.60,-1.01,9.60,-1.00,1.00,-0.07,10.60,10.60,10.61
31.30,9.61,-0.99,9.62,-0.99,0.98,-0.07,10.60,10.60,10.60
31.61,9.63,-0.97,9.63,-0.97,0.97,-0.07,10.60,10.60,10.60
31.93,9.64,-0.95,9.64,-0.95,0.95,-0.07,10.59,10.59,10.59
32.24,9.65,-0.94,9.66,-0.93,0.93,-0.07,10.58,10.59,10.59
32.57,9.67,-0.91,9.67,-0.91,0.91,-0.08,10.59,10.58,10.58
32.89,9.68,-0.90,9.69,-0.89,0.89,-0.08,10.58,10.58,10.58
33.22,9.69,-0.88,9.70,-0.87,0.88,-0.08,10.57,10.58,10.57
33.55,9.71,-0.86,9.71,-0.86,0.86,-0.08,10.58,10.57,10.57
33.89,9.71,-0.85,9.71,-0.85,0.85,-0.08,10.56,10.56,10.56
34.23,9.71,-0.84,9.72,-0.83,0.84,-0.08,10.55,10.55,10.55
34.57,9.71,-0.83,9.71,-0.83,0.83,-0.09,10.54,10.54,10.54
34.92,9.71,-0.82,9.71,-0.82,0.82,-0.09,10.53,10.53,10.53
35.27,9.71,-0.82,9.71,-0.81,0.81,-0.09,10.52,10.52,10.53
35.62,9.71,-0.80,9.71,-0.80,0.80,-0.09,10.51,10.51,10.51
35.97,9.71,-0.79,9.71,-0.79,0.78,-0.09,10.50,10.50,10.50
36.33,9.71,-0.78,9.71,-0.77,0.77,-0.09,10.49,10.49,10.49
36.70,9.71,-0.76,9.71,-0.76,0.76,-0.10,10.47,10.47,10.47
37.06,9.71,-0.75,9.71,-0.74,0.74,-0.10,10.46,10.46,10.46
37.43,9.71,-0.73,9.71,-0.73,0.73,-0.10,10.44,10.44,10.44
37.81,9.71,-0.71,9.71,-0.71,0.71,-0.10,10.42,10.42,10.42
38.19,9.71,-0.70,9.71,-0.69,0.69,-0.10,10.41,10.41,10.41
38.57,9.71,-0.68,9.71,-0.68,0.67,-0.11,10.39,10.39,10.39
38.95,9.71,-0.66,9.71,-0.66,0.66,-0.11,10.37,10.37,10.37
39.34,9.71,-0.64,9.71,-0.64,0.64,-0.11,10.35,10.35,10.35
39.74,9.71,-0.62,9.71,-0.62,0.62,-0.11,10.33,10.33,10.33
40.14,9.71,-0.60,9.71,-0.60,0.59,-0.11,10.31,10.31,10.31
40.54,9.71,-0.58,9.71,-0.57,0.57,-0.12,10.29,10.29,10.29
40.94,9.71,-0.55,9.71,-0.55,0.55,-0.12,10.26,10.26,10.26
41.35,9.71,-0.53,9.71,-0.52,0.52,-0.12,10.24,10.24,10.24
41.76,9.71,-0.50,9.72,-0.50,0.50,-0.12,10.21,10.22,10.21
42.18,9.71,-0.48,9.71,-0.47,0.47,-0.12,10.19,10.19,10.19
42.60,9.71,-0.45,9.71,-0.45,0.45,-0.13,10.16,10.16,10.16
43.03,9.70,-0.43,9.71,-0.42,0.42,-0.13,10.12,10.13,10.13
43.46,9.70,-0.40,9.70,-0.40,0.39,-0.13,10.10,10.10,10.10
43.90,9.70,-0.37,9.70,-0.37,0.36,-0.13,10.07,10.07,10.07
44.33,9.70,-0.34,9.70,-0.34,0.34,-0.14,10.04,10.04,10.04
44.78,9.70,-0.31,9.70,-0.31,0.31,-0.14,10.02,10.01,10.01
45.23,9.69,-0.29,9.70,-0.28,0.29,-0.14,9.98,9.98,9.98
45.68,9.68,-0.26,9.68,-0.26,0.26,-0.14,9.95,9.94,9.94
46.13,9.66,-0.24,9.67,-0.24,0.24,-0.15,9.90,9.91,9.90
46.60,9.64,-0.22,9.65,-0.22,0.22,-0.15,9.86,9.86,9.86
47.06,9.63,-0.20,9.63,-0.19,0.19,-0.15,9.83,9.82,9.83
47.53,9.61,-0.18,9.62,-0.17,0.17,-0.16,9.78,9.78,9.79
48.01,9.60,-0.14,9.60,-0.14,0.14,-0.16,9.74,9.74,9.74
48.49,9.58,-0.12,9.59,-0.11,0.10,-0.16,9.69,9.69,9.70
48.97,9.58,-0.07,9.58,-0.07,0.07,-0.17,9.65,9.65,9.65
49.46,9.57,-0.04,9.58,-0.03,0.03,-0.17,9.61,9.61,9.61
49.96,9.57,0.01,9.57,0.01,-0.01,-0.17,9.57,9.57,9.56
50.46,9.57,0.05,9.57,0.05,-0.05,-0.18,9.53,9.52,9.52
50.96,9.56,0.08,9.57,0.09,-0.09,-0.18,9.48,9.48,9.48
51.47,9.56,0.12,9.57,0.13,-0.13,-0.19,9.44,9.44,9.44
51.99,9.56,0.17,9.56,0.17,-0.16,-0.19,9.40,9.40,9.39
52.51,9.55,0.20,9.55,0.20,-0.20,-0.20,9.36,9.35,9.35
53.03,9.53,0.22,9.54,0.23,-0.23,-0.20,9.30,9.31,9.31
53.56,9.52,0.26,9.52,0.26,-0.26,-0.21,9.26,9.26,9.26
54.10,9.50,0.29,9.50,0.29,-0.30,-0.22,9.21,9.21,9.21
54.64,9.48,0.32,9.49,0.33,-0.33,-0.22,9.16,9.16,9.16
55.18,9.46,0.35,9.47,0.36,-0.36,-0.23,9.11,9.11,9.11
55.74,9.45,0.39,9.45,0.39,-0.39,-0.24,9.07,9.07,9.06
56.29,9.43,0.41,9.43,0.41,-0.41,-0.25,9.02,9.02,9.02
56.86,9.41,0.43,9.42,0.44,-0.44,-0.26,8.97,8.98,8.98
57.42,9.40,0.47,9.40,0.47,-0.47,-0.27,8.94,8.94,8.93
58.00,9.39,0.50,9.39,0.50,-0.50,-0.28,8.90,8.89,8.89
58.58,9.37,0.52,9.38,0.53,-0.53,-0.29,8.85,8.85,8.85
59.16,9.36,0.55,9.36,0.55,-0.56,-0.30,8.81,8.81,8.81
59.76,9.35,0.58,9.35,0.59,-0.60,-0.31,8.76,8.75,8.77
60.35,9.33,0.62,9.34,0.63,-0.64,-0.33,8.70,8.70,8.71
60.96,9.32,0.67,9.32,0.67,-0.68,-0.34,8.65,8.65,8.65
61.57,9.31,0.72,9.31,0.72,-0.72,-0.35,8.59,8.59,8.59
62.18,9.29,0.77,9.30,0.78,-0.77,-0.37,8.52,8.53,8.52
62.80,9.28,0.82,9.28,0.82,-0.82,-0.39,8.47,8.47,8.46
63.43,9.27,0.87,9.27,0.87,-0.86,-0.41,8.41,8.41,8.40
64.07,9.25,0.90,9.26,0.91,-0.90,-0.42,8.35,8.36,8.35
64.71,9.24,0.94,9.24,0.94,-0.94,-0.44,8.30,8.30,8.30
65.35,9.22,0.97,9.23,0.98,-0.98,-0.47,8.25,8.25,8.25
66.01,9.21,1.01,9.21,1.01,-1.02,-0.49,8.20,8.20,8.20
66.67,9.19,1.04,9.19,1.05,-1.05,-0.51,8.14,8.14,8.15
67.33,9.17,1.08,9.18,1.09,-1.09,-0.53,8.09,8.09,8.09
68.01,9.15,1.12,9.16,1.13,-1.13,-0.56,8.03,8.03,8.03
68.69,9.14,1.17,9.14,1.17,-1.16,-0.59,7.98,7.98,7.97
69.37,9.12,1.20,9.12,1.21,-1.20,-0.61,7.92,7.92,7.92
70.07,9.10,1.24,9.11,1.25,-1.25,-0.64,7.86,7.86,7.86
70.77,9.08,1.28,9.08,1.28,-1.29,-0.67,7.80,7.80,7.80
71.48,9.06,1.32,9.06,1.32,-1.33,-0.70,7.74,7.74,7.74
72.19,9.04,1.36,9.04,1.37,-1.37,-0.73,7.67,7.67,7.68
72.91,9.02,1.41,9.02,1.41,-1.41,-0.76,7.61,7.61,7.61
73.64,9.00,1.45,9.00,1.45,-1.45,-0.80,7.55,7.55,7.55
74.38,8.98,1.49,8.99,1.50,-1.49,-0.83,7.49,7.50,7.49
75.12,8.96,1.53,8.96,1.53,-1.53,-0.86,7.44,7.44,7.43
75.87,8.94,1.56,8.94,1.56,-1.56,-0.90,7.38,7.38,7.38
76.63,8.91,1.59,8.92,1.59,-1.59,-0.94,7.32,7.32,7.32
77.40,8.88,1.61,8.89,1.62,-1.62,-0.98,7.26,7.27,7.27
78.17,8.86,1.65,8.86,1.65,-1.65,-1.02,7.22,7.21,7.21
78.95,8.83,1.67,8.83,1.67,-1.68,-1.06,7.16,7.16,7.16
79.74,8.80,1.69,8.81,1.70,-1.70,-1.10,7.10,7.11,7.11
80.54,8.78,1.73,8.78,1.73,-1.73,-1.14,7.05,7.05,7.05
81.35,8.75,1.76,8.75,1.76,-1.76,-1.18,6.99,6.99,6.99
82.16,8.72,1.78,8.73,1.79,-1.79,-1.23,6.93,6.94,6.94
82.98,8.69,1.81,8.70,1.82,-1.82,-1.27,6.87,6.88,6.88
