frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-39.00,-37.77,-39.01,-37.77,6.00,0.57,-33.00,-33.01,-1.24
20.20,-38.64,-37.42,-38.63,-37.40,6.00,0.58,-32.64,-32.63,-1.23
20.40,-38.27,-37.05,-38.27,-37.05,6.00,0.59,-32.27,-32.27,-1.22
20.61,-37.93,-36.72,-37.94,-36.73,6.00,0.61,-31.93,-31.94,-1.21
20.81,-37.62,-36.41,-37.63,-36.42,6.00,0.62,-31.62,-31.63,-1.21
21.02,-37.35,-36.15,-37.35,-36.15,6.00,0.63,-31.35,-31.35,-1.20
21.23,-37.08,-35.89,-37.08,-35.89,6.00,0.65,-31.08,-31.08,-1.19
21.44,-36.81,-35.63,-36.80,-35.62,6.00,0.66,-30.81,-30.80,-1.18
21.66,-36.55,-35.37,-36.53,-35.36,6.00,0.68,-30.55,-30.53,-1.18
21.87,-36.26,-35.09,-36.29,-35.12,6.00,0.70,-30.26,-30.29,-1.17
22.09,-36.07,-34.90,-36.07,-34.91,6.00,0.71,-30.07,-30.07,-1.17
22.31,-35.90,-34.74,-35.89,-34.73,6.00,0.73,-29.90,-29.89,-1.16
22.54,-35.74,-34.59,-35.74,-34.58,6.00,0.74,-29.74,-29.74,-1.16
22.76,-35.57,-34.42,-35.58,-34.42,6.00,0.76,-29.57,-29.58,-1.15
22.99,-35.41,-34.27,-35.41,-34.26,6.00,0.78,-29.41,-29.41,-1.15
23.22,-35.24,-34.10,-35.24,-34.10,6.00,0.80,-29.24,-29.24,-1.15
23.45,-35.07,-33.93,-35.07,-33.93,6.00,0.82,-29.07,-29.07,-1.14
23.69,-34.92,-33.79,-34.91,-33.77,6.00,0.83,-28.92,-28.91,-1.14
23.92,-34.74,-33.60,-34.76,-33.62,6.00,0.85,-28.74,-28.76,-1.14
24.16,-34.63,-33.49,-34.63,-33.50,6.00,0.87,-28.63,-28.63,-1.14
24.40,-34.52,-33.39,-34.52,-33.39,6.00,0.90,-28.52,-28.52,-1.13
24.65,-34.42,-33.30,-34.42,-33.29,6.00,0.92,-28.42,-28.42,-1.13
24.89,-34.32,-33.19,-34.32,-33.19,6.00,0.94,-28.32,-28.32,-1.13
25.14,-34.21,-33.08,-34.21,-33.09,6.00,0.96,-28.21,-28.21,-1.13
25.39,-34.11,-32.98,-34.11,-32.98,6.00,0.98,-28.11,-28.11,-1.13
25.65,-34.00,-32.88,-34.00,-32.88,6.00,1.01,-28.00,-28.00,-1.13
25.91,-33.90,-32.78,-33.90,-32.77,6.00,1.03,-27.90,-27.90,-1.13
26.16,-33.79,-32.66,-33.79,-32.66,6.00,1.06,-27.79,-27.79,-1.13
26.43,-33.69,-32.57,-33.70,-32.57,6.00,1.08,-27.69,-27.70,-1.13
26.69,-33.63,-32.51,-33.64,-32.51,6.00,1.11,-27.63,-27.64,-1.13
26.96,-33.60,-32.48,-33.60,-32.47,6.00,1.13,-27.60,-27.60,-1.13
27.23,-33.58,-32.46,-33.58,-32.45,6.00,1.16,-27.58,-27.58,-1.13
27.50,-33.55,-32.43,-33.55,-32.43,6.00,1.19,-27.55,-27.55,-1.13
27.77,-33.53,-32.40,-33.53,-32.40,6.00,1.22,-27.53,-27.53,-1.13
28.05,-33.50,-32.37,-33.50,-32.38,6.00,1.25,-27.50,-27.50,-1.13
28.33,-33.48,-32.35,-33.48,-32.35,6.00,1.28,-27.48,-27.48,-1.13
28.62,-33.45,-32.33,-33.46,-32.33,6.00,1.31,-27.45,-27.46,-1.13
28.90,-33.43,-32.30,-33.43,-32.31,6.00,1.34,-27.43,-27.43,-1.13
29.19,-33.40,-32.28,-33.40,-32.28,6.00,1.38,-27.40,-27.40,-1.13
29.48,-33.37,-32.24,-33.36,-32.24,6.00,1.41,-27.37,-27.36,-1.13
29.78,-33.31,-32.19,-33.31,-32.19,6.00,1.45,-27.31,-27.31,-1.13
30.08,-33.25,-32.13,-33.26,-32.13,6.00,1.48,-27.25,-27.26,-1.13
30.38,-33.20,-32.07,-33.20,-32.07,6.00,1.52,-27.20,-27.20,-1.14
30.68,-33.14,-32.01,-33.14,-32.00,6.00,1.56,-27.14,-27.14,-1.14
30.99,-33.08,-31.95,-33.08,-31.94,6.00,1.60,-27.08,-27.08,-1.14
31.30,-33.02,-31.88,-33.03,-31.88,6.00,1.64,-27.02,-27.03,-1.15
31.61,-32.97,-31.83,-32.97,-31.82,6.00,1.68,-26.97,-26.97,-1.15
31.93,-32.91,-31.76,-32.91,-31.75,6.00,1.73,-26.91,-26.91,-1.16
32.24,-32.85,-31.69,-32.85,-31.69,6.00,1.77,-26.85,-26.85,-1.16
32.57,-32.80,-31.64,-32.81,-31.64,6.00,1.82,-26.80,-26.81,-1.17
32.89,-32.78,-31.61,-32.78,-31.61,6.00,1.86,-26.78,-26.78,-1.17
33.22,-32.77,-31.60,-32.77,-31.60,6.00,1.91,-26.77,-26.77,-1.18
33.55,-32.76,-31.58,-32.76,-31.58,6.00,1.96,-26.76,-26.76,-1.18
33.89,-32.75,-31.57,-32.75,-31.56,6.00,2.01,-26.75,-26.75,-1.19
34.23,-32.73,-31.54,-32.74,-31.54,6.00,2.07,-26.73,-26.74,-1.20
34.57,-32.72,-31.52,-32.72,-31.52,6.00,2.12,-26.72,-26.72,-1.21
34.92,-32.71,-31.50,-32.71,-31.50,6.00,2.18,-26.71,-26.71,-1.22
35.27,-32.70,-31.49,-32.71,-31.48,6.00,2.23,-26.70,-26.71,-1.22
35.62,-32.69,-31.46,-32.70,-31.46,6.00,2.29,-26.69,-26.70,-1.24
35.97,-32.68,-31.43,-32.67,-31.42,6.00,2.36,-26.68,-26.67,-1.25
36.33,-32.62,-31.36,-32.62,-31.35,6.00,2.42,-26.62,-26.62,-1.26
36.70,-32.53,-31.26,-32.54,-31.26,6.00,2.48,-26.53,-26.54,-1.28
37.06,-32.44,-31.15,-32.45,-31.16,6.00,2.55,-26.44,-26.45,-1.29
37.43,-32.36,-31.05,-32.36,-31.05,6.00,2.62,-26.36,-26.36,-1.31
37.81,-32.27,-30.95,-32.28,-30.96,6.00,2.69,-26.27,-26.28,-1.33
38.19,-32.19,-30.86,-32.21,-30.87,6.00,2.76,-26.19,-26.21,-1.34
38.57,-32.10,-30.75,-32.10,-30.74,6.00,2.84,-26.10,-26.10,-1.36
38.95,-31.97,-30.59,-31.91,-30.53,6.00,2.92,-25.97,-25.91,-1.38
39.34,-31.61,-30.21,-31.63,-30.23,6.00,3.00,-25.61,-25.63,-1.40
39.74,-31.26,-29.85,-31.30,-29.88,6.00,3.08,-25.26,-25.30,-1.42
40.14,-30.92,-29.48,-30.92,-29.48,6.00,3.17,-24.92,-24.92,-1.44
40.54,-30.56,-29.10,-30.51,-29.05,6.00,3.25,-24.56,-24.51,-1.46
40.94,-30.03,-28.54,-30.04,-28.55,6.00,3.35,-24.03,-24.04,-1.49
41.35,-29.50,-27.99,-29.52,-28.01,6.00,3.44,-23.50,-23.52,-1.51
41.76,-28.98,-27.44,-28.98,-27.45,6.00,3.53,-22.98,-22.98,-1.54
42.18,-28.47,-26.91,-28.47,-26.91,6.00,3.63,-22.47,-22.47,-1.56
42.60,-27.97,-26.38,-27.96,-26.37,6.00,3.73,-21.97,-21.96,-1.59
43.03,-27.46,-25.84,-27.47,-25.86,6.00,3.84,-21.46,-21.47,-1.62
43.46,-27.00,-25.35,-27.02,-25.37,6.00,3.95,-21.00,-21.02,-1.65
43.90,-26.60,-24.92,-26.58,-24.90,6.00,4.06,-20.60,-20.58,-1.68
44.33,-26.17,-24.46,-26.17,-24.46,6.00,4.17,-20.17,-20.17,-1.71
