frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-39.00,-37.77,-39.01,-37.78,6.00,2.70,-33.00,-33.01,-1.23
20.20,-38.64,-37.41,-38.62,-37.40,6.00,2.78,-32.64,-32.62,-1.22
20.40,-38.27,-37.06,-38.26,-37.05,6.00,2.85,-32.27,-32.26,-1.21
20.61,-37.91,-36.70,-37.93,-36.72,6.00,2.94,-31.91,-31.93,-1.20
20.81,-37.62,-36.41,-37.62,-36.42,6.00,3.02,-31.62,-31.62,-1.20
21.02,-37.35,-36.15,-37.34,-36.15,6.00,3.11,-31.35,-31.34,-1.19
21.23,-37.08,-35.89,-37.07,-35.89,6.00,3.19,-31.08,-31.07,-1.18
21.44,-36.81,-35.63,-36.80,-35.62,6.00,3.28,-30.81,-30.80,-1.17
21.66,-36.53,-35.36,-36.53,-35.36,6.00,3.38,-30.53,-30.53,-1.17
21.87,-36.26,-35.10,-36.28,-35.12,6.00,3.47,-30.26,-30.28,-1.16
22.09,-36.07,-34.90,-36.07,-34.91,6.00,3.57,-30.07,-30.07,-1.16
22.31,-35.90,-34.75,-35.89,-34.74,6.00,3.67,-29.90,-29.89,-1.15
22.54,-35.74,-34.58,-35.73,-34.58,6.00,3.78,-29.74,-29.73,-1.15
22.76,-35.57,-34.43,-35.57,-34.42,6.00,3.88,-29.57,-29.57,-1.14
22.99,-35.41,-34.26,-35.41,-34.26,6.00,3.99,-29.41,-29.41,-1.14
23.22,-35.24,-34.09,-35.24,-34.10,6.00,4.11,-29.24,-29.24,-1.14
23.45,-35.07,-33.94,-35.07,-33.93,6.00,4.22,-29.07,-29.07,-1.13
23.69,-34.91,-33.77,-34.91,-33.77,6.00,4.34,-28.91,-28.91,-1.13
23.92,-34.74,-33.61,-34.76,-33.62,6.00,4.46,-28.74,-28.76,-1.13
24.16,-34.63,-33.49,-34.63,-33.50,6.00,4.58,-28.63,-28.63,-1.13
24.40,-34.52,-33.40,-34.52,-33.39,6.00,4.70,-28.52,-28.52,-1.12
24.65,-34.42,-33.29,-34.42,-33.29,6.00,4.83,-28.42,-28.42,-1.12
24.89,-34.32,-33.19,-34.32,-33.19,6.00,4.95,-28.32,-28.32,-1.12
25.14,-34.21,-33.09,-34.21,-33.09,6.00,5.08,-28.21,-28.21,-1.12
25.39,-34.11,-32.98,-34.11,-32.98,6.00,5.21,-28.11,-28.11,-1.12
25.65,-34.00,-32.88,-34.00,-32.88,6.00,5.34,-28.00,-28.00,-1.12
25.91,-33.90,-32.77,-33.89,-32.77,6.00,5.47,-27.90,-27.89,-1.12
26.16,-33.79,-32.67,-33.79,-32.66,6.00,5.61,-27.79,-27.79,-1.12
26.43,-33.69,-32.57,-33.70,-32.58,6.00,5.74,-27.69,-27.70,-1.12
26.69,-33.63,-32.50,-33.64,-32.51,6.00,5.87,-27.63,-27.64,-1.12
26.96,-33.60,-32.48,-33.60,-32.47,6.00,6.00,-27.60,-27.60,-1.12
27.23,-33.58,-32.45,-33.57,-32.45,6.00,6.12,-27.58,-27.57,-1.12
27.50,-33.55,-32.43,-33.55,-32.43,6.00,6.25,-27.55,-27.55,-1.12
27.77,-33.53,-32.40,-33.53,-32.40,6.00,6.37,-27.53,-27.53,-1.12
28.05,-33.50,-32.38,-33.50,-32.38,6.00,6.48,-27.50,-27.50,-1.12
28.33,-33.48,-32.35,-33.48,-32.35,6.00,6.59,-27.48,-27.48,-1.12
28.62,-33.45,-32.33,-33.45,-32.33,6.00,6.70,-27.45,-27.45,-1.12
28.90,-33.43,-32.30,-33.43,-32.30,6.00,6.80,-27.43,-27.43,-1.12
29.19,-33.40,-32.28,-33.40,-32.27,6.00,6.89,-27.40,-27.40,-1.12
29.48,-33.37,-32.24,-33.36,-32.24,6.00,6.98,-27.37,-27.36,-1.12
29.78,-33.31,-32.19,-33.31,-32.19,6.00,7.05,-27.31,-27.31,-1.12
30.08,-33.25,-32.13,-33.26,-32.13,6.00,7.12,-27.25,-27.26,-1.12
30.38,-33.20,-32.06,-33.20,-32.07,6.00,7.18,-27.20,-27.20,-1.13
30.68,-33.14,-32.00,-33.14,-32.00,6.00,7.23,-27.14,-27.14,-1.13
30.99,-33.08,-31.95,-33.08,-31.94,6.00,7.26,-27.08,-27.08,-1.13
