frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-29.19,-34.72,-29.19,-34.72,6.00,0.43,-23.19,-23.19,5.53
20.20,-28.91,-34.45,-28.90,-34.44,6.00,0.44,-22.91,-22.90,5.54
20.40,-28.58,-34.13,-28.60,-34.15,6.00,0.45,-22.58,-22.60,5.55
20.61,-28.29,-33.86,-28.29,-33.85,6.00,0.46,-22.29,-22.29,5.56
20.81,-27.95,-33.51,-27.97,-33.54,6.00,0.47,-21.95,-21.97,5.56
21.02,-27.66,-33.23,-27.62,-33.20,6.00,0.48,-21.66,-21.62,5.57
21.23,-27.25,-32.83,-27.24,-32.82,6.00,0.50,-21.25,-21.24,5.58
21.44,-26.78,-32.38,-26.83,-32.42,6.00,0.51,-20.78,-20.83,5.59
21.66,-26.42,-32.02,-26.39,-31.99,6.00,0.52,-20.42,-20.39,5.59
21.87,-25.95,-31.56,-25.95,-31.56,6.00,0.53,-19.95,-19.95,5.60
22.09,-25.52,-31.13,-25.54,-31.15,6.00,0.54,-19.52,-19.54,5.60
22.31,-25.09,-30.71,-25.11,-30.72,6.00,0.55,-19.09,-19.11,5.61
22.54,-24.73,-30.35,-24.70,-30.32,6.00,0.57,-18.73,-18.70,5.61
22.76,-24.27,-29.89,-24.29,-29.91,6.00,0.58,-18.27,-18.29,5.62
22.99,-23.88,-29.50,-23.87,-29.50,6.00,0.59,-17.88,-17.87,5.62
23.22,-23.47,-29.09,-23.46,-29.09,6.00,0.61,-17.47,-17.46,5.62
23.45,-23.04,-28.67,-23.06,-28.69,6.00,0.62,-17.04,-17.06,5.63
23.69,-22.69,-28.33,-22.68,-28.31,6.00,0.64,-16.69,-16.68,5.63
23.92,-22.30,-27.93,-22.30,-27.94,6.00,0.65,-16.30,-16.30,5.63
24.16,-21.96,-27.59,-21.95,-27.59,6.00,0.67,-15.96,-15.95,5.63
24.40,-21.58,-27.23,-21.60,-27.24,6.00,0.68,-15.58,-15.60,5.64
24.65,-21.27,-26.92,-21.25,-26.89,6.00,0.70,-15.27,-15.25,5.64
24.89,-20.87,-26.52,-20.88,-26.52,6.00,0.71,-14.87,-14.88,5.64
25.14,-20.51,-26.16,-20.52,-26.16,6.00,0.73,-14.51,-14.52,5.64
25.39,-20.15,-25.80,-20.17,-25.82,6.00,0.75,-14.15,-14.17,5.64
25.65,-19.83,-25.48,-19.82,-25.47,6.00,0.76,-13.83,-13.82,5.64
25.91,-19.50,-25.14,-19.47,-25.11,6.00,0.78,-13.50,-13.47,5.64
26.16,-19.05,-24.70,-19.09,-24.74,6.00,0.80,-13.05,-13.09,5.64
26.43,-18.71,-24.36,-18.69,-24.33,6.00,0.82,-12.71,-12.69,5.64
26.69,-18.26,-23.90,-18.27,-23.91,6.00,0.84,-12.26,-12.27,5.64
26.96,-17.83,-23.48,-17.85,-23.49,6.00,0.86,-11.83,-11.85,5.64
27.23,-17.40,-23.05,-17.39,-23.04,6.00,0.88,-11.40,-11.39,5.64
27.50,-16.96,-22.61,-16.95,-22.59,6.00,0.90,-10.96,-10.95,5.64
27.77,-16.47,-22.12,-16.49,-22.13,6.00,0.92,-10.47,-10.49,5.64
28.05,-16.06,-21.70,-16.06,-21.70,6.00,0.95,-10.06,-10.06,5.64
28.33,-15.62,-21.26,-15.63,-21.28,6.00,0.97,-9.62,-9.63,5.64
28.62,-15.27,-20.91,-15.23,-20.87,6.00,0.99,-9.27,-9.23,5.64
28.90,-14.81,-20.45,-14.81,-20.46,6.00,1.02,-8.81,-8.81,5.64
29.19,-14.42,-20.06,-14.42,-20.06,6.00,1.04,-8.42,-8.42,5.64
29.48,-14.02,-19.66,-14.04,-19.69,6.00,1.07,-8.02,-8.04,5.64
29.78,-13.72,-19.37,-13.71,-19.36,6.00,1.09,-7.72,-7.71,5.64
30.08,-13.40,-19.05,-13.39,-19.03,6.00,1.12,-7.40,-7.39,5.64
30.38,-13.08,-18.72,-13.08,-18.72,6.00,1.15,-7.08,-7.08,5.63
30.68,-12.76,-18.39,-12.77,-18.40,6.00,1.17,-6.76,-6.77,5.63
30.99,-12.46,-18.10,-12.46,-18.09,6.00,1.20,-6.46,-6.46,5.63
31.30,-12.16,-17.79,-12.16,-17.79,6.00,1.23,-6.16,-6.16,5.62
31.61,-11.86,-17.48,-11.86,-17.48,6.00,1.26,-5.86,-5.86,5.62
31.93,-11.56,-17.18,-11.55,-17.17,6.00,1.29,-5.56,-5.55,5.61
32.24,-11.23,-16.84,-11.24,-16.85,6.00,1.33,-5.23,-5.24,5.61
32.57,-10.94,-16.55,-10.93,-16.53,6.00,1.36,-4.94,-4.93,5.60
32.89,-10.61,-16.21,-10.61,-16.21,6.00,1.39,-4.61,-4.61,5.60
33.22,-10.30,-15.89,-10.30,-15.90,6.00,1.43,-4.30,-4.30,5.59
33.55,-9.98,-15.57,-9.98,-15.57,6.00,1.46,-3.98,-3.98,5.59
33.89,-9.67,-15.25,-9.66,-15.25,6.00,1.50,-3.67,-3.66,5.58
34.23,-9.34,-14.92,-9.35,-14.92,6.00,1.54,-3.34,-3.35,5.57
34.57,-9.01,-14.57,-9.02,-14.58,6.00,1.57,-3.01,-3.02,5.56
34.92,-8.67,-14.23,-8.66,-14.22,6.00,1.61,-2.67,-2.66,5.55
35.27,-8.27,-13.83,-8.27,-13.81,6.00,1.65,-2.27,-2.27,5.55
35.62,-7.84,-13.38,-7.83,-13.37,6.00,1.70,-1.84,-1.83,5.53
35.97,-7.35,-12.88,-7.38,-12.91,6.00,1.74,-1.35,-1.38,5.52
36.33,-6.92,-12.44,-6.93,-12.44,6.00,1.78,-0.92,-0.93,5.51
