frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.21,-1.67,8.21,-1.68,1.68,0.62,9.88,9.88,9.88
20.20,8.23,-1.66,8.23,-1.66,1.66,0.64,9.89,9.89,9.89
20.40,8.25,-1.65,8.25,-1.65,1.65,0.66,9.90,9.90,9.90
20.61,8.27,-1.64,8.27,-1.63,1.63,0.68,9.91,9.91,9.91
20.81,8.30,-1.61,8.30,-1.62,1.62,0.70,9.91,9.91,9.91
21.02,8.32,-1.60,8.32,-1.60,1.60,0.72,9.92,9.92,9.92
21.23,8.34,-1.59,8.34,-1.59,1.59,0.74,9.93,9.93,9.93
21.44,8.36,-1.58,8.36,-1.57,1.57,0.76,9.94,9.94,9.94
21.66,8.39,-1.55,8.39,-1.56,1.56,0.78,9.94,9.94,9.94
21.87,8.41,-1.54,8.41,-1.54,1.54,0.80,9.95,9.95,9.95
22.09,8.43,-1.52,8.43,-1.52,1.52,0.82,9.95,9.95,9.95
22.31,8.45,-1.51,8.45,-1.50,1.51,0.85,9.96,9.96,9.96
22.54,8.48,-1.48,8.48,-1.49,1.49,0.87,9.97,9.96,9.96
22.76,8.50,-1.47,8.50,-1.47,1.47,0.90,9.97,9.97,9.97
22.99,8.52,-1.46,8.52,-1.45,1.45,0.92,9.97,9.97,9.97
23.22,8.54,-1.44,8.54,-1.44,1.44,0.95,9.97,9.97,9.97
23.45,8.56,-1.43,8.56,-1.42,1.42,0.97,9.98,9.98,9.98
23.69,8.57,-1.41,8.57,-1.40,1.41,1.00,9.98,9.98,9.98
23.92,8.59,-1.39,8.59,-1.39,1.39,1.03,9.98,9.98,9.98
24.16,8.61,-1.37,8.61,-1.37,1.37,1.05,9.99,9.99,9.98
24.40,8.63,-1.36,8.63,-1.36,1.36,1.08,9.99,9.99,9.99
24.65,8.65,-1.35,8.65,-1.34,1.34,1.11,9.99,9.99,9.99
24.89,8.66,-1.33,8.66,-1.33,1.33,1.14,9.99,9.99,9.99
25.14,8.68,-1.31,8.68,-1.31,1.31,1.16,9.99,9.99,9.99
25.39,8.70,-1.30,8.70,-1.30,1.30,1.19,9.99,9.99,9.99
25.65,8.71,-1.28,8.71,-1.28,1.28,1.22,9.99,9.99,9.99
25.91,8.73,-1.26,8.73,-1.26,1.26,1.25,9.99,9.99,9.99
26.16,8.75,-1.25,8.75,-1.25,1.25,1.28,9.99,9.99,9.99
26.43,8.76,-1.23,8.76,-1.23,1.23,1.30,9.99,9.99,9.99
26.69,8.78,-1.21,8.78,-1.21,1.21,1.33,9.99,9.99,9.99
26.96,8.79,-1.20,8.79,-1.20,1.20,1.35,9.99,9.99,9.99
27.23,8.81,-1.18,8.81,-1.18,1.18,1.38,9.99,9.99,9.99
27.50,8.83,-1.16,8.83,-1.16,1.17,1.40,9.99,9.99,9.99
27.77,8.84,-1.15,8.84,-1.15,1.15,1.42,9.99,9.99,9.99
28.05,8.85,-1.14,8.85,-1.14,1.14,1.44,9.99,9.99,9.99
28.33,8.87,-1.12,8.87,-1.12,1.12,1.46,9.99,9.99,9.99
28.62,8.88,-1.11,8.88,-1.11,1.11,1.47,9.99,9.99,9.99
28.90,8.89,-1.10,8.89,-1.10,1.10,1.49,9.99,9.99,9.99
29.19,8.91,-1.08,8.91,-1.08,1.08,1.50,9.99,9.99,9.99
29.48,8.92,-1.07,8.92,-1.07,1.07,1.51,9.99,9.99,9.99
29.78,8.93,-1.06,8.93,-1.06,1.06,1.52,9.99,9.99,9.99
30.08,8.95,-1.05,8.95,-1.04,1.04,1.52,9.99,9.99,9.99
30.38,8.96,-1.02,8.96,-1.03,1.03,1.52,9.98,9.98,9.98
30.68,8.97,-1.01,8.97,-1.01,1.01,1.52,9.98,9.98,9.98
30.99,8.98,-1.00,8.98,-1.00,1.00,1.52,9.98,9.98,9.98
31.30,8.99,-0.98,8.99,-0.98,0.98,1.51,9.97,9.97,9.97
