frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.34,-4.81,1.34,-4.81,4.82,0.09,6.15,6.15,6.15
20.20,1.39,-4.77,1.39,-4.77,4.77,0.09,6.16,6.16,6.16
20.40,1.44,-4.73,1.44,-4.73,4.73,0.10,6.17,6.17,6.17
20.61,1.49,-4.69,1.49,-4.69,4.68,0.10,6.17,6.17,6.18
20.81,1.54,-4.64,1.54,-4.64,4.64,0.10,6.18,6.18,6.18
21.02,1.60,-4.59,1.59,-4.60,4.60,0.10,6.19,6.19,6.19
21.23,1.65,-4.55,1.65,-4.55,4.55,0.11,6.20,6.20,6.20
21.44,1.70,-4.51,1.70,-4.51,4.51,0.11,6.21,6.21,6.21
21.66,1.75,-4.46,1.75,-4.46,4.46,0.11,6.21,6.21,6.21
21.87,1.80,-4.42,1.80,-4.42,4.42,0.11,6.22,6.22,6.22
22.09,1.85,-4.37,1.85,-4.37,4.37,0.12,6.22,6.22,6.22
22.31,1.90,-4.33,1.90,-4.33,4.33,0.12,6.23,6.23,6.23
22.54,1.95,-4.28,1.95,-4.29,4.29,0.12,6.23,6.23,6.23
22.76,2.00,-4.24,1.99,-4.24,4.24,0.13,6.24,6.24,6.24
22.99,2.04,-4.20,2.04,-4.20,4.20,0.13,6.24,6.24,6.24
23.22,2.09,-4.15,2.09,-4.16,4.15,0.13,6.24,6.24,6.24
23.45,2.14,-4.11,2.14,-4.11,4.11,0.14,6.24,6.24,6.25
23.69,2.19,-4.06,2.19,-4.06,4.06,0.14,6.25,6.25,6.25
23.92,2.24,-4.01,2.24,-4.01,4.01,0.14,6.25,6.25,6.25
24.16,2.29,-3.96,2.29,-3.96,3.96,0.15,6.25,6.25,6.25
24.40,2.35,-3.91,2.34,-3.91,3.91,0.15,6.26,6.25,6.26
24.65,2.40,-3.86,2.40,-3.86,3.86,0.16,6.26,6.26,6.26
24.89,2.45,-3.81,2.45,-3.81,3.81,0.16,6.26,6.26,6.26
25.14,2.50,-3.76,2.50,-3.76,3.77,0.16,6.27,6.27,6.26
25.39,2.55,-3.71,2.54,-3.72,3.73,0.17,6.27,6.27,6.26
25.65,2.58,-3.68,2.58,-3.68,3.69,0.17,6.26,6.27,6.26
25.91,2.61,-3.65,2.61,-3.65,3.65,0.18,6.26,6.26,6.26
26.16,2.64,-3.62,2.64,-3.62,3.62,0.18,6.26,6.26,6.26
26.43,2.67,-3.59,2.67,-3.59,3.59,0.19,6.26,6.26,6.26
26.69,2.70,-3.56,2.70,-3.56,3.56,0.19,6.26,6.26,6.26
26.96,2.73,-3.53,2.73,-3.53,3.53,0.20,6.26,6.26,6.26
27.23,2.76,-3.50,2.76,-3.50,3.50,0.20,6.26,6.26,6.26
27.50,2.79,-3.47,2.79,-3.47,3.47,0.21,6.26,6.26,6.26
27.77,2.82,-3.44,2.82,-3.44,3.44,0.22,6.26,6.26,6.26
28.05,2.85,-3.41,2.85,-3.41,3.41,0.22,6.26,6.26,6.26
28.33,2.88,-3.38,2.88,-3.38,3.38,0.23,6.26,6.26,6.26
28.62,2.91,-3.35,2.91,-3.35,3.35,0.24,6.26,6.26,6.26
28.90,2.94,-3.32,2.94,-3.32,3.32,0.24,6.26,6.26,6.26
29.19,2.98,-3.28,2.97,-3.28,3.28,0.25,6.26,6.26,6.26
29.48,3.01,-3.25,3.01,-3.25,3.25,0.26,6.26,6.26,6.26
29.78,3.05,-3.21,3.05,-3.21,3.21,0.26,6.26,6.26,6.26
30.08,3.08,-3.18,3.08,-3.18,3.18,0.27,6.25,6.25,6.26
30.38,3.12,-3.13,3.12,-3.14,3.14,0.28,6.26,6.25,6.25
30.68,3.15,-3.10,3.15,-3.10,3.10,0.29,6.25,6.25,6.25
30.99,3.19,-3.06,3.18,-3.06,3.07,0.30,6.25,6.25,6.25
31.30,3.22,-3.02,3.21,-3.03,3.03,0.30,6.25,6.25,6.24
31.61,3.24,-3.00,3.24,-3.00,3.00,0.31,6.23,6.24,6.24
31.93,3.27,-2.96,3.27,-2.97,2.97,0.32,6.23,6.23,6.23
32.24,3.29,-2.94,3.29,-2.94,2.94,0.33,6.22,6.22,6.23
32.57,3.32,-2.90,3.32,-2.90,2.91,0.34,6.22,6.22,6.22
