frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.22,-3.31,7.22,-3.31,3.29,1.12,10.51,10.51,10.53
20.20,7.22,-3.32,7.22,-3.32,3.31,1.15,10.53,10.53,10.54
20.40,7.22,-3.32,7.22,-3.32,3.33,1.19,10.55,10.55,10.55
20.61,7.23,-3.33,7.23,-3.33,3.34,1.22,10.57,10.57,10.56
20.81,7.23,-3.33,7.23,-3.33,3.35,1.26,10.58,10.58,10.56
21.02,7.23,-3.33,7.23,-3.33,3.35,1.30,10.58,10.58,10.57
21.23,7.24,-3.34,7.23,-3.34,3.34,1.34,10.58,10.58,10.58
21.44,7.24,-3.35,7.24,-3.35,3.34,1.38,10.58,10.57,10.59
21.66,7.24,-3.34,7.25,-3.34,3.33,1.42,10.57,10.57,10.59
21.87,7.27,-3.33,7.27,-3.32,3.31,1.47,10.58,10.58,10.60
22.09,7.31,-3.29,7.31,-3.29,3.29,1.51,10.60,10.59,10.60
22.31,7.35,-3.26,7.35,-3.26,3.26,1.56,10.61,10.61,10.61
22.54,7.39,-3.22,7.39,-3.22,3.23,1.60,10.61,10.62,10.61
22.76,7.43,-3.19,7.43,-3.18,3.19,1.65,10.62,10.62,10.62
22.99,7.47,-3.15,7.47,-3.15,3.15,1.70,10.62,10.62,10.62
23.22,7.50,-3.11,7.50,-3.12,3.11,1.75,10.62,10.62,10.62
23.45,7.54,-3.08,7.54,-3.08,3.08,1.80,10.62,10.62,10.63
23.69,7.58,-3.05,7.58,-3.05,3.04,1.86,10.62,10.62,10.63
23.92,7.61,-3.01,7.62,-3.01,3.01,1.91,10.63,10.63,10.63
24.16,7.65,-2.98,7.65,-2.98,2.98,1.96,10.63,10.63,10.63
24.40,7.69,-2.95,7.68,-2.95,2.96,2.02,10.64,10.64,10.64
24.65,7.71,-2.92,7.71,-2.92,2.93,2.07,10.65,10.64,10.64
24.89,7.73,-2.90,7.73,-2.90,2.91,2.13,10.64,10.64,10.64
25.14,7.75,-2.89,7.75,-2.89,2.89,2.19,10.64,10.64,10.64
25.39,7.77,-2.87,7.77,-2.87,2.87,2.24,10.64,10.63,10.64
25.65,7.79,-2.85,7.78,-2.85,2.84,2.30,10.63,10.63,10.64
25.91,7.80,-2.83,7.81,-2.83,2.81,2.36,10.62,10.62,10.64
26.16,7.84,-2.80,7.84,-2.79,2.78,2.41,10.62,10.62,10.64
26.43,7.89,-2.75,7.89,-2.75,2.74,2.47,10.63,10.62,10.64
26.69,7.94,-2.70,7.93,-2.70,2.70,2.52,10.63,10.63,10.64
26.96,7.98,-2.65,7.99,-2.65,2.65,2.57,10.64,10.64,10.64
27.23,8.03,-2.60,8.03,-2.60,2.61,2.63,10.64,10.65,10.64
27.50,8.08,-2.56,8.08,-2.56,2.57,2.68,10.65,10.65,10.64
27.77,8.11,-2.52,8.11,-2.53,2.54,2.72,10.65,10.65,10.64
28.05,8.13,-2.51,8.13,-2.50,2.51,2.77,10.64,10.64,10.64
28.33,8.15,-2.49,8.15,-2.49,2.49,2.81,10.63,10.64,10.64
28.62,8.17,-2.47,8.17,-2.47,2.46,2.85,10.63,10.63,10.64
28.90,8.19,-2.45,8.18,-2.45,2.44,2.88,10.63,10.63,10.64
29.19,8.20,-2.43,8.20,-2.43,2.42,2.92,10.63,10.63,10.64
29.48,8.23,-2.41,8.23,-2.41,2.40,2.94,10.63,10.63,10.64
29.78,8.25,-2.38,8.25,-2.38,2.38,2.96,10.63,10.63,10.64
30.08,8.28,-2.36,8.28,-2.35,2.35,2.98,10.63,10.63,10.64
30.38,8.31,-2.32,8.31,-2.32,2.32,3.00,10.63,10.63,10.63
30.68,8.33,-2.29,8.33,-2.29,2.30,3.00,10.63,10.63,10.63
30.99,8.36,-2.27,8.36,-2.26,2.27,3.01,10.63,10.63,10.63
31.30,8.38,-2.23,8.38,-2.24,2.24,3.00,10.62,10.62,10.62
31.61,8.40,-2.22,8.40,-2.21,2.22,3.00,10.62,10.62,10.62
31.93,8.42,-2.19,8.42,-2.19,2.19,2.98,10.61,10.61,10.61
32.24,8.44,-2.17,8.44,-2.17,2.17,2.97,10.60,10.60,10.61
32.57,8.45,-2.14,8.45,-2.14,2.14,2.94,10.60,10.60,10.60
32.89,8.47,-2.12,8.47,-2.12,2.12,2.92,10.59,10.59,10.60
33.22,8.49,-2.10,8.49,-2.10,2.09,2.88,10.58,10.59,10.59
33.55,8.51,-2.08,8.51,-2.07,2.07,2.85,10.58,10.58,10.59
33.89,8.53,-2.05,8.53,-2.04,2.04,2.81,10.57,10.57,10.58
34.23,8.55,-2.01,8.55,-2.01,2.02,2.76,10.57,10.57,10.57
34.57,8.57,-1.98,8.57,-1.99,1.99,2.71,10.56,10.56,10.56
34.92,8.59,-1.95,8.59,-1.96,1.96,2.66,10.55,10.55,10.55
35.27,8.61,-1.94,8.60,-1.93,1.94,2.61,10.54,10.54,10.55
35.62,8.61,-1.91,8.62,-1.91,1.91,2.55,10.53,10.53,10.53
35.97,8.62,-1.89,8.62,-1.89,1.89,2.49,10.51,10.51,10.52
36.33,8.63,-1.87,8.63,-1.87,1.87,2.43,10.50,10.50,10.51
36.70,8.64,-1.85,8.64,-1.85,1.85,2.37,10.49,10.49,10.49
37.06,8.65,-1.83,8.65,-1.83,1.83,2.31,10.48,10.48,10.48
37.43,8.65,-1.80,8.65,-1.80,1.81,2.24,10.46,10.46,10.46
37.81,8.65,-1.78,8.65,-1.79,1.79,2.18,10.44,10.45,10.44
38.19,8.65,-1.77,8.65,-1.77,1.77,2.11,10.43,10.43,10.43
38.57,8.65,-1.75,8.65,-1.75,1.75,2.05,10.41,10.41,10.41
38.95,8.65,-1.73,8.65,-1.74,1.73,1.98,10.38,10.38,10.39
39.34,8.65,-1.71,8.65,-1.71,1.70,1.91,10.35,10.36,10.37
39.74,8.66,-1.69,8.66,-1.68,1.67,1.85,10.33,10.33,10.35
40.14,8.68,-1.64,8.68,-1.64,1.63,1.78,10.31,10.31,10.33
40.54,8.70,-1.60,8.70,-1.60,1.59,1.72,10.30,10.29,10.31
40.94,8.72,-1.55,8.73,-1.55,1.55,1.65,10.28,10.28,10.28
41.35,8.75,-1.51,8.75,-1.50,1.52,1.59,10.26,10.27,10.26
41.76,8.77,-1.46,8.77,-1.46,1.48,1.53,10.25,10.25,10.23
42.18,8.78,-1.43,8.77,-1.43,1.46,1.47,10.23,10.22,10.21
42.60,8.76,-1.42,8.76,-1.42,1.44,1.40,10.19,10.19,10.18
43.03,8.73,-1.41,8.74,-1.41,1.42,1.34,10.15,10.16,10.15
43.46,8.71,-1.40,8.71,-1.40,1.40,1.28,10.11,10.11,10.12
43.90,8.69,-1.39,8.69,-1.40,1.38,1.23,10.07,10.07,10.09
44.33,8.67,-1.38,8.68,-1.38,1.35,1.17,10.03,10.03,10.06
44.78,8.68,-1.35,8.68,-1.34,1.32,1.11,10.00,10.00,10.03
45.23,8.71,-1.29,8.70,-1.29,1.27,1.06,9.98,9.98,10.00
45.68,8.74,-1.22,8.74,-1.22,1.21,1.00,9.95,9.95,9.96
46.13,8.77,-1.15,8.77,-1.15,1.15,0.95,9.92,9.92,9.92
46.60,8.80,-1.08,8.80,-1.08,1.08,0.90,9.88,9.88,9.88
47.06,8.83,-1.02,8.83,-1.01,1.02,0.85,9.85,9.85,9.85
47.53,8.86,-0.95,8.86,-0.94,0.96,0.80,9.82,9.82,9.81
48.01,8.88,-0.88,8.87,-0.89,0.91,0.75,9.79,9.78,9.76
48.49,8.86,-0.85,8.86,-0.85,0.87,0.70,9.73,9.73,9.72
48.97,8.85,-0.82,8.85,-0.82,0.83,0.65,9.68,9.68,9.67
49.46,8.83,-0.80,8.83,-0.79,0.80,0.60,9.62,9.62,9.63
49.96,8.81,-0.76,8.81,-0.77,0.76,0.56,9.57,9.57,9.58
50.46,8.80,-0.74,8.80,-0.74,0.72,0.51,9.51,9.52,9.54
50.96,8.79,-0.71,8.80,-0.70,0.67,0.46,9.46,9.47,9.50
51.47,8.82,-0.64,8.82,-0.64,0.62,0.42,9.43,9.43,9.46
51.99,8.85,-0.56,8.84,-0.57,0.56,0.38,9.40,9.40,9.41
52.51,8.88,-0.49,8.88,-0.49,0.49,0.33,9.37,9.37,9.37
53.03,8.90,-0.42,8.91,-0.41,0.43,0.29,9.33,9.33,9.33
53.56,8.93,-0.34,8.93,-0.35,0.37,0.25,9.30,9.30,9.28
54.10,8.95,-0.28,8.94,-0.29,0.31,0.21,9.26,9.25,9.23
54.64,8.92,-0.25,8.93,-0.25,0.26,0.17,9.19,9.19,9.18
55.18,8.90,-0.22,8.91,-0.22,0.22,0.13,9.13,9.13,9.13
55.74,8.88,-0.19,8.88,-0.20,0.19,0.09,9.08,9.08,9.08
56.29,8.86,-0.17,8.86,-0.17,0.17,0.06,9.03,9.03,9.04
56.86,8.84,-0.16,8.84,-0.15,0.14,0.02,8.98,8.98,9.00
