frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.53,-3.08,8.53,-3.08,3.08,1.00,11.61,11.61,11.61
20.20,8.56,-3.06,8.56,-3.05,3.06,1.04,11.62,11.62,11.62
20.40,8.60,-3.03,8.60,-3.03,3.03,1.07,11.63,11.63,11.63
20.61,8.63,-3.01,8.63,-3.00,3.00,1.10,11.63,11.63,11.64
20.81,8.67,-2.97,8.67,-2.97,2.97,1.13,11.64,11.64,11.64
21.02,8.70,-2.95,8.70,-2.95,2.94,1.17,11.64,11.64,11.65
21.23,8.74,-2.92,8.74,-2.92,2.91,1.20,11.65,11.65,11.66
21.44,8.77,-2.90,8.78,-2.89,2.88,1.24,11.65,11.66,11.67
21.66,8.82,-2.85,8.82,-2.85,2.85,1.28,11.67,11.66,11.67
21.87,8.86,-2.81,8.86,-2.81,2.81,1.32,11.67,11.67,11.68
22.09,8.90,-2.77,8.90,-2.77,2.78,1.36,11.68,11.68,11.68
22.31,8.94,-2.74,8.94,-2.74,2.75,1.40,11.69,11.69,11.68
22.54,8.98,-2.71,8.98,-2.71,2.71,1.44,11.69,11.69,11.68
22.76,9.01,-2.68,9.01,-2.68,2.68,1.48,11.69,11.69,11.69
22.99,9.04,-2.65,9.04,-2.65,2.65,1.53,11.69,11.69,11.69
23.22,9.07,-2.62,9.07,-2.63,2.62,1.57,11.69,11.69,11.69
23.45,9.10,-2.60,9.10,-2.60,2.60,1.62,11.70,11.70,11.70
23.69,9.13,-2.57,9.13,-2.57,2.57,1.67,11.70,11.70,11.70
23.92,9.16,-2.54,9.16,-2.54,2.55,1.71,11.71,11.71,11.70
24.16,9.19,-2.51,9.19,-2.52,2.52,1.76,11.71,11.71,11.70
24.40,9.21,-2.50,9.21,-2.50,2.50,1.81,11.71,11.71,11.71
24.65,9.24,-2.47,9.24,-2.47,2.47,1.86,11.71,11.71,11.71
24.89,9.26,-2.45,9.26,-2.45,2.45,1.91,11.71,11.71,11.71
25.14,9.28,-2.43,9.28,-2.43,2.43,1.96,11.71,11.71,11.71
25.39,9.30,-2.41,9.30,-2.41,2.41,2.01,11.71,11.71,11.71
25.65,9.32,-2.39,9.32,-2.39,2.39,2.06,11.71,11.71,11.71
25.91,9.33,-2.38,9.33,-2.38,2.38,2.11,11.71,11.71,11.71
26.16,9.35,-2.36,9.35,-2.36,2.36,2.16,11.71,11.71,11.71
26.43,9.37,-2.34,9.37,-2.34,2.34,2.21,11.71,11.71,11.71
26.69,9.38,-2.33,9.38,-2.33,2.32,2.26,11.70,11.71,11.71
26.96,9.40,-2.31,9.40,-2.31,2.30,2.30,11.70,11.70,11.71
27.23,9.42,-2.29,9.42,-2.29,2.28,2.35,11.70,11.70,11.71
27.50,9.44,-2.27,9.44,-2.26,2.26,2.39,11.70,11.71,11.71
27.77,9.47,-2.24,9.47,-2.24,2.24,2.43,11.71,11.71,11.71
28.05,9.49,-2.22,9.49,-2.22,2.22,2.47,11.71,11.71,11.71
28.33,9.51,-2.20,9.51,-2.20,2.20,2.51,11.71,11.71,11.71
28.62,9.53,-2.18,9.53,-2.18,2.18,2.54,11.71,11.71,11.71
28.90,9.54,-2.16,9.54,-2.16,2.16,2.57,11.70,11.70,11.70
29.19,9.56,-2.14,9.56,-2.15,2.14,2.60,11.70,11.70,11.70
29.48,9.57,-2.13,9.58,-2.13,2.12,2.62,11.69,11.70,11.70
29.78,9.60,-2.10,9.60,-2.11,2.10,2.64,11.70,11.70,11.70
30.08,9.62,-2.08,9.62,-2.08,2.08,2.66,11.70,11.70,11.70
30.38,9.63,-2.06,9.63,-2.06,2.07,2.67,11.70,11.70,11.69
30.68,9.65,-2.04,9.65,-2.04,2.05,2.68,11.70,11.69,11.69
30.99,9.66,-2.03,9.66,-2.03,2.03,2.68,11.69,11.69,11.69
31.30,9.67,-2.01,9.67,-2.01,2.01,2.68,11.68,11.68,11.68
31.61,9.69,-1.99,9.69,-1.99,1.99,2.67,11.68,11.67,11.68
31.93,9.70,-1.97,9.70,-1.97,1.97,2.66,11.67,11.67,11.67
32.24,9.72,-1.95,9.72,-1.95,1.94,2.64,11.66,11.66,11.67
32.57,9.73,-1.92,9.73,-1.92,1.92,2.62,11.65,11.65,11.65
32.89,9.75,-1.90,9.75,-1.90,1.89,2.60,11.64,11.65,11.65
33.22,9.78,-1.86,9.78,-1.87,1.87,2.57,11.65,11.64,11.64
33.55,9.80,-1.84,9.80,-1.84,1.84,2.53,11.64,11.64,11.64
33.89,9.82,-1.81,9.82,-1.81,1.82,2.50,11.64,11.64,11.63
34.23,9.83,-1.79,9.83,-1.79,1.80,2.46,11.63,11.63,11.62
34.57,9.84,-1.77,9.84,-1.77,1.77,2.42,11.61,11.61,11.61
34.92,9.84,-1.76,9.84,-1.76,1.75,2.37,11.59,11.60,11.60
35.27,9.85,-1.74,9.85,-1.74,1.73,2.32,11.58,11.58,11.59
35.62,9.86,-1.71,9.86,-1.72,1.71,2.27,11.57,11.57,11.57
35.97,9.87,-1.69,9.87,-1.69,1.69,2.22,11.56,11.56,11.56
36.33,9.87,-1.68,9.87,-1.67,1.67,2.17,11.54,11.55,11.55
36.70,9.88,-1.65,9.88,-1.65,1.66,2.11,11.54,11.53,11.53
37.06,9.88,-1.64,9.88,-1.63,1.64,2.06,11.52,11.52,11.52
37.43,9.88,-1.61,9.88,-1.61,1.62,2.00,11.50,11.50,11.49
37.81,9.88,-1.59,9.88,-1.60,1.60,1.94,11.48,11.48,11.47
38.19,9.88,-1.58,9.88,-1.58,1.58,1.89,11.46,11.46,11.46
38.57,9.88,-1.56,9.88,-1.56,1.56,1.83,11.44,11.44,11.44
38.95,9.88,-1.54,9.88,-1.54,1.54,1.77,11.42,11.42,11.42
39.34,9.88,-1.51,9.88,-1.51,1.51,1.71,11.39,11.39,11.39
39.74,9.88,-1.49,9.88,-1.49,1.49,1.65,11.37,11.37,11.37
40.14,9.88,-1.47,9.88,-1.47,1.47,1.60,11.35,11.35,11.35
40.54,9.88,-1.45,9.88,-1.44,1.44,1.54,11.32,11.32,11.33
