frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-43.18,-39.71,-43.18,-39.70,6.00,0.57,-37.18,-37.18,-3.48
20.20,-43.38,-39.91,-43.39,-39.91,6.00,0.58,-37.38,-37.39,-3.48
20.40,-43.59,-40.12,-43.59,-40.11,6.00,0.60,-37.59,-37.59,-3.48
20.61,-43.78,-40.30,-43.78,-40.30,6.00,0.61,-37.78,-37.78,-3.48
20.81,-43.96,-40.49,-43.96,-40.48,6.00,0.62,-37.96,-37.96,-3.48
21.02,-44.13,-40.66,-44.14,-40.66,6.00,0.64,-38.13,-38.14,-3.48
21.23,-44.31,-40.84,-44.31,-40.84,6.00,0.65,-38.31,-38.31,-3.48
21.44,-44.49,-41.02,-44.49,-41.01,6.00,0.67,-38.49,-38.49,-3.48
21.66,-44.64,-41.16,-44.65,-41.18,6.00,0.68,-38.64,-38.65,-3.48
21.87,-44.82,-41.34,-44.81,-41.33,6.00,0.70,-38.82,-38.81,-3.48
22.09,-44.95,-41.48,-44.95,-41.47,6.00,0.71,-38.95,-38.95,-3.48
22.31,-45.08,-41.61,-45.08,-41.60,6.00,0.73,-39.08,-39.08,-3.48
22.54,-45.19,-41.71,-45.20,-41.72,6.00,0.75,-39.19,-39.20,-3.48
22.76,-45.30,-41.83,-45.31,-41.83,6.00,0.77,-39.30,-39.31,-3.48
22.99,-45.42,-41.94,-45.42,-41.94,6.00,0.78,-39.42,-39.42,-3.48
23.22,-45.52,-42.04,-45.51,-42.04,6.00,0.80,-39.52,-39.51,-3.48
23.45,-45.58,-42.11,-45.58,-42.11,6.00,0.82,-39.58,-39.58,-3.48
23.69,-45.63,-42.15,-45.63,-42.16,6.00,0.84,-39.63,-39.63,-3.48
23.92,-45.67,-42.20,-45.68,-42.20,6.00,0.86,-39.67,-39.68,-3.48
24.16,-45.72,-42.25,-45.72,-42.25,6.00,0.88,-39.72,-39.72,-3.48
24.40,-45.76,-42.29,-45.76,-42.28,6.00,0.90,-39.76,-39.76,-3.48
24.65,-45.79,-42.31,-45.79,-42.31,6.00,0.92,-39.79,-39.79,-3.48
24.89,-45.79,-42.32,-45.79,-42.32,6.00,0.94,-39.79,-39.79,-3.48
25.14,-45.79,-42.32,-45.79,-42.32,6.00,0.97,-39.79,-39.79,-3.48
25.39,-45.78,-42.31,-45.79,-42.31,6.00,0.99,-39.78,-39.79,-3.48
25.65,-45.78,-42.31,-45.78,-42.30,6.00,1.01,-39.78,-39.78,-3.48
25.91,-45.76,-42.29,-45.76,-42.29,6.00,1.04,-39.76,-39.76,-3.48
26.16,-45.74,-42.26,-45.74,-42.26,6.00,1.06,-39.74,-39.74,-3.48
26.43,-45.70,-42.23,-45.71,-42.23,6.00,1.09,-39.70,-39.71,-3.48
26.69,-45.67,-42.20,-45.68,-42.20,6.00,1.11,-39.67,-39.68,-3.48
26.96,-45.64,-42.17,-45.64,-42.16,6.00,1.14,-39.64,-39.64,-3.48
