frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-43.18,-39.71,-43.18,-39.70,6.00,2.80,-37.18,-37.18,-3.47
20.20,-43.38,-39.90,-43.38,-39.91,6.00,2.87,-37.38,-37.38,-3.47
20.40,-43.58,-40.10,-43.58,-40.11,6.00,2.95,-37.58,-37.58,-3.47
20.61,-43.78,-40.31,-43.77,-40.30,6.00,3.04,-37.78,-37.77,-3.47
20.81,-43.96,-40.48,-43.96,-40.48,6.00,3.12,-37.96,-37.96,-3.47
21.02,-44.13,-40.66,-44.14,-40.66,6.00,3.21,-38.13,-38.14,-3.47
21.23,-44.31,-40.84,-44.31,-40.83,6.00,3.30,-38.31,-38.31,-3.47
21.44,-44.48,-41.00,-44.48,-41.00,6.00,3.39,-38.48,-38.48,-3.47
21.66,-44.64,-41.16,-44.64,-41.17,6.00,3.49,-38.64,-38.64,-3.47
21.87,-44.80,-41.32,-44.80,-41.32,6.00,3.58,-38.80,-38.80,-3.47
22.09,-44.95,-41.47,-44.94,-41.47,6.00,3.68,-38.95,-38.94,-3.47
22.31,-45.08,-41.61,-45.08,-41.60,6.00,3.79,-39.08,-39.08,-3.47
22.54,-45.19,-41.71,-45.20,-41.72,6.00,3.89,-39.19,-39.20,-3.47
22.76,-45.30,-41.83,-45.31,-41.84,6.00,4.00,-39.30,-39.31,-3.47
22.99,-45.42,-41.94,-45.42,-41.94,6.00,4.11,-39.42,-39.42,-3.47
23.22,-45.52,-42.04,-45.51,-42.03,6.00,4.23,-39.52,-39.51,-3.47
23.45,-45.58,-42.10,-45.58,-42.10,6.00,4.34,-39.58,-39.58,-3.47
23.69,-45.63,-42.15,-45.63,-42.16,6.00,4.46,-39.63,-39.63,-3.47
23.92,-45.67,-42.20,-45.68,-42.20,6.00,4.58,-39.67,-39.68,-3.47
24.16,-45.72,-42.25,-45.72,-42.25,6.00,4.71,-39.72,-39.72,-3.47
24.40,-45.76,-42.29,-45.76,-42.29,6.00,4.83,-39.76,-39.76,-3.47
24.65,-45.79,-42.32,-45.78,-42.31,6.00,4.96,-39.79,-39.78,-3.47
24.89,-45.79,-42.32,-45.79,-42.32,6.00,5.09,-39.79,-39.79,-3.47
25.14,-45.79,-42.31,-45.79,-42.32,6.00,5.22,-39.79,-39.79,-3.47
25.39,-45.78,-42.31,-45.78,-42.31,6.00,5.36,-39.78,-39.78,-3.47
25.65,-45.78,-42.31,-45.78,-42.30,6.00,5.49,-39.78,-39.78,-3.47
25.91,-45.76,-42.29,-45.76,-42.29,6.00,5.62,-39.76,-39.76,-3.47
26.16,-45.74,-42.26,-45.74,-42.26,6.00,5.76,-39.74,-39.74,-3.47
