frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-57.04,-51.83,-57.05,-51.84,6.00,2.74,-51.04,-51.05,-5.21
20.20,-56.80,-51.59,-56.79,-51.58,6.00,2.81,-50.80,-50.79,-5.21
20.40,-56.57,-51.35,-56.55,-51.34,6.00,2.89,-50.57,-50.55,-5.21
20.61,-56.33,-51.12,-56.33,-51.11,6.00,2.97,-50.33,-50.33,-5.21
20.81,-56.10,-50.88,-56.11,-50.89,6.00,3.06,-50.10,-50.11,-5.21
21.02,-55.90,-50.69,-55.91,-50.69,6.00,3.14,-49.90,-49.91,-5.21
21.23,-55.74,-50.53,-55.73,-50.52,6.00,3.23,-49.74,-49.73,-5.21
21.44,-55.58,-50.36,-55.57,-50.36,6.00,3.32,-49.58,-49.57,-5.21
21.66,-55.42,-50.21,-55.41,-50.19,6.00,3.42,-49.42,-49.41,-5.21
21.87,-55.26,-50.04,-55.27,-50.05,6.00,3.52,-49.26,-49.27,-5.21
22.09,-55.14,-49.93,-55.17,-49.95,6.00,3.62,-49.14,-49.17,-5.21
22.31,-55.12,-49.91,-55.11,-49.90,6.00,3.72,-49.12,-49.11,-5.21
22.54,-55.11,-49.90,-55.10,-49.88,6.00,3.82,-49.11,-49.10,-5.21
22.76,-55.09,-49.88,-55.09,-49.88,6.00,3.93,-49.09,-49.09,-5.21
22.99,-55.08,-49.87,-55.08,-49.86,6.00,4.04,-49.08,-49.08,-5.21
23.22,-55.06,-49.85,-55.06,-49.85,6.00,4.15,-49.06,-49.06,-5.21
23.45,-55.05,-49.84,-55.05,-49.83,6.00,4.27,-49.05,-49.05,-5.21
23.69,-55.03,-49.82,-55.03,-49.82,6.00,4.38,-49.03,-49.03,-5.21
23.92,-55.02,-49.81,-55.02,-49.80,6.00,4.50,-49.02,-49.02,-5.21
24.16,-55.00,-49.79,-54.99,-49.78,6.00,4.63,-49.00,-48.99,-5.21
