frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-43.81,-39.74,-43.81,-39.74,6.00,0.86,-37.81,-37.81,-4.08
20.20,-44.03,-39.96,-44.03,-39.95,6.00,0.88,-38.03,-38.03,-4.08
20.40,-44.25,-40.17,-44.25,-40.17,6.00,0.90,-38.25,-38.25,-4.08
20.61,-44.46,-40.38,-44.46,-40.39,6.00,0.92,-38.46,-38.46,-4.08
20.81,-44.69,-40.61,-44.68,-40.60,6.00,0.94,-38.69,-38.68,-4.08
21.02,-44.89,-40.82,-44.90,-40.82,6.00,0.96,-38.89,-38.90,-4.08
21.23,-45.11,-41.04,-45.11,-41.03,6.00,0.98,-39.11,-39.11,-4.08
21.44,-45.33,-41.25,-45.33,-41.26,6.00,1.00,-39.33,-39.33,-4.08
21.66,-45.54,-41.46,-45.56,-41.48,6.00,1.02,-39.54,-39.56,-4.08
21.87,-45.77,-41.69,-45.75,-41.67,6.00,1.05,-39.77,-39.75,-4.08
22.09,-45.91,-41.84,-45.89,-41.81,6.00,1.07,-39.91,-39.89,-4.08
22.31,-45.96,-41.89,-45.97,-41.90,6.00,1.09,-39.96,-39.97,-4.08
22.54,-46.00,-41.93,-46.02,-41.94,6.00,1.12,-40.00,-40.02,-4.08
22.76,-46.05,-41.98,-46.05,-41.97,6.00,1.14,-40.05,-40.05,-4.08
22.99,-46.09,-42.02,-46.10,-42.02,6.00,1.17,-40.09,-40.10,-4.08
23.22,-46.14,-42.07,-46.15,-42.07,6.00,1.19,-40.14,-40.15,-4.08
23.45,-46.18,-42.11,-46.17,-42.09,6.00,1.22,-40.18,-40.17,-4.08
23.69,-46.16,-42.09,-46.16,-42.08,6.00,1.25,-40.16,-40.16,-4.08
23.92,-46.11,-42.04,-46.12,-42.05,6.00,1.28,-40.11,-40.12,-4.08
24.16,-46.07,-42.00,-46.07,-42.00,6.00,1.31,-40.07,-40.07,-4.08
24.40,-46.02,-41.95,-46.03,-41.95,6.00,1.33,-40.02,-40.03,-4.08
24.65,-45.98,-41.91,-45.98,-41.91,6.00,1.36,-39.98,-39.98,-4.08
24.89,-45.93,-41.86,-45.93,-41.86,6.00,1.40,-39.93,-39.93,-4.08
25.14,-45.88,-41.81,-45.87,-41.79,6.00,1.43,-39.88,-39.87,-4.08
25.39,-45.79,-41.71,-45.79,-41.72,6.00,1.46,-39.79,-39.79,-4.08
25.65,-45.70,-41.63,-45.71,-41.63,6.00,1.49,-39.70,-39.71,-4.08
25.91,-45.62,-41.55,-45.62,-41.54,6.00,1.53,-39.62,-39.62,-4.08
