frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-43.81,-39.74,-43.81,-39.74,6.00,2.62,-37.81,-37.81,-4.07
20.20,-44.03,-39.95,-44.03,-39.95,6.00,2.69,-38.03,-38.03,-4.07
20.40,-44.24,-40.17,-44.24,-40.17,6.00,2.77,-38.24,-38.24,-4.07
20.61,-44.46,-40.39,-44.46,-40.39,6.00,2.85,-38.46,-38.46,-4.07
20.81,-44.68,-40.60,-44.68,-40.60,6.00,2.93,-38.68,-38.68,-4.07
21.02,-44.89,-40.82,-44.89,-40.82,6.00,3.01,-38.89,-38.89,-4.07
21.23,-45.11,-41.03,-45.11,-41.03,6.00,3.10,-39.11,-39.11,-4.07
21.44,-45.32,-41.25,-45.33,-41.26,6.00,3.19,-39.32,-39.33,-4.07
21.66,-45.54,-41.47,-45.55,-41.48,6.00,3.28,-39.54,-39.55,-4.07
21.87,-45.76,-41.68,-45.74,-41.67,6.00,3.37,-39.76,-39.74,-4.07
22.09,-45.91,-41.84,-45.88,-41.81,6.00,3.47,-39.91,-39.88,-4.07
22.31,-45.96,-41.88,-45.97,-41.89,6.00,3.57,-39.96,-39.97,-4.07
22.54,-46.00,-41.93,-46.01,-41.94,6.00,3.67,-40.00,-40.01,-4.07
22.76,-46.05,-41.97,-46.05,-41.97,6.00,3.77,-40.05,-40.05,-4.07
22.99,-46.09,-42.02,-46.10,-42.02,6.00,3.88,-40.09,-40.10,-4.07
23.22,-46.14,-42.06,-46.14,-42.07,6.00,3.99,-40.14,-40.14,-4.07
23.45,-46.18,-42.11,-46.16,-42.09,6.00,4.10,-40.18,-40.16,-4.07
23.69,-46.16,-42.09,-46.16,-42.08,6.00,4.21,-40.16,-40.16,-4.07
23.92,-46.11,-42.04,-46.12,-42.05,6.00,4.33,-40.11,-40.12,-4.07
24.16,-46.07,-41.99,-46.07,-42.00,6.00,4.45,-40.07,-40.07,-4.07
24.40,-46.02,-41.95,-46.02,-41.95,6.00,4.57,-40.02,-40.02,-4.07
24.65,-45.98,-41.90,-45.98,-41.91,6.00,4.69,-39.98,-39.98,-4.07
24.89,-45.93,-41.86,-45.93,-41.86,6.00,4.82,-39.93,-39.93,-4.07
25.14,-45.88,-41.81,-45.87,-41.80,6.00,4.94,-39.88,-39.87,-4.07
25.39,-45.79,-41.72,-45.79,-41.72,6.00,5.07,-39.79,-39.79,-4.07
25.65,-45.70,-41.63,-45.71,-41.63,6.00,5.20,-39.70,-39.71,-4.07
25.91,-45.62,-41.54,-45.62,-41.54,6.00,5.33,-39.62,-39.62,-4.07
26.16,-45.53,-41.45,-45.53,-41.45,6.00,5.45,-39.53,-39.53,-4.07
26.43,-45.44,-41.36,-45.44,-41.37,6.00,5.58,-39.44,-39.44,-4.07
26.69,-45.35,-41.28,-45.35,-41.27,6.00,5.71,-39.35,-39.35,-4.07
26.96,-45.24,-41.17,-45.24,-41.16,6.00,5.83,-39.24,-39.24,-4.07
27.23,-45.12,-41.04,-45.12,-41.05,6.00,5.96,-39.12,-39.12,-4.07
27.50,-44.99,-40.92,-44.99,-40.92,6.00,6.08,-38.99,-38.99,-4.07
27.77,-44.86,-40.79,-44.86,-40.79,6.00,6.20,-38.86,-38.86,-4.07
28.05,-44.74,-40.66,-44.75,-40.67,6.00,6.31,-38.74,-38.75,-4.07
28.33,-44.61,-40.54,-44.62,-40.54,6.00,6.42,-38.61,-38.62,-4.07
28.62,-44.48,-40.41,-44.46,-40.38,6.00,6.53,-38.48,-38.46,-4.07
28.90,-44.26,-40.18,-44.26,-40.18,6.00,6.63,-38.26,-38.26,-4.07
29.19,-44.01,-39.94,-44.02,-39.95,6.00,6.72,-38.01,-38.02,-4.07
29.48,-43.77,-39.70,-43.77,-39.70,6.00,6.80,-37.77,-37.77,-4.07
29.78,-43.53,-39.45,-43.53,-39.46,6.00,6.88,-37.53,-37.53,-4.07
30.08,-43.28,-39.21,-43.29,-39.22,6.00,6.95,-37.28,-37.29,-4.07
30.38,-43.04,-38.97,-43.02,-38.94,6.00,7.01,-37.04,-37.02,-4.07
30.68,-42.71,-38.64,-42.69,-38.62,6.00,7.06,-36.71,-36.69,-4.07
30.99,-42.31,-38.23,-42.32,-38.24,6.00,7.10,-36.31,-36.32,-4.07
31.30,-41.90,-37.83,-41.91,-37.84,6.00,7.13,-35.90,-35.91,-4.07
31.61,-41.50,-37.42,-41.50,-37.43,6.00,7.15,-35.50,-35.50,-4.07
31.93,-41.09,-37.02,-41.09,-37.02,6.00,7.16,-35.09,-35.09,-4.07
32.24,-40.69,-36.61,-40.68,-36.61,6.00,7.16,-34.69,-34.68,-4.07
32.57,-40.26,-36.18,-40.26,-36.18,6.00,7.15,-34.26,-34.26,-4.07
32.89,-39.83,-35.75,-39.83,-35.76,6.00,7.14,-33.83,-33.83,-4.07
