frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-38.30,-33.65,-38.30,-33.66,6.00,0.87,-32.30,-32.30,-4.65
20.20,-38.64,-33.99,-38.64,-33.99,6.00,0.88,-32.64,-32.64,-4.65
20.40,-38.99,-34.35,-38.98,-34.33,6.00,0.90,-32.99,-32.98,-4.65
20.61,-39.29,-34.64,-39.32,-34.67,6.00,0.92,-33.29,-33.32,-4.66
20.81,-39.68,-35.03,-39.67,-35.02,6.00,0.94,-33.68,-33.67,-4.66
21.02,-40.03,-35.37,-40.03,-35.37,6.00,0.96,-34.03,-34.03,-4.66
21.23,-40.38,-35.71,-40.37,-35.71,6.00,0.99,-34.38,-34.37,-4.67
21.44,-40.72,-36.06,-40.71,-36.05,6.00,1.01,-34.72,-34.71,-4.67
21.66,-41.02,-36.36,-41.06,-36.39,6.00,1.03,-35.02,-35.06,-4.67
21.87,-41.42,-36.76,-41.41,-36.74,6.00,1.05,-35.42,-35.41,-4.67
22.09,-41.76,-37.10,-41.75,-37.09,6.00,1.08,-35.76,-35.75,-4.67
22.31,-42.11,-37.45,-42.10,-37.44,6.00,1.10,-36.11,-36.10,-4.67
22.54,-42.41,-37.75,-42.44,-37.77,6.00,1.12,-36.41,-36.44,-4.67
22.76,-42.80,-38.13,-42.79,-38.12,6.00,1.15,-36.80,-36.79,-4.68
22.99,-43.15,-38.47,-43.15,-38.47,6.00,1.17,-37.15,-37.15,-4.68
23.22,-43.50,-38.82,-43.49,-38.82,6.00,1.20,-37.50,-37.49,-4.68
23.45,-43.84,-39.17,-43.83,-39.15,6.00,1.23,-37.84,-37.83,-4.68
23.69,-44.14,-39.47,-44.18,-39.50,6.00,1.25,-38.14,-38.18,-4.68
23.92,-44.54,-39.87,-44.53,-39.85,6.00,1.28,-38.54,-38.53,-4.68
24.16,-44.88,-40.21,-44.88,-40.21,6.00,1.31,-38.88,-38.88,-4.68
24.40,-45.23,-40.56,-45.25,-40.57,6.00,1.34,-39.23,-39.25,-4.68
24.65,-45.58,-40.90,-45.57,-40.90,6.00,1.37,-39.58,-39.57,-4.68
24.89,-45.89,-41.22,-45.87,-41.19,6.00,1.40,-39.89,-39.87,-4.68
25.14,-46.11,-41.44,-46.12,-41.44,6.00,1.43,-40.11,-40.12,-4.68
25.39,-46.32,-41.65,-46.33,-41.65,6.00,1.47,-40.32,-40.33,-4.68
25.65,-46.53,-41.85,-46.52,-41.85,6.00,1.50,-40.53,-40.52,-4.68
25.91,-46.72,-42.04,-46.73,-42.05,6.00,1.53,-40.72,-40.73,-4.68
26.16,-46.96,-42.28,-46.95,-42.27,6.00,1.57,-40.96,-40.95,-4.69
26.43,-47.17,-42.48,-47.17,-42.48,6.00,1.60,-41.17,-41.17,-4.69
26.69,-47.39,-42.70,-47.39,-42.70,6.00,1.64,-41.39,-41.39,-4.69
26.96,-47.60,-42.91,-47.60,-42.91,6.00,1.68,-41.60,-41.60,-4.69
27.23,-47.81,-43.12,-47.81,-43.13,6.00,1.71,-41.81,-41.81,-4.69
27.50,-48.03,-43.34,-48.02,-43.34,6.00,1.75,-42.03,-42.02,-4.69
27.77,-48.24,-43.57,-48.24,-43.56,6.00,1.79,-42.24,-42.24,-4.68
28.05,-48.45,-43.77,-48.45,-43.78,6.00,1.83,-42.45,-42.45,-4.68
28.33,-48.66,-43.99,-48.66,-43.99,6.00,1.88,-42.66,-42.66,-4.67
28.62,-48.88,-44.21,-48.87,-44.21,6.00,1.92,-42.88,-42.87,-4.67
28.90,-49.09,-44.43,-49.09,-44.43,6.00,1.96,-43.09,-43.09,-4.66
29.19,-49.30,-44.65,-49.30,-44.65,6.00,2.01,-43.30,-43.30,-4.65
29.48,-49.52,-44.87,-49.51,-44.87,6.00,2.06,-43.52,-43.51,-4.65
29.78,-49.73,-45.08,-49.73,-45.09,6.00,2.10,-43.73,-43.73,-4.65
30.08,-49.94,-45.30,-49.94,-45.30,6.00,2.15,-43.94,-43.94,-4.64
30.38,-50.16,-45.52,-50.15,-45.52,6.00,2.20,-44.16,-44.15,-4.64
30.68,-50.37,-45.73,-50.37,-45.73,6.00,2.25,-44.37,-44.37,-4.64
30.99,-50.58,-45.94,-50.62,-45.97,6.00,2.31,-44.58,-44.62,-4.64
31.30,-50.80,-46.14,-50.81,-46.16,6.00,2.36,-44.80,-44.81,-4.66
31.61,-50.99,-46.32,-50.88,-46.22,6.00,2.41,-44.99,-44.88,-4.67
31.93,-50.82,-46.15,-50.84,-46.16,6.00,2.47,-44.82,-44.84,-4.68
32.24,-50.64,-45.94,-50.68,-45.98,6.00,2.53,-44.64,-44.68,-4.70
32.57,-50.47,-45.76,-50.47,-45.76,6.00,2.59,-44.47,-44.47,-4.71
32.89,-50.30,-45.58,-50.30,-45.58,6.00,2.65,-44.30,-44.30,-4.72
33.22,-50.13,-45.41,-50.13,-45.41,6.00,2.71,-44.13,-44.13,-4.72
