frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-40.26,-5.44,-40.26,-5.44,5.44,0.79,-34.82,-34.83,-34.82
20.20,-40.08,-5.44,-40.06,-5.44,5.44,0.80,-34.64,-34.63,-34.64
20.40,-39.89,-5.44,-39.89,-5.44,5.44,0.82,-34.45,-34.46,-34.45
20.61,-39.73,-5.44,-39.75,-5.44,5.44,0.84,-34.30,-34.32,-34.30
20.81,-39.65,-5.44,-39.64,-5.44,5.44,0.86,-34.21,-34.21,-34.21
21.02,-39.57,-5.44,-39.56,-5.44,5.44,0.88,-34.13,-34.12,-34.13
21.23,-39.48,-5.44,-39.48,-5.44,5.44,0.90,-34.04,-34.05,-34.04
21.44,-39.40,-5.44,-39.40,-5.44,5.44,0.92,-33.96,-33.96,-33.96
21.66,-39.32,-5.44,-39.31,-5.44,5.44,0.94,-33.88,-33.88,-33.88
21.87,-39.23,-5.44,-39.23,-5.44,5.44,0.96,-33.79,-33.80,-33.79
22.09,-39.15,-5.44,-39.15,-5.44,5.44,0.98,-33.71,-33.71,-33.71
22.31,-39.07,-5.44,-39.06,-5.44,5.44,1.00,-33.63,-33.63,-33.63
22.54,-38.98,-5.44,-38.98,-5.44,5.44,1.02,-33.54,-33.54,-33.54
22.76,-38.90,-5.44,-38.90,-5.44,5.44,1.04,-33.46,-33.47,-33.46
22.99,-38.84,-5.44,-38.84,-5.44,5.44,1.07,-33.40,-33.40,-33.40
23.22,-38.78,-5.44,-38.78,-5.44,5.44,1.09,-33.34,-33.34,-33.34
23.45,-38.72,-5.44,-38.72,-5.44,5.44,1.12,-33.28,-33.28,-33.28
23.69,-38.66,-5.44,-38.66,-5.44,5.44,1.14,-33.22,-33.22,-33.22
23.92,-38.60,-5.44,-38.60,-5.44,5.44,1.17,-33.16,-33.16,-33.16
24.16,-38.54,-5.44,-38.54,-5.44,5.44,1.19,-33.10,-33.10,-33.10
24.40,-38.48,-5.44,-38.48,-5.44,5.44,1.22,-33.04,-33.04,-33.04
24.65,-38.42,-5.44,-38.42,-5.44,5.44,1.25,-32.98,-32.98,-32.98
24.89,-38.36,-5.44,-38.36,-5.44,5.44,1.28,-32.92,-32.92,-32.92
25.14,-38.30,-5.44,-38.30,-5.44,5.44,1.30,-32.86,-32.86,-32.86
25.39,-38.24,-5.44,-38.24,-5.44,5.44,1.33,-32.80,-32.80,-32.80
25.65,-38.17,-5.44,-38.17,-5.44,5.44,1.36,-32.73,-32.74,-32.73
25.91,-38.11,-5.44,-38.10,-5.44,5.44,1.40,-32.67,-32.67,-32.67
26.16,-38.04,-5.44,-38.04,-5.44,5.44,1.43,-32.60,-32.60,-32.60
26.43,-37.97,-5.44,-37.97,-5.44,5.44,1.46,-32.53,-32.54,-32.53
26.69,-37.91,-5.44,-37.91,-5.44,5.44,1.49,-32.47,-32.47,-32.47
26.96,-37.84,-5.44,-37.84,-5.44,5.44,1.53,-32.40,-32.40,-32.40
27.23,-37.78,-5.44,-37.77,-5.44,5.44,1.56,-32.34,-32.34,-32.34
27.50,-37.71,-5.44,-37.71,-5.44,5.44,1.60,-32.27,-32.27,-32.27
27.77,-37.65,-5.44,-37.65,-5.44,5.44,1.64,-32.21,-32.22,-32.21
28.05,-37.61,-5.44,-37.61,-5.44,5.44,1.67,-32.17,-32.17,-32.17
28.33,-37.58,-5.44,-37.58,-5.44,5.44,1.71,-32.14,-32.14,-32.14
28.62,-37.55,-5.44,-37.55,-5.44,5.44,1.75,-32.11,-32.11,-32.11
28.90,-37.53,-5.44,-37.52,-5.44,5.44,1.79,-32.09,-32.09,-32.09
29.19,-37.50,-5.44,-37.50,-5.44,5.44,1.83,-32.06,-32.06,-32.06
29.48,-37.47,-5.44,-37.47,-5.44,5.44,1.88,-32.03,-32.04,-32.03
29.78,-37.45,-5.44,-37.44,-5.44,5.44,1.92,-32.01,-32.01,-32.01
30.08,-37.42,-5.44,-37.42,-5.44,5.44,1.96,-31.98,-31.99,-31.98
30.38,-37.39,-5.44,-37.40,-5.44,5.44,2.01,-31.95,-31.96,-31.95
30.68,-37.37,-5.44,-37.36,-5.44,5.44,2.06,-31.93,-31.92,-31.93
30.99,-37.30,-5.44,-37.29,-5.44,5.44,2.11,-31.86,-31.85,-31.86
31.30,-37.19,-5.44,-37.19,-5.44,5.44,2.15,-31.75,-31.76,-31.75
31.61,-37.07,-5.44,-37.08,-5.44,5.44,2.21,-31.63,-31.64,-31.63
31.93,-36.96,-5.44,-36.96,-5.44,5.44,2.26,-31.52,-31.52,-31.52
32.24,-36.84,-5.44,-36.86,-5.44,5.44,2.31,-31.40,-31.42,-31.40
32.57,-36.73,-5.44,-36.75,-5.44,5.43,2.36,-31.29,-31.31,-31.29
32.89,-36.61,-5.44,-36.57,-5.43,5.43,2.42,-31.17,-31.13,-31.17
33.22,-36.33,-5.44,-36.29,-5.43,5.43,2.48,-30.89,-30.86,-30.89
33.55,-35.90,-5.43,-35.93,-5.43,5.43,2.54,-30.47,-30.50,-30.48
33.89,-35.50,-5.44,-35.51,-5.43,5.43,2.60,-30.06,-30.07,-30.06
34.23,-35.09,-5.44,-35.08,-5.43,5.43,2.66,-29.66,-29.64,-29.65
34.57,-34.64,-5.44,-34.68,-5.44,5.43,2.72,-29.20,-29.24,-29.20
34.92,-34.26,-5.44,-34.25,-5.44,5.43,2.78,-28.83,-28.82,-28.83
35.27,-33.81,-5.44,-33.77,-5.44,5.43,2.85,-28.38,-28.34,-28.38
35.62,-33.25,-5.44,-33.23,-5.43,5.43,2.92,-27.82,-27.80,-27.82
35.97,-32.61,-5.43,-32.66,-5.43,5.43,2.99,-27.18,-27.23,-27.19
36.33,-32.04,-5.43,-32.08,-5.43,5.43,3.06,-26.61,-26.65,-26.62
36.70,-31.58,-5.44,-31.51,-5.43,5.43,3.13,-26.15,-26.07,-26.15
37.06,-30.90,-5.43,-30.93,-5.43,5.43,3.20,-25.47,-25.50,-25.48
37.43,-30.30,-5.43,-30.39,-5.43,5.43,3.28,-24.87,-24.96,-24.87
37.81,-29.68,-5.44,-29.72,-5.43,5.43,3.36,-24.25,-24.30,-24.24
38.19,-29.04,-5.44,-28.79,-5.43,5.43,3.43,-23.61,-23.36,-23.61
38.57,-27.59,-5.44,-27.53,-5.43,5.43,3.51,-22.16,-22.10,-22.16
38.95,-25.95,-5.42,-26.17,-5.42,5.43,3.60,-20.52,-20.73,-20.54
39.34,-24.64,-5.43,-24.77,-5.43,5.44,3.68,-19.20,-19.34,-19.21
39.74,-23.66,-5.44,-23.44,-5.44,5.43,3.77,-18.23,-18.01,-18.23
40.14,-22.13,-5.46,-22.10,-5.45,5.43,3.85,-16.69,-16.67,-16.67
40.54,-20.49,-5.45,-20.63,-5.44,5.43,3.94,-15.06,-15.19,-15.05
40.94,-19.05,-5.43,-18.96,-5.43,5.43,4.03,-13.62,-13.52,-13.62
41.35,-17.43,-5.43,-17.36,-5.42,5.43,4.12,-12.00,-11.93,-12.01
41.76,-15.69,-5.42,-15.92,-5.42,5.43,4.22,-10.26,-10.49,-10.28
42.18,-14.48,-5.43,-14.46,-5.42,5.43,4.31,-9.05,-9.03,-9.06
42.60,-13.29,-5.42,-13.01,-5.42,5.43,4.41,-7.86,-7.59,-7.87
43.03,-11.50,-5.44,-11.69,-5.43,5.43,4.51,-6.07,-6.26,-6.06
43.46,-10.12,-5.44,-10.27,-5.43,5.43,4.61,-4.69,-4.84,-4.68
43.90,-9.08,-5.45,-8.82,-5.44,5.43,4.71,-3.64,-3.39,-3.63
44.33,-7.37,-5.42,-7.42,-5.44,5.44,4.81,-1.94,-1.98,-1.96
44.78,-5.84,-5.45,-5.90,-5.44,5.44,4.91,-0.40,-0.46,-0.39
45.23,-4.33,-5.45,-4.27,-5.44,5.44,5.02,1.11,1.17,1.11
45.68,-2.82,-5.45,-2.81,-5.44,5.44,5.12,2.62,2.63,2.63
46.13,-1.29,-5.43,-1.41,-5.44,5.44,5.23,4.15,4.03,4.14
46.60,-0.18,-5.45,-0.08,-5.43,5.44,5.33,5.26,5.36,5.27
47.06,1.15,-5.43,1.15,-5.43,5.43,5.44,6.58,6.58,6.57
47.53,2.33,-5.43,2.28,-5.43,5.43,5.55,7.76,7.71,7.75
48.01,3.38,-5.44,3.38,-5.43,5.43,5.65,8.81,8.81,8.81
48.49,4.35,-5.44,4.36,-5.43,5.43,5.76,9.78,9.79,9.78
48.97,5.31,-5.43,5.32,-5.43,5.43,5.86,10.74,10.75,10.73
49.46,6.21,-5.43,6.22,-5.43,5.43,5.97,11.64,11.65,11.63
49.96,7.12,-5.44,7.08,-5.43,5.43,6.07,12.55,12.51,12.55
50.46,7.78,-5.44,7.83,-5.44,5.43,6.17,13.21,13.27,13.21
50.96,8.48,-5.44,8.42,-5.44,5.43,6.27,13.92,13.86,13.92
51.47,8.87,-5.44,8.83,-5.44,5.44,6.37,14.31,14.27,14.31
51.99,9.09,-5.44,9.13,-5.44,5.44,6.47,14.53,14.56,14.53
52.51,9.31,-5.44,9.32,-5.44,5.44,6.56,14.75,14.76,14.75
53.03,9.52,-5.44,9.53,-5.44,5.44,6.65,14.96,14.97,14.96
53.56,9.74,-5.44,9.79,-5.44,5.44,6.73,15.18,15.22,15.18
54.10,9.96,-5.44,9.97,-5.44,5.44,6.82,15.40,15.40,15.40
54.64,10.13,-5.44,10.01,-5.44,5.44,6.89,15.57,15.44,15.57
55.18,9.86,-5.44,9.89,-5.44,5.44,6.97,15.30,15.32,15.30
55.74,9.59,-5.44,9.64,-5.44,5.44,7.03,15.03,15.07,15.03
56.29,9.33,-5.44,9.33,-5.44,5.44,7.10,14.77,14.77,14.77
56.86,9.06,-5.44,9.08,-5.44,5.44,7.15,14.50,14.52,14.50
57.42,8.80,-5.44,8.83,-5.44,5.44,7.20,14.24,14.26,14.24
58.00,8.53,-5.44,8.48,-5.44,5.43,7.25,13.97,13.91,13.97
58.58,8.10,-5.44,8.07,-5.43,5.43,7.28,13.54,13.50,13.54
59.16,7.48,-5.44,7.55,-5.43,5.43,7.31,12.91,12.99,12.91
59.76,7.03,-5.43,6.98,-5.43,5.43,7.34,12.47,12.42,12.46
60.35,6.38,-5.44,6.41,-5.43,5.43,7.36,11.81,11.84,11.81
60.96,5.84,-5.44,5.85,-5.43,5.43,7.37,11.28,11.28,11.28
61.57,5.27,-5.43,5.25,-5.43,5.43,7.37,10.70,10.68,10.69
62.18,4.70,-5.44,4.68,-5.43,5.43,7.37,10.13,10.12,10.14
62.80,4.07,-5.44,4.12,-5.43,5.43,7.37,9.50,9.55,9.50
63.43,3.59,-5.44,3.57,-5.43,5.43,7.35,9.02,9.00,9.03
64.07,3.04,-5.43,3.01,-5.43,5.43,7.33,8.48,8.45,8.47
64.71,2.46,-5.44,2.47,-5.43,5.43,7.31,7.90,7.91,7.90
65.35,1.90,-5.44,1.93,-5.43,5.43,7.28,7.33,7.36,7.33
66.01,1.42,-5.44,1.41,-5.44,5.43,7.24,6.86,6.84,6.86
66.67,0.93,-5.44,0.91,-5.44,5.44,7.20,6.37,6.35,6.37
67.33,0.45,-5.44,0.47,-5.44,5.44,7.16,5.88,5.90,5.89
68.01,0.04,-5.44,0.07,-5.44,5.44,7.11,5.48,5.51,5.48
68.69,-0.25,-5.44,-0.26,-5.44,5.44,7.06,5.19,5.18,5.19
69.37,-0.54,-5.44,-0.55,-5.44,5.44,7.01,4.90,4.89,4.90
70.07,-0.82,-5.44,-0.83,-5.44,5.44,6.95,4.62,4.60,4.62
70.77,-1.11,-5.44,-1.12,-5.44,5.44,6.90,4.33,4.32,4.33
71.48,-1.40,-5.44,-1.36,-5.44,5.44,6.84,4.04,4.07,4.04
72.19,-1.57,-5.44,-1.56,-5.44,5.44,6.78,3.87,3.87,3.87
72.91,-1.70,-5.44,-1.74,-5.44,5.44,6.71,3.74,3.70,3.74
73.64,-1.84,-5.44,-1.88,-5.44,5.44,6.65,3.60,3.56,3.60
74.38,-1.97,-5.44,-1.91,-5.44,5.44,6.59,3.47,3.53,3.47
75.12,-1.84,-5.44,-1.76,-5.44,5.44,6.53,3.60,3.67,3.60
75.87,-1.40,-5.44,-1.43,-5.44,5.43,6.46,4.04,4.00,4.04
76.63,-0.95,-5.44,-1.03,-5.44,5.43,6.40,4.49,4.41,4.49
77.40,-0.51,-5.44,-0.53,-5.43,5.43,6.34,4.92,4.91,4.93
78.17,-0.04,-5.43,0.07,-5.43,5.43,6.28,5.39,5.50,5.38
78.95,0.91,-5.43,0.87,-5.43,5.43,6.22,6.34,6.30,6.33
79.74,1.88,-5.43,1.95,-5.43,5.43,6.16,7.31,7.38,7.30
80.54,3.06,-5.43,3.12,-5.43,5.43,6.11,8.50,8.55,8.49
81.35,4.29,-5.44,4.09,-5.43,5.43,6.05,9.72,9.53,9.72
82.16,4.87,-5.44,4.83,-5.44,5.43,6.00,10.30,10.26,10.31
82.98,5.21,-5.44,5.29,-5.44,5.43,5.95,10.65,10.72,10.65
83.81,5.55,-5.44,5.58,-5.44,5.44,5.90,10.99,11.01,10.99
84.65,5.89,-5.44,5.88,-5.44,5.44,5.85,11.33,11.32,11.33
85.50,6.23,-5.44,6.22,-5.44,5.44,5.81,11.67,11.66,11.67
86.35,6.56,-5.44,6.59,-5.44,5.44,5.77,12.00,12.03,12.00
87.22,6.99,-5.44,6.99,-5.44,5.44,5.73,12.43,12.43,12.43
88.09,7.43,-5.44,7.42,-5.44,5.44,5.69,12.87,12.86,12.87
88.97,7.88,-5.44,7.88,-5.44,5.44,5.65,13.32,13.31,13.32
89.86,8.32,-5.44,8.32,-5.44,5.44,5.62,13.76,13.76,13.76
90.76,8.77,-5.44,8.77,-5.44,5.44,5.59,14.21,14.21,14.21
91.66,9.22,-5.44,9.22,-5.44,5.44,5.56,14.66,14.65,14.66
92.58,9.66,-5.44,9.67,-5.44,5.44,5.54,15.10,15.10,15.10
93.51,10.11,-5.44,10.22,-5.44,5.44,5.51,15.55,15.65,15.55
94.44,10.55,-5.44,10.69,-5.44,5.44,5.49,15.99,16.13,15.99
95.39,11.00,-5.44,10.70,-5.44,5.43,5.48,16.43,16.13,16.44
96.34,10.30,-5.44,9.99,-5.43,5.43,5.46,15.74,15.43,15.74
97.30,8.73,-5.44,8.88,-5.43,5.43,5.45,14.16,14.32,14.16
98.28,7.35,-5.43,7.73,-5.43,5.43,5.44,12.78,13.16,12.77
99.26,7.04,-5.44,6.97,-5.43,5.43,5.43,12.48,12.41,12.48
100.25,6.74,-5.44,6.64,-5.43,5.43,5.43,12.18,12.07,12.18
101.25,6.44,-5.44,6.44,-5.44,5.43,5.42,11.88,11.88,11.88
