frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-16.71,-28.50,-16.71,-28.49,6.00,0.34,-10.71,-10.71,11.79
20.20,-16.80,-28.12,-16.80,-28.14,6.00,0.35,-10.80,-10.80,11.32
20.40,-16.90,-27.76,-16.90,-27.77,6.00,0.36,-10.90,-10.90,10.85
20.61,-16.99,-27.37,-16.99,-27.38,6.00,0.36,-10.99,-10.99,10.39
20.81,-17.09,-27.01,-17.09,-26.99,6.00,0.37,-11.09,-11.09,9.92
21.02,-17.19,-26.59,-17.19,-26.58,6.00,0.38,-11.19,-11.19,9.40
21.23,-17.28,-26.14,-17.28,-26.15,6.00,0.39,-11.28,-11.28,8.86
21.44,-17.38,-25.70,-17.38,-25.70,6.00,0.40,-11.38,-11.38,8.32
21.66,-17.48,-25.25,-17.48,-25.25,6.00,0.41,-11.48,-11.48,7.77
21.87,-17.57,-24.80,-17.57,-24.80,6.00,0.42,-11.57,-11.57,7.23
22.09,-17.67,-24.35,-17.67,-24.36,6.00,0.43,-11.67,-11.67,6.68
22.31,-17.76,-23.93,-17.76,-23.93,6.00,0.44,-11.76,-11.76,6.16
22.54,-17.86,-23.51,-17.86,-23.51,6.00,0.45,-11.86,-11.86,5.65
22.76,-17.96,-23.10,-17.96,-23.10,6.00,0.46,-11.96,-11.96,5.14
22.99,-18.05,-22.69,-18.06,-22.67,6.00,0.47,-12.05,-12.06,4.64
23.22,-18.15,-22.29,-18.14,-22.27,6.00,0.48,-12.15,-12.14,4.14
23.45,-18.22,-21.87,-18.21,-21.91,6.00,0.49,-12.22,-12.21,3.65
23.69,-18.26,-21.61,-18.26,-21.60,6.00,0.50,-12.26,-12.26,3.35
23.92,-18.30,-21.35,-18.30,-21.34,6.00,0.51,-12.30,-12.30,3.05
24.16,-18.34,-21.09,-18.34,-21.09,6.00,0.53,-12.34,-12.34,2.75
24.40,-18.38,-20.84,-18.38,-20.84,6.00,0.54,-12.38,-12.38,2.46
24.65,-18.42,-20.58,-18.42,-20.59,6.01,0.55,-12.41,-12.41,2.17
24.89,-18.46,-20.35,-18.46,-20.35,6.03,0.57,-12.43,-12.43,1.89
25.14,-18.50,-20.11,-18.50,-20.12,6.05,0.58,-12.45,-12.46,1.61
25.39,-18.54,-19.88,-18.56,-19.91,6.05,0.59,-12.49,-12.51,1.34
25.65,-18.58,-19.64,-18.58,-19.63,6.02,0.61,-12.56,-12.56,1.06
25.91,-18.58,-19.34,-18.53,-19.27,5.96,0.62,-12.62,-12.57,0.76
26.16,-18.40,-18.77,-18.42,-18.80,5.87,0.64,-12.53,-12.55,0.38
26.43,-18.23,-18.23,-18.25,-18.25,5.73,0.65,-12.50,-12.51,-0.01
26.69,-18.06,-17.67,-18.06,-17.67,5.56,0.67,-12.50,-12.50,-0.39
26.96,-17.88,-17.10,-17.89,-17.10,5.35,0.69,-12.53,-12.53,-0.78
27.23,-17.71,-16.50,-17.71,-16.51,5.11,0.70,-12.60,-12.60,-1.21
27.50,-17.54,-15.90,-17.55,-15.91,4.85,0.72,-12.69,-12.70,-1.64
27.77,-17.36,-15.28,-17.36,-15.28,4.57,0.74,-12.78,-12.78,-2.07
28.05,-17.16,-14.66,-17.13,-14.63,4.30,0.76,-12.86,-12.84,-2.50
28.33,-16.87,-13.95,-16.87,-13.95,4.03,0.78,-12.84,-12.84,-2.92
28.62,-16.57,-13.24,-16.60,-13.24,3.77,0.80,-12.80,-12.82,-3.34
28.90,-16.28,-12.52,-16.30,-12.53,3.51,0.82,-12.76,-12.78,-3.76
29.19,-15.99,-11.83,-15.95,-11.83,3.26,0.84,-12.73,-12.69,-4.16
