frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-42.89,-37.60,-42.89,-37.60,6.00,0.58,-36.89,-36.89,-5.29
20.20,-43.20,-37.91,-43.21,-37.92,6.00,0.59,-37.20,-37.21,-5.29
20.40,-43.52,-38.23,-43.51,-38.22,6.00,0.60,-37.52,-37.51,-5.29
20.61,-43.79,-38.50,-43.79,-38.50,6.00,0.62,-37.79,-37.79,-5.29
20.81,-44.06,-38.78,-44.06,-38.77,6.00,0.63,-38.06,-38.06,-5.29
21.02,-44.31,-39.03,-44.32,-39.03,6.00,0.64,-38.31,-38.32,-5.29
21.23,-44.55,-39.27,-44.55,-39.26,6.00,0.66,-38.55,-38.55,-5.29
21.44,-44.77,-39.49,-44.76,-39.47,6.00,0.67,-38.77,-38.76,-5.29
21.66,-44.93,-39.64,-44.95,-39.66,6.00,0.69,-38.93,-38.95,-5.29
21.87,-45.10,-39.82,-45.11,-39.82,6.00,0.70,-39.10,-39.11,-5.29
22.09,-45.25,-39.97,-45.23,-39.94,6.00,0.72,-39.25,-39.23,-5.29
22.31,-45.32,-40.04,-45.33,-40.04,6.00,0.74,-39.32,-39.33,-5.29
22.54,-45.39,-40.10,-45.41,-40.12,6.00,0.75,-39.39,-39.41,-5.29
22.76,-45.46,-40.18,-45.46,-40.17,6.00,0.77,-39.46,-39.46,-5.29
22.99,-45.50,-40.21,-45.49,-40.20,6.00,0.79,-39.50,-39.49,-5.29
23.22,-45.50,-40.21,-45.51,-40.22,6.00,0.81,-39.50,-39.51,-5.29
23.45,-45.49,-40.20,-45.50,-40.22,6.00,0.83,-39.49,-39.50,-5.29
23.69,-45.49,-40.20,-45.48,-40.20,6.00,0.85,-39.49,-39.48,-5.29
23.92,-45.46,-40.17,-45.46,-40.17,6.00,0.87,-39.46,-39.46,-5.29
24.16,-45.41,-40.12,-45.42,-40.13,6.00,0.89,-39.41,-39.42,-5.29
24.40,-45.37,-40.08,-45.37,-40.08,6.00,0.91,-39.37,-39.37,-5.29
24.65,-45.32,-40.04,-45.32,-40.03,6.00,0.93,-39.32,-39.32,-5.29
24.89,-45.25,-39.96,-45.26,-39.97,6.00,0.95,-39.25,-39.26,-5.29
25.14,-45.19,-39.90,-45.19,-39.90,6.00,0.97,-39.19,-39.19,-5.29
25.39,-45.12,-39.83,-45.12,-39.83,6.00,1.00,-39.12,-39.12,-5.29
25.65,-45.05,-39.77,-45.05,-39.76,6.00,1.02,-39.05,-39.05,-5.29
25.91,-44.97,-39.69,-44.97,-39.69,6.00,1.04,-38.97,-38.97,-5.29
26.16,-44.89,-39.60,-44.89,-39.61,6.00,1.07,-38.89,-38.89,-5.29
26.43,-44.81,-39.53,-44.81,-39.53,6.00,1.09,-38.81,-38.81,-5.29
26.69,-44.73,-39.44,-44.73,-39.44,6.00,1.12,-38.73,-38.73,-5.29
26.96,-44.64,-39.36,-44.64,-39.36,6.00,1.15,-38.64,-38.64,-5.29
27.23,-44.55,-39.27,-44.56,-39.27,6.00,1.18,-38.55,-38.56,-5.29
27.50,-44.46,-39.18,-44.46,-39.17,6.00,1.20,-38.46,-38.46,-5.29
27.77,-44.36,-39.07,-44.36,-39.07,6.00,1.23,-38.36,-38.36,-5.29
28.05,-44.25,-38.96,-44.26,-38.97,6.00,1.26,-38.25,-38.26,-5.29
28.33,-44.15,-38.86,-44.14,-38.85,6.00,1.29,-38.15,-38.14,-5.29
28.62,-44.01,-38.73,-44.02,-38.73,6.00,1.33,-38.01,-38.02,-5.29
28.90,-43.87,-38.58,-43.88,-38.59,6.00,1.36,-37.87,-37.88,-5.29
29.19,-43.72,-38.43,-43.72,-38.43,6.00,1.39,-37.72,-37.72,-5.29
29.48,-43.56,-38.27,-43.55,-38.27,6.00,1.43,-37.56,-37.55,-5.29
29.78,-43.36,-38.08,-43.38,-38.09,6.00,1.46,-37.36,-37.38,-5.29
30.08,-43.18,-37.89,-43.17,-37.89,6.00,1.50,-37.18,-37.17,-5.29
30.38,-42.97,-37.68,-42.95,-37.66,6.00,1.54,-36.97,-36.95,-5.29
30.68,-42.68,-37.40,-42.70,-37.41,6.00,1.58,-36.68,-36.70,-5.29
30.99,-42.43,-37.14,-42.42,-37.14,6.00,1.62,-36.43,-36.42,-5.29
31.30,-42.14,-36.85,-42.13,-36.84,6.00,1.66,-36.14,-36.13,-5.29
31.61,-41.79,-36.51,-41.80,-36.52,6.00,1.70,-35.79,-35.80,-5.29
31.93,-41.47,-36.18,-41.46,-36.17,6.00,1.74,-35.47,-35.46,-5.29
