frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-42.89,-37.60,-42.89,-37.60,6.00,2.63,-36.89,-36.89,-5.29
20.20,-43.20,-37.92,-43.20,-37.92,6.00,2.71,-37.20,-37.20,-5.29
20.40,-43.50,-38.21,-43.50,-38.22,6.00,2.79,-37.50,-37.50,-5.29
20.61,-43.79,-38.50,-43.79,-38.50,6.00,2.87,-37.79,-37.79,-5.29
20.81,-44.06,-38.78,-44.06,-38.77,6.00,2.95,-38.06,-38.06,-5.29
21.02,-44.31,-39.02,-44.32,-39.03,6.00,3.04,-38.31,-38.32,-5.29
21.23,-44.55,-39.27,-44.55,-39.26,6.00,3.13,-38.55,-38.55,-5.29
21.44,-44.77,-39.48,-44.75,-39.47,6.00,3.22,-38.77,-38.75,-5.29
21.66,-44.93,-39.64,-44.94,-39.66,6.00,3.31,-38.93,-38.94,-5.29
21.87,-45.09,-39.80,-45.10,-39.81,6.00,3.41,-39.09,-39.10,-5.29
22.09,-45.25,-39.96,-45.22,-39.94,6.00,3.51,-39.25,-39.22,-5.29
22.31,-45.32,-40.04,-45.33,-40.04,6.00,3.61,-39.32,-39.33,-5.29
22.54,-45.39,-40.11,-45.40,-40.12,6.00,3.71,-39.39,-39.40,-5.29
22.76,-45.46,-40.17,-45.45,-40.17,6.00,3.82,-39.46,-39.45,-5.29
22.99,-45.50,-40.22,-45.49,-40.20,6.00,3.93,-39.50,-39.49,-5.29
23.22,-45.50,-40.21,-45.51,-40.22,6.00,4.04,-39.50,-39.51,-5.29
23.45,-45.49,-40.21,-45.50,-40.22,6.00,4.16,-39.49,-39.50,-5.29
23.69,-45.49,-40.21,-45.48,-40.20,6.00,4.27,-39.49,-39.48,-5.29
23.92,-45.46,-40.17,-45.46,-40.17,6.00,4.39,-39.46,-39.46,-5.29
24.16,-45.41,-40.13,-45.42,-40.13,6.00,4.52,-39.41,-39.42,-5.29
24.40,-45.37,-40.08,-45.37,-40.08,6.00,4.64,-39.37,-39.37,-5.29
24.65,-45.32,-40.04,-45.32,-40.03,6.00,4.77,-39.32,-39.32,-5.29
24.89,-45.25,-39.97,-45.26,-39.97,6.00,4.90,-39.25,-39.26,-5.29
25.14,-45.19,-39.90,-45.19,-39.90,6.00,5.02,-39.19,-39.19,-5.29
25.39,-45.12,-39.83,-45.12,-39.83,6.00,5.16,-39.12,-39.12,-5.29
25.65,-45.05,-39.76,-45.04,-39.76,6.00,5.29,-39.05,-39.04,-5.29
25.91,-44.97,-39.68,-44.97,-39.68,6.00,5.42,-38.97,-38.97,-5.29
26.16,-44.89,-39.61,-44.89,-39.61,6.00,5.55,-38.89,-38.89,-5.29
26.43,-44.81,-39.53,-44.81,-39.53,6.00,5.68,-38.81,-38.81,-5.29
26.69,-44.73,-39.44,-44.73,-39.44,6.00,5.82,-38.73,-38.73,-5.29
26.96,-44.64,-39.35,-44.64,-39.36,6.00,5.95,-38.64,-38.64,-5.29
27.23,-44.55,-39.27,-44.55,-39.27,6.00,6.07,-38.55,-38.55,-5.29
27.50,-44.46,-39.17,-44.46,-39.17,6.00,6.20,-38.46,-38.46,-5.29
27.77,-44.36,-39.07,-44.36,-39.08,6.00,6.32,-38.36,-38.36,-5.29
28.05,-44.25,-38.97,-44.26,-38.97,6.00,6.44,-38.25,-38.26,-5.29
28.33,-44.15,-38.86,-44.14,-38.85,6.00,6.55,-38.15,-38.14,-5.29
28.62,-44.01,-38.73,-44.01,-38.73,6.00,6.66,-38.01,-38.01,-5.29
28.90,-43.87,-38.58,-43.87,-38.59,6.00,6.76,-37.87,-37.87,-5.29
29.19,-43.72,-38.44,-43.72,-38.43,6.00,6.86,-37.72,-37.72,-5.29
29.48,-43.56,-38.28,-43.55,-38.26,6.00,6.94,-37.56,-37.55,-5.29
29.78,-43.36,-38.07,-43.37,-38.08,6.00,7.02,-37.36,-37.37,-5.29
30.08,-43.16,-37.87,-43.16,-37.88,6.00,7.09,-37.16,-37.16,-5.29
30.38,-42.95,-37.67,-42.94,-37.65,6.00,7.15,-36.95,-36.94,-5.29
30.68,-42.68,-37.40,-42.69,-37.41,6.00,7.20,-36.68,-36.69,-5.29
30.99,-42.41,-37.13,-42.41,-37.13,6.00,7.24,-36.41,-36.41,-5.29
31.30,-42.12,-36.83,-42.11,-36.83,6.00,7.27,-36.12,-36.11,-5.29
31.61,-41.79,-36.51,-41.79,-36.51,6.00,7.29,-35.79,-35.79,-5.29
31.93,-41.45,-36.17,-41.45,-36.16,6.00,7.30,-35.45,-35.45,-5.29
32.24,-41.08,-35.79,-41.08,-35.79,6.00,7.30,-35.08,-35.08,-5.29
32.57,-40.70,-35.41,-40.70,-35.41,6.00,7.29,-34.70,-34.70,-5.29
32.89,-40.31,-35.02,-40.31,-35.02,6.00,7.27,-34.31,-34.31,-5.29
33.22,-39.91,-34.62,-39.90,-34.62,6.00,7.24,-33.91,-33.90,-5.29
33.55,-39.49,-34.20,-39.49,-34.21,6.00,7.21,-33.49,-33.49,-5.29
33.89,-39.07,-33.79,-39.07,-33.79,6.00,7.17,-33.07,-33.07,-5.29
