frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-38.30,-31.96,-38.30,-31.96,6.00,0.88,-32.30,-32.30,-6.34
20.20,-38.64,-32.30,-38.64,-32.30,6.00,0.90,-32.64,-32.64,-6.34
20.40,-38.99,-32.65,-38.98,-32.65,6.00,0.92,-32.99,-32.98,-6.34
20.61,-39.32,-32.98,-39.33,-32.99,6.00,0.94,-33.32,-33.33,-6.34
20.81,-39.68,-33.34,-39.68,-33.34,6.00,0.96,-33.68,-33.68,-6.34
21.02,-40.03,-33.69,-40.03,-33.69,6.00,0.98,-34.03,-34.03,-6.34
21.23,-40.38,-34.04,-40.38,-34.04,6.00,1.00,-34.38,-34.38,-6.34
21.44,-40.72,-34.38,-40.72,-34.38,6.00,1.03,-34.72,-34.72,-6.34
21.66,-41.05,-34.72,-41.07,-34.73,6.00,1.05,-35.05,-35.07,-6.34
21.87,-41.42,-35.09,-41.42,-35.08,6.00,1.07,-35.42,-35.42,-6.34
22.09,-41.76,-35.42,-41.76,-35.42,6.00,1.10,-35.76,-35.76,-6.34
22.31,-42.11,-35.77,-42.11,-35.77,6.00,1.12,-36.11,-36.11,-6.34
22.54,-42.44,-36.10,-42.45,-36.11,6.00,1.15,-36.44,-36.45,-6.34
22.76,-42.80,-36.46,-42.80,-36.46,6.00,1.17,-36.80,-36.80,-6.34
22.99,-43.15,-36.81,-43.15,-36.81,6.00,1.20,-37.15,-37.15,-6.34
23.22,-43.50,-37.16,-43.49,-37.15,6.00,1.22,-37.50,-37.49,-6.34
23.45,-43.84,-37.50,-43.84,-37.50,6.00,1.25,-37.84,-37.84,-6.34
23.69,-44.17,-37.83,-44.19,-37.85,6.00,1.28,-38.17,-38.19,-6.34
23.92,-44.54,-38.20,-44.53,-38.19,6.00,1.31,-38.54,-38.53,-6.34
24.16,-44.88,-38.54,-44.89,-38.55,6.00,1.34,-38.88,-38.89,-6.34
24.40,-45.23,-38.89,-45.24,-38.90,6.00,1.37,-39.23,-39.24,-6.34
24.65,-45.58,-39.24,-45.57,-39.23,6.00,1.40,-39.58,-39.57,-6.34
24.89,-45.89,-39.55,-45.87,-39.53,6.00,1.43,-39.89,-39.87,-6.34
25.14,-46.11,-39.77,-46.12,-39.78,6.00,1.46,-40.11,-40.12,-6.34
25.39,-46.32,-39.98,-46.33,-39.99,6.00,1.49,-40.32,-40.33,-6.34
25.65,-46.53,-40.19,-46.53,-40.19,6.00,1.53,-40.53,-40.53,-6.34
25.91,-46.73,-40.40,-46.74,-40.40,6.00,1.56,-40.73,-40.74,-6.34
26.16,-46.96,-40.62,-46.95,-40.62,6.00,1.60,-40.96,-40.95,-6.34
26.43,-47.17,-40.83,-47.17,-40.83,6.00,1.63,-41.17,-41.17,-6.34
26.69,-47.39,-41.05,-47.38,-41.05,6.00,1.67,-41.39,-41.38,-6.34
