frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.29,-1.00,1.30,-1.00,1.01,-0.37,2.31,2.31,2.29
20.20,1.40,-0.92,1.40,-0.93,0.93,-0.38,2.34,2.33,2.32
20.40,1.49,-0.86,1.50,-0.85,0.85,-0.39,2.34,2.35,2.35
20.61,1.60,-0.77,1.60,-0.78,0.77,-0.40,2.37,2.37,2.37
20.81,1.71,-0.69,1.71,-0.70,0.68,-0.41,2.39,2.39,2.40
21.02,1.81,-0.62,1.82,-0.60,0.59,-0.42,2.40,2.41,2.43
21.23,1.93,-0.51,1.93,-0.51,0.50,-0.42,2.43,2.43,2.44
21.44,2.05,-0.40,2.04,-0.41,0.41,-0.43,2.46,2.45,2.45
21.66,2.14,-0.32,2.15,-0.31,0.31,-0.44,2.45,2.46,2.46
21.87,2.27,-0.20,2.26,-0.20,0.21,-0.45,2.47,2.47,2.46
22.09,2.37,-0.11,2.36,-0.11,0.11,-0.46,2.47,2.47,2.47
22.31,2.47,0.00,2.47,-0.01,0.01,-0.47,2.48,2.48,2.47
22.54,2.55,0.08,2.56,0.09,-0.09,-0.49,2.47,2.48,2.47
22.76,2.65,0.18,2.65,0.18,-0.18,-0.50,2.48,2.47,2.47
22.99,2.73,0.27,2.73,0.27,-0.26,-0.51,2.47,2.47,2.46
23.22,2.81,0.35,2.82,0.35,-0.35,-0.52,2.47,2.47,2.46
23.45,2.89,0.43,2.89,0.43,-0.43,-0.53,2.47,2.46,2.46
23.69,2.96,0.50,2.97,0.51,-0.50,-0.54,2.46,2.46,2.46
23.92,3.04,0.58,3.04,0.58,-0.58,-0.56,2.47,2.46,2.46
24.16,3.11,0.65,3.11,0.65,-0.65,-0.57,2.46,2.46,2.46
24.40,3.17,0.71,3.18,0.72,-0.72,-0.58,2.45,2.46,2.46
24.65,3.24,0.79,3.25,0.79,-0.79,-0.60,2.45,2.45,2.45
24.89,3.32,0.87,3.32,0.86,-0.86,-0.61,2.46,2.45,2.45
25.14,3.38,0.93,3.39,0.94,-0.93,-0.62,2.45,2.46,2.45
25.39,3.45,1.00,3.45,1.00,-1.00,-0.64,2.46,2.46,2.45
25.65,3.51,1.06,3.51,1.06,-1.06,-0.65,2.45,2.45,2.45
25.91,3.56,1.12,3.57,1.12,-1.12,-0.67,2.44,2.45,2.44
26.16,3.62,1.18,3.62,1.18,-1.18,-0.68,2.44,2.44,2.44
26.43,3.68,1.24,3.68,1.24,-1.24,-0.70,2.44,2.44,2.44
26.69,3.73,1.29,3.74,1.29,-1.30,-0.72,2.44,2.44,2.44
26.96,3.79,1.35,3.79,1.35,-1.35,-0.73,2.44,2.44,2.44
27.23,3.84,1.41,3.84,1.41,-1.41,-0.75,2.43,2.43,2.43
27.50,3.89,1.46,3.90,1.46,-1.46,-0.77,2.43,2.43,2.43
27.77,3.94,1.52,3.95,1.52,-1.52,-0.79,2.42,2.43,2.42
28.05,4.00,1.58,4.00,1.58,-1.57,-0.80,2.43,2.42,2.42
28.33,4.04,1.63,4.05,1.63,-1.63,-0.82,2.42,2.42,2.41
28.62,4.09,1.68,4.09,1.68,-1.68,-0.84,2.41,2.41,2.41
28.90,4.14,1.73,4.14,1.73,-1.73,-0.86,2.41,2.41,2.41
29.19,4.18,1.78,4.19,1.78,-1.78,-0.88,2.40,2.40,2.40
29.48,4.23,1.83,4.23,1.83,-1.83,-0.91,2.40,2.40,2.40
29.78,4.28,1.89,4.28,1.88,-1.88,-0.93,2.40,2.40,2.39
30.08,4.32,1.93,4.32,1.93,-1.93,-0.95,2.39,2.39,2.39
30.38,4.36,1.98,4.37,1.98,-1.98,-0.97,2.39,2.39,2.38
30.68,4.40,2.02,4.40,2.02,-2.02,-1.00,2.38,2.38,2.38
30.99,4.44,2.07,4.44,2.07,-2.07,-1.02,2.38,2.37,2.37
31.30,4.47,2.11,4.48,2.11,-2.11,-1.04,2.36,2.37,2.36
31.61,4.51,2.15,4.51,2.15,-2.15,-1.07,2.36,2.36,2.36
31.93,4.54,2.19,4.54,2.19,-2.19,-1.10,2.35,2.35,2.35
