frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.10,-8.20,-2.10,-8.20,6.00,1.64,3.90,3.90,6.10
20.20,-1.98,-8.11,-1.98,-8.11,6.00,1.69,4.02,4.02,6.13
20.40,-1.86,-8.02,-1.86,-8.02,6.00,1.75,4.14,4.14,6.16
20.61,-1.73,-7.92,-1.74,-7.92,6.00,1.80,4.27,4.26,6.18
20.81,-1.61,-7.82,-1.61,-7.82,6.00,1.86,4.39,4.39,6.21
21.02,-1.49,-7.73,-1.49,-7.72,6.00,1.92,4.51,4.51,6.24
21.23,-1.36,-7.61,-1.36,-7.62,6.00,1.98,4.64,4.64,6.25
21.44,-1.24,-7.50,-1.24,-7.50,6.00,2.04,4.76,4.76,6.26
21.66,-1.12,-7.39,-1.12,-7.39,6.00,2.10,4.88,4.88,6.27
21.87,-0.99,-7.26,-0.99,-7.27,6.00,2.17,5.01,5.01,6.27
22.09,-0.87,-7.15,-0.87,-7.15,6.00,2.24,5.13,5.13,6.28
22.31,-0.74,-7.02,-0.74,-7.02,6.00,2.31,5.26,5.26,6.28
22.54,-0.62,-6.90,-0.62,-6.90,6.00,2.38,5.38,5.38,6.28
22.76,-0.49,-6.77,-0.49,-6.77,6.01,2.45,5.52,5.52,6.28
22.99,-0.37,-6.64,-0.37,-6.64,6.02,2.53,5.65,5.65,6.27
23.22,-0.24,-6.51,-0.24,-6.51,6.03,2.60,5.78,5.79,6.27
23.45,-0.11,-6.38,-0.11,-6.38,6.02,2.68,5.91,5.91,6.27
23.69,0.02,-6.26,0.02,-6.25,6.00,2.76,6.02,6.02,6.27
23.92,0.15,-6.12,0.15,-6.12,5.96,2.84,6.11,6.11,6.27
24.16,0.28,-5.99,0.28,-5.99,5.90,2.93,6.18,6.18,6.27
24.40,0.41,-5.86,0.41,-5.86,5.83,3.01,6.24,6.24,6.27
24.65,0.54,-5.72,0.54,-5.73,5.73,3.09,6.27,6.27,6.26
24.89,0.67,-5.59,0.67,-5.59,5.62,3.18,6.29,6.29,6.26
25.14,0.80,-5.46,0.80,-5.46,5.49,3.27,6.29,6.29,6.26
25.39,0.93,-5.33,0.93,-5.33,5.35,3.35,6.28,6.28,6.26
25.65,1.06,-5.20,1.06,-5.20,5.21,3.44,6.26,6.26,6.26
25.91,1.19,-5.07,1.19,-5.07,5.07,3.52,6.25,6.25,6.25
26.16,1.32,-4.93,1.32,-4.93,4.93,3.61,6.25,6.25,6.25
26.43,1.46,-4.80,1.46,-4.80,4.80,3.69,6.26,6.25,6.25
26.69,1.59,-4.66,1.59,-4.66,4.67,3.77,6.25,6.25,6.25
26.96,1.72,-4.53,1.72,-4.53,4.53,3.84,6.25,6.25,6.25
27.23,1.85,-4.39,1.85,-4.40,4.40,3.92,6.24,6.24,6.24
27.50,1.98,-4.26,1.98,-4.26,4.26,3.99,6.24,6.24,6.24
27.77,2.11,-4.12,2.11,-4.12,4.12,4.05,6.23,6.23,6.23
28.05,2.24,-3.99,2.24,-3.99,3.99,4.11,6.23,6.23,6.23
28.33,2.38,-3.84,2.38,-3.85,3.85,4.16,6.23,6.22,6.22
28.62,2.51,-3.72,2.51,-3.71,3.71,4.21,6.22,6.22,6.22
28.90,2.64,-3.58,2.64,-3.58,3.57,4.25,6.21,6.21,6.22
29.19,2.78,-3.43,2.78,-3.44,3.44,4.28,6.22,6.21,6.21
29.48,2.91,-3.30,2.91,-3.30,3.30,4.30,6.21,6.22,6.21
29.78,3.04,-3.16,3.04,-3.16,3.18,4.31,6.22,6.22,6.20
30.08,3.17,-3.04,3.16,-3.04,3.05,4.31,6.22,6.21,6.20
30.38,3.27,-2.92,3.27,-2.93,2.93,4.30,6.20,6.20,6.19
30.68,3.37,-2.82,3.37,-2.82,2.81,4.28,6.18,6.19,6.19
30.99,3.48,-2.70,3.48,-2.70,2.70,4.25,6.18,6.18,6.18
31.30,3.59,-2.58,3.59,-2.59,2.58,4.20,6.17,6.17,6.17
31.61,3.70,-2.47,3.70,-2.47,2.47,4.14,6.17,6.16,6.17
31.93,3.81,-2.35,3.81,-2.35,2.35,4.08,6.16,6.16,6.16
32.24,3.93,-2.22,3.93,-2.23,2.23,3.99,6.16,6.16,6.15
32.57,4.05,-2.10,4.05,-2.10,2.10,3.90,6.15,6.15,6.15
32.89,4.17,-1.97,4.17,-1.97,1.98,3.80,6.15,6.15,6.14
33.22,4.29,-1.84,4.29,-1.84,1.85,3.69,6.14,6.14,6.13
33.55,4.42,-1.71,4.42,-1.71,1.71,3.56,6.13,6.13,6.13
33.89,4.54,-1.58,4.54,-1.58,1.58,3.43,6.11,6.12,6.12
34.23,4.67,-1.44,4.67,-1.44,1.44,3.29,6.10,6.11,6.11
34.57,4.81,-1.29,4.81,-1.30,1.29,3.14,6.10,6.10,6.10
34.92,4.95,-1.14,4.95,-1.15,1.15,2.99,6.09,6.09,6.09
35.27,5.09,-1.00,5.09,-0.99,1.00,2.82,6.08,6.08,6.08
35.62,5.23,-0.84,5.23,-0.84,0.84,2.65,6.07,6.07,6.07
35.97,5.38,-0.68,5.38,-0.69,0.69,2.48,6.07,6.06,6.06
36.33,5.52,-0.53,5.52,-0.53,0.53,2.30,6.05,6.05,6.05
36.70,5.67,-0.37,5.67,-0.37,0.38,2.12,6.04,6.05,6.04
37.06,5.82,-0.21,5.82,-0.21,0.22,1.93,6.04,6.03,6.03
37.43,5.97,-0.05,5.97,-0.06,0.05,1.74,6.03,6.02,6.02
37.81,6.11,0.10,6.12,0.10,-0.11,1.54,6.00,6.01,6.01
38.19,6.27,0.27,6.27,0.27,-0.27,1.35,5.99,5.99,6.00
38.57,6.43,0.44,6.43,0.44,-0.44,1.15,5.99,5.99,5.99
38.95,6.59,0.61,6.59,0.61,-0.61,0.95,5.98,5.98,5.98
39.34,6.75,0.79,6.75,0.78,-0.78,0.75,5.97,5.97,5.96
39.74,6.91,0.96,6.91,0.95,-0.95,0.55,5.96,5.96,5.95
40.14,7.06,1.12,7.06,1.12,-1.12,0.34,5.94,5.95,5.94
40.54,7.22,1.29,7.22,1.28,-1.28,0.14,5.93,5.93,5.93
40.94,7.37,1.45,7.37,1.45,-1.45,-0.07,5.92,5.92,5.92
41.35,7.52,1.61,7.52,1.61,-1.61,-0.28,5.91,5.91,5.91
41.76,7.67,1.77,7.67,1.77,-1.77,-0.49,5.90,5.90,5.90
42.18,7.82,1.93,7.82,1.93,-1.93,-0.69,5.89,5.89,5.89
42.60,7.97,2.09,7.97,2.08,-2.08,-0.91,5.89,5.88,5.88
43.03,8.11,2.24,8.11,2.24,-2.24,-1.12,5.87,5.87,5.87
43.46,8.24,2.39,8.24,2.39,-2.39,-1.33,5.85,5.85,5.85
43.90,8.38,2.55,8.37,2.54,-2.54,-1.54,5.84,5.83,5.83
44.33,8.50,2.69,8.50,2.69,-2.69,-1.75,5.81,5.81,5.81
44.78,8.63,2.84,8.63,2.83,-2.83,-1.97,5.80,5.80,5.79
45.23,8.75,2.98,8.75,2.97,-2.97,-2.19,5.78,5.78,5.77
45.68,8.87,3.11,8.87,3.11,-3.11,-2.40,5.76,5.76,5.76
